algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.7916837020336196,0.8383794802427292,0.7238925513625145,nan,0.5949270400134,4.6225168291727705,1000.0,0.0,nan,0,54,0,51102,206.28982266512784,214.20867111206056,2236.761894482423,1148.3702504424914,0.9613887020479203,2.7296073662801406,206.28982266512784,214.20867111206056,0.9141174139240319,0.9496294518702663,0.9141174139240319,0.9496294518702663,0.989744018424641,0.9504971468448639,2.0223199005872523,1.1029993752756881,0.9518852998589397,0.9483733990811709,133.06357876586915,738.2309119441081
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.8922026052626864,0.8436229801177979,0.6823001712560653,nan,0.8103443567569439,4.922864098548889,1000.0,0.0,nan,0,11,0,51583,211.2557854285607,212.28571818033853,2503.457087622664,1038.2595689340378,1.0376105763876058,2.803629675206639,211.2557854285607,212.28571818033853,0.9364870193234681,0.9409645406424333,0.9364870193234681,0.9409645406424333,0.9546200770598191,0.9496219182014465,2.0972220356790254,1.109466606816235,0.9498295094639349,0.9407785733033066,132.8640813293457,688.0456256386121
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.987813161447148,0.8478079798817635,0.6482112255692482,nan,1.0227203033864498,5.197908705075582,1000.0,0.0,nan,0,14,0,50578,208.35791778564453,210.66895080566405,2679.5364159418837,937.5053198104889,1.078411969768694,2.8864119312185115,208.35791778564453,210.66895080566405,0.9238257534000227,0.9339152639398166,0.9238257534000227,0.9339152639398166,0.9583893716335297,0.9470134802659352,2.163211946638585,1.1296915813094617,0.9473089579637949,0.9336531987309906,129.73509716796875,605.3757745413635
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,3.1153130792888515,0.8512474766373634,0.6194764083623886,nan,0.7001685053110123,5.44995477994283,1000.0,0.0,nan,0,46,0,50850,210.37515716552736,209.28300623575845,2946.9897134742587,854.3727553559087,1.143090419637116,2.977912129477099,210.37515716552736,209.28300623575845,0.9340997432341387,0.9279834897865992,0.9340997432341387,0.9279834897865992,0.9362206995487213,0.9431860625743866,2.2439834455411063,1.144094813642231,0.9429613734445265,0.9281807882849069,129.77730688476564,571.5634474830304
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.2717465029488246,0.8545519790053367,0.5951137930154801,nan,0.8122771765504565,5.686042737960816,1000.0,0.0,nan,0,2,0,50648,205.91118512834822,208.02256627400718,3078.3261334069875,783.9052689032173,1.194817565012148,3.078198489653057,205.91118512834822,208.02256627400718,0.9127544046998936,0.9220949142329434,0.9127544046998936,0.9220949142329434,0.9500825234821865,0.9393383800983429,2.3248461197966934,1.165341341239242,0.9395833605663784,0.921881938445545,127.69629635620117,513.4397272096282
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.440912111469462,0.8572274777293205,0.5743991440534592,nan,0.854602207740148,5.902155823707581,1000.0,0.0,nan,0,54,0,50644,211.81810506184897,206.80887074788413,3374.308877719381,725.3158613298841,1.2483205829292663,3.187784930736157,211.81810506184897,206.80887074788413,0.9388505137511276,0.9169138781228031,0.9388505137511276,0.9169138781228031,0.9092113243208991,0.9346980587641398,2.411999191613401,1.1895531459150959,0.9339557266929774,0.9175528092576087,127.89804833984375,495.92707659687926
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.4977355520984466,0.8596639797091484,0.5563760742545127,nan,1.02171491086483,6.072226298650106,1000.0,0.0,nan,0,28,0,51242,205.39179229736328,206.60233896891276,3474.1681212762514,680.6552256609783,1.2940921875975462,3.30064315810985,205.39179229736328,206.60233896891276,0.9103638679516083,0.9158315715496834,0.9103638679516083,0.9158315715496834,0.9316781044006348,0.9252616947889328,2.4980227699049284,1.2189846164891158,0.925468675744149,0.9156551940142615,128.06923922729493,477.87649782211207
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.523803276718307,0.8615554770827294,0.5408100807666778,nan,0.8920609273693778,6.2367902930577594,1000.0,0.0,nan,0,78,0,50914,206.34980219060725,206.08721455891927,3678.9678087578086,644.2291431298553,1.3506968728497915,3.407419919977576,206.34980219060725,206.08721455891927,0.9149730480154222,0.9133674039210299,0.9149730480154222,0.9133674039210299,0.9154780073599382,0.9173811850945155,2.5847307011264626,1.2401687863667774,0.9173138701264114,0.9134241951912496,128.19202438354492,467.47477767058496
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5640586881978797,0.8637424781918526,0.5270154002308846,nan,0.832230521099908,6.405271190007528,1000.0,0.0,nan,0,112,0,51062,202.20508575439453,204.97516255696615,3775.8022074327005,609.0165422454966,1.4498789132456573,3.4870827834789226,202.20508575439453,204.97516255696615,0.8961644657949732,0.9086829999226078,0.8961644657949732,0.9086829999226078,0.9270963413374764,0.9121089349190394,2.672201235385617,1.2313593709437236,0.9127771632306895,0.9081248487194649,128.64683993530272,471.13238715541354
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.6100268827083792,0.8652554780244828,0.5150296500325203,nan,1.040303799841139,6.519066754976908,1000.0,0.0,nan,0,39,0,50831,206.11744689941406,205.00543375651043,3997.418048864607,583.3095227956017,1.4937851920311358,3.54038182344917,206.11744689941406,205.00543375651043,0.913386699965191,0.908819927453959,0.913386699965191,0.908819927453959,0.8954875005616082,0.9010098683834076,2.7217431708819566,1.2340063622291684,0.9008490227186949,0.9089529402455483,126.7133742980957,421.93923855692395
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.6603720798621326,0.8668184795975685,0.5040951851010322,nan,0.8006317317485809,6.651894887288411,1000.0,0.0,nan,0,119,0,51019,202.83445739746094,204.21134974161785,4127.672588364499,560.1009139857396,1.556462628819491,3.5829414212821424,202.83445739746094,204.21134974161785,0.8989053171941287,0.9052102052164198,0.8989053171941287,0.9052102052164198,0.902074566254249,0.8943737586339314,2.7723499042970814,1.2255627635413557,0.8946936004839766,0.9049483408576665,127.80050573730469,443.3800356889207
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.705615897733677,0.8682549783587455,0.4943433827161789,nan,0.8283955071653638,6.762573345502218,1000.0,0.0,nan,0,28,0,50598,204.7860390799386,203.58382227579753,4352.320060431685,538.4025968769171,1.5882219754440126,3.6195694815881225,204.7860390799386,203.58382227579753,0.9089648425036072,0.9026912006612681,0.9089648425036072,0.9026912006612681,0.878630016531263,0.8863696708281835,2.8070304791304785,1.227131049304873,0.8861931966259736,0.9028342478693996,125.01729791259766,383.97403897219385
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.7551119010327296,0.8694629797339439,0.4857441332936287,nan,1.0453090988672697,6.833781002362569,1000.0,0.0,nan,0,90,0,51264,208.17575425368088,203.6781930033366,4536.714531402684,521.5973051520544,1.626143551665848,3.654735606268393,208.17575425368088,203.6781930033366,0.9227007428331743,0.9030058852760893,0.9227007428331743,0.9030058852760893,0.8502440750598907,0.8747853787740072,2.8432987844273754,1.2274451160284503,0.8737660913992995,0.9038238825548182,127.61948541259765,430.9129609077024
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.79902438241286,0.8704524755477905,0.4781139887869358,nan,1.1564015299081802,6.879836519559224,1000.0,0.0,nan,0,63,0,50433,209.48412132263184,204.0576161702474,4646.533906982924,506.9144304339308,1.659481893334993,3.689149212513492,209.48412132263184,204.0576161702474,0.9290638562336584,0.9045296962035828,0.9290638562336584,0.9045296962035828,0.8306802213191986,0.8615589153766632,2.8772822848420923,1.2275158901850582,0.8607568713751707,0.9051669471134548,125.78631564331054,378.4932007720853
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.8402401726665323,0.8714624780416489,0.47091500729322433,nan,0.9567968882620335,6.927219157218933,1000.0,0.0,nan,0,23,0,50589,196.1569423675537,204.03612024943033,4606.555763941842,492.66304879940947,1.69556365988687,3.7234130794713596,196.1569423675537,204.03612024943033,0.8706970745599103,0.9046447472865768,0.8706970745599103,0.9046447472865768,0.8931270837783813,0.8499711336692174,2.912273311637564,1.2271269132870986,0.8510920674382866,0.9037629895534166,125.56018322753906,369.3027215027152
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.88666670164846,0.8723924759030343,0.4644399932026863,nan,0.8456400301721361,6.955943522453308,1000.0,0.0,nan,0,21,0,50969,191.871341281467,204.32588633219402,4627.969301288057,482.3774344079727,1.7657477519995433,3.7576992938574754,191.871341281467,204.32588633219402,0.8493604180759458,0.9054128794422638,0.8493604180759458,0.9054128794422638,0.9093996352619595,0.8374268501996994,2.9609186771143023,1.2118791473495794,0.8395231449102507,0.9037802834801378,126.04921594238282,372.72990806796855
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,3.9307350494770414,0.8734129819273949,0.4582678906619549,nan,0.9531673341989517,6.975300769805909,1000.0,0.0,nan,0,10,0,50488,203.21118927001953,204.34909591674804,4954.478852055584,472.04913617682894,1.8003067183675336,3.791985685663027,203.21118927001953,204.34909591674804,0.9016396949396314,0.9059946615806069,0.9016396949396314,0.9059946615806069,0.8306363523006439,0.8249882650375366,2.9953140987448297,1.2108310819096935,0.8250990118466172,0.9059092700778427,125.04799182128906,342.68322793076436
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,3.973421054034346,0.8741364765167237,0.4530501368641853,nan,0.9148709575335184,6.994739665985107,1000.0,0.0,nan,0,23,0,51045,203.01759168836804,204.25726242065429,5109.616107463515,461.814001171878,1.837475347099105,3.8263751020005534,203.01759168836804,204.25726242065429,0.8991276757870905,0.9055899305753706,0.8991276757870905,0.9055899305753706,0.8221747080485026,0.813709384004275,3.030815200039974,1.208978935267394,0.8139559468405146,0.9054017095621198,126.2086741027832,369.0614906374701
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,4.01590523637518,0.8748659744858742,0.44811548754572866,nan,1.1023632645606996,6.965257517496744,1000.0,0.0,nan,0,87,0,50705,193.59714965820314,204.95102223714193,4984.044540372331,453.3957885661105,1.867562663348685,3.860322654887453,193.59714965820314,204.95102223714193,0.8610196211936516,0.9085776517312112,0.8610196211936516,0.9085776517312112,0.8607592701911926,0.7978338221708934,3.063218658271946,1.214033919482743,0.7998636753328385,0.9070435217138707,126.84255633544922,371.7183639471129
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,4.0601621820909815,0.8755994793772698,0.44323633730411527,nan,0.8065168149769306,6.936814373334249,1000.0,0.0,nan,0,19,0,50673,196.10868453979492,205.41009302775066,5208.427272250741,447.1563044168484,1.9123846858854372,3.8937131502949685,196.10868453979492,205.41009302775066,0.8708789088115605,0.9105291664221661,0.8708789088115605,0.9105291664221661,0.8361334875226021,0.7831437933444977,3.101181764531156,1.2097514558231581,0.7845201490374355,0.9094992896011113,126.3837947692871,351.62861900612086
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,4.107991449900148,0.8761319798231125,0.4391817367076874,nan,0.8984584395702069,6.951458047231038,1000.0,0.0,nan,0,109,0,51111,199.4986830491286,204.8816393025716,5459.842627020368,441.3688505210782,1.976740638605093,3.9278085879739986,199.4986830491286,204.8816393025716,0.8838336294797791,0.9080809166292386,0.8838336294797791,0.9080809166292386,0.8069493908148545,0.7742189766963323,3.1473814082264364,1.1973579645406929,0.7755783868673891,0.9070738408051395,128.11594934082032,406.77721861517637
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,4.165084615102109,0.876794477403164,0.4350912389159203,nan,0.9834591661180768,6.907831689516703,1000.0,0.0,nan,0,25,0,50585,189.91040257045202,205.19122919718424,5303.396231135618,433.0176013007815,2.021510861543031,3.9616761638578617,189.91040257045202,205.19122919718424,0.8412478628688342,0.9097431676700876,0.8412478628688342,0.9097431676700876,0.853021536554609,0.759633317788442,3.185610042931929,1.1919791702635316,0.7617626908547716,0.9081813854759222,125.77348315429687,334.05810801636756
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.237201086868367,0.8773064783215523,0.4315438449382782,nan,1.0155297964811325,6.876016043027242,1000.0,0.0,nan,0,41,0,50749,181.98263702392578,205.2078404744466,5179.712333942345,428.6504533489954,2.0847546832689225,3.995567288912005,181.98263702392578,205.2078404744466,0.8063517261346268,0.9097466606835165,0.8063517261346268,0.9097466606835165,0.8895506501197815,0.7471626150608063,3.231242246654771,1.1777849865242294,0.7517557774820636,0.9064113402141976,126.76435702514648,360.7845186882442
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.283090144368936,0.8778064772486687,0.4281687720119953,nan,0.896176278591156,6.841958168347676,1000.0,0.0,nan,0,19,0,50201,186.66002807617187,205.08516169230143,5256.2230945405045,422.6826408627655,2.12372524745072,4.029753053584859,186.66002807617187,205.08516169230143,0.8274633046955397,0.9093207764240328,0.8274633046955397,0.9093207764240328,0.8490249156951905,0.7351637814442317,3.2673419311312037,1.1730507332100937,0.7370303574155589,0.9079788506579918,124.91769729614258,306.1718154630644
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.337756799088544,0.8781359755992889,0.4252940271794796,nan,0.9841207563877106,6.78795837243398,1000.0,0.0,nan,0,93,0,51339,192.7391345684345,205.25993657430013,5608.174684579135,417.9074851985982,2.155005707743096,4.0637267839371605,192.7391345684345,205.25993657430013,0.8555045495118379,0.9098465820480717,0.8555045495118379,0.9098465820480717,0.7980609444471506,0.7217132367690404,3.3002383534595348,1.176233647382318,0.7248842278227638,0.9075895647222856,128.16717944335937,396.55703291821646
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.386383306705856,0.8786679798364639,0.42243470028042795,nan,1.0075010494752363,6.711794217427571,1000.0,0.0,nan,0,56,0,51024,190.61565191095525,205.58708974202474,5604.642010593631,412.50976041771213,2.204549420766174,4.0978687352974905,190.61565191095525,205.58708974202474,0.8441163824783218,0.9114556971017671,0.8441163824783218,0.9114556971017671,0.8021418343890797,0.7065827982624372,3.340541009484964,1.1677843291800523,0.7099626998617719,0.9090739207002948,127.54579818725585,370.8079804836872
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,4.445779509550985,0.8791019788384438,0.4195225894451141,nan,0.7070687661568323,6.610330672264099,1000.0,0.0,nan,0,8,0,50456,183.54647064208984,206.2647040303548,5674.291677492012,411.16366294535777,2.246548441466511,4.130710370137515,183.54647064208984,206.2647040303548,0.8137243431336443,0.9143396653103806,0.8137243431336443,0.9143396653103806,0.8336649636427561,0.6894500628113747,3.3770455986691132,1.1613021354415531,0.6922778059649312,0.9123668158559348,125.96138006591796,314.78969789711886
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,37,4.499782546436562,0.8794889795780182,0.4173345908522606,nan,1.114290815591812,6.535666624704997,1000.0,0.0,nan,0,96,0,50592,187.6216781616211,206.400427347819,5902.331634306099,407.8794796294283,2.299173222102874,4.163722213770823,187.6216781616211,206.400427347819,0.832970417339232,0.9147371115160873,0.832970417339232,0.9147371115160873,0.7940798938274384,0.6757034203410148,3.4179026171036435,1.1520531768577498,0.6795220162599317,0.9120994762200597,127.59268997192383,362.77432046377896
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,38,4.5431303082667585,0.8796079775691032,0.4153456820547581,nan,1.007387066880862,6.484096832275391,1000.0,0.0,nan,0,490,0,51350,198.48102569580078,206.01034978230794,6288.077274655093,404.0462461398786,2.3438106558357306,4.1974590243988015,198.48102569580078,206.01034978230794,0.879702439535194,0.9130624977623664,0.879702439535194,0.9130624977623664,0.713624679379993,0.6648427803317706,3.4559996769735726,1.150395603277331,0.6676040199005379,0.9111741925796961,130.7515267944336,468.7985295715105
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,39,4.573059276175272,0.8799729761481285,0.4130512174963951,nan,1.0035010635852815,6.362159798940023,1000.0,0.0,nan,0,118,0,50520,181.25135650634766,206.62651911417643,5802.885229638894,403.1396066444764,2.4029574660017046,4.230214803246494,181.25135650634766,206.62651911417643,0.8028291530747911,0.9158650625017352,0.8028291530747911,0.9158650625017352,0.8142367601394653,0.6472848928968111,3.499311868348579,1.1384474889596456,0.6526704370014129,0.9122187428428014,127.60093859863281,357.9414685794637
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,40,4.659711269075483,0.8802529808878898,0.41117511823773384,nan,1.2621852490637038,6.246543273131053,1000.0,0.0,nan,0,188,0,51018,179.92532348632812,207.03742426554362,5699.835346308205,399.9933900638971,2.415682071806501,4.262781922817809,179.92532348632812,207.03742426554362,0.7985825526222756,0.9177584344672799,0.7985825526222756,0.9177584344672799,0.8086548248926798,0.6308653009931247,3.5239419824132865,1.1500236779001023,0.6360436366406845,0.9142872922776195,127.46111038208008,342.59307027188595
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,41,4.730555412097407,0.8803184780478478,0.40992635771632197,nan,1.5263729356229305,6.149633510907491,1000.0,0.0,nan,0,929,0,50583,177.4725217819214,207.10999755859376,5753.898409688332,400.35951661401435,2.4500556214449403,4.295649926403931,177.4725217819214,207.10999755859376,0.7872088510001753,0.9179827968594784,0.7872088510001753,0.9179827968594784,0.8138197027146816,0.6167671952644984,3.5574122044203356,1.1577243793793814,0.6267445374138748,0.9113613312463488,129.94511923217775,424.3404590784353
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,42,4.788560617266354,0.880625475347042,0.4079166541993618,nan,1.1756833990414937,6.05262687921524,1000.0,0.0,nan,0,393,0,50103,182.59931182861328,207.07257985432943,5991.02053947567,398.49658606636825,2.466549959821776,4.328322432268426,182.59931182861328,207.07257985432943,0.8106755760246264,0.9178322013449144,0.8106755760246264,0.9178322013449144,0.7661829392115275,0.6030946750442187,3.583613443289766,1.166117591762451,0.6062924841455385,0.9157310910445167,126.43473965454102,310.990198113529
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,43,4.879412641121721,0.8809199768304825,0.4064096178114414,nan,1.1317073206106822,5.981978045304616,1000.0,0.0,nan,0,691,0,50397,172.44933573404947,206.53790608723958,5586.0653683045175,395.2903023912088,2.556306506906558,4.36159982734732,172.44933573404947,206.53790608723958,0.7647746848976572,0.9156667252664719,0.7647746848976572,0.9156667252664719,0.8243443618218104,0.5923844375212988,3.6394824991710157,1.1407253811562976,0.6013059730713184,0.9098631852522868,128.06152770996093,371.2397502740337
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,44,4.964297183756812,0.8810694792866707,0.4049656480550766,nan,1.2140069987092699,5.865357295672099,1000.0,0.0,nan,0,375,0,49853,164.03087288992745,206.68366119384766,5550.427697343446,395.9401458420466,2.6098267882735926,4.394777926809101,164.03087288992745,206.68366119384766,0.7296866673839972,0.9161610584977635,0.7296866673839972,0.9161610584977635,0.8670102443013873,0.5774701111515363,3.6807974713948983,1.1310023578853794,0.5840720034383408,0.9119091994169936,126.30662893676758,315.27007526803624
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,45,5.062183321506297,0.8810799759626389,0.4040161940455437,nan,1.3917709799373852,5.689243498643239,1000.0,0.0,nan,0,2020,0,49808,174.77530715044807,207.4574010213216,5939.825259696328,393.2930969683922,2.662332621121893,4.427277714603863,174.77530715044807,207.4574010213216,0.7745275033451131,0.9200570225972736,0.7745275033451131,0.9200570225972736,0.7852990785065819,0.5570633601148923,3.721299677211075,1.134076263948689,0.5693031305018283,0.9122526004291766,130.4168010559082,437.9299170107105
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,46,5.13032833048793,0.8813684770464897,0.4027406485378742,nan,1.469415647642953,5.570616104602814,1000.0,0.0,nan,0,1588,0,49122,171.59784589494978,207.51546396891277,5673.675772380057,395.6364457039761,2.682293598363957,4.459809074138241,171.59784589494978,207.51546396891277,0.7611269176636183,0.9200233032213242,0.7611269176636183,0.9200233032213242,0.7943186504500253,0.5426150197784106,3.748802883828527,1.1426148878961762,0.5483541905103366,0.9164002585994871,126.91164822387695,316.8133282357064
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,47,5.1565435099257355,0.8812274765968323,0.40234198853373526,nan,1.871897280216217,5.413590907255808,1000.0,0.0,nan,0,2012,0,49020,168.93291664123535,208.0293409729004,5525.428920643189,394.67250265378453,2.721300620923147,4.4915355104620005,168.93291664123535,208.0293409729004,0.7485477179196196,0.9220427212089355,0.7485477179196196,0.9220427212089355,0.802327997982502,0.5247370001673698,3.7834415546464597,1.1423315060522197,0.5319471559547758,0.917536357487135,127.52053125,325.21036432256176
