algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.5328811782745833,0.8635793771743775,0.5275009665489196,nan,0.9207488881505054,0.0,1000.0,0.0,nan,0,44,0,178,217.7466344418733,0.0,0.8846650745557703,0.0,0.9657548469246854,0.0,0.9657548469246854,0.0,1.3372276931103853,0.0,4054.758824244879,0.0,217.7466344418733,0.0,1.3372276931103853,1.1021617725962456,0.8846650745557703,0.9657548469246854,10.016345184326171,186.51890591526444
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.5897385964518884,0.8652635775804519,0.5153140820860863,nan,0.9172445779496973,0.0,1000.0,0.0,nan,0,54,0,140,209.7346989024769,0.0,0.9173372929746454,0.0,0.9299945773302398,0.0,0.9299945773302398,0.0,1.3897650955550165,0.0,4083.830669735086,0.0,209.7346989024769,0.0,1.3897650955550165,1.0994345365242248,0.9173372929746454,0.9299945773302398,9.228326751708984,179.68854946834378
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,2.672885604613571,0.8668339787721634,0.5044276350140572,nan,0.7757706599576133,0.0,1000.0,0.0,nan,0,32,0,264,210.2833083016532,0.0,0.9057322101933616,0.0,0.9324735005495105,0.0,0.9324735005495105,0.0,1.4502410193440223,0.0,4275.071841649208,0.0,210.2833083016532,0.0,1.4502410193440223,1.0957808928686723,0.9057322101933616,0.9324735005495105,11.775865264892579,239.4040231323557
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,2.672885604613571,0.8682729791402817,0.49463355451822283,nan,0.8611581651937394,0.0,1000.0,0.0,nan,0,22,0,138,215.83023652576264,0.0,0.8681104098047528,0.0,0.9568472055111992,0.0,0.9568472055111992,0.0,1.4857177072993064,0.0,4598.668241937368,0.0,215.83023652576264,0.0,1.4857177072993064,1.094259832102029,0.8681104098047528,0.9568472055111992,9.064869934082031,193.14406616136944
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,2.672885604613571,0.8694759788513183,0.4859959891438484,nan,1.0645841200436865,0.0,1000.0,0.0,nan,0,59,0,241,214.28827830723353,0.0,0.8666496234280723,0.0,0.9504480072150635,0.0,0.9504480072150635,0.0,1.5224760277978509,0.0,4665.886976876177,0.0,214.28827830723353,0.0,1.5224760277978509,1.0928105208443137,0.8666496234280723,0.9504480072150635,12.000143585205079,261.2896707050659
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,2.705078380872678,0.8705901788473129,0.47805720686912534,nan,0.9122281088715508,0.0,1000.0,0.0,nan,0,20,0,132,209.04425121489027,0.0,0.8854410194215321,0.0,0.9272415214197836,0.0,0.9272415214197836,0.0,1.5740844773997875,0.0,4684.882584428722,0.0,209.04425121489027,0.0,1.5740844773997875,1.086089916095538,0.8854410194215321,0.9272415214197836,8.779858551025391,196.76506854600632
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,2.7539126969650387,0.871567379951477,0.4709426208138466,nan,0.9504631713032723,0.0,1000.0,0.0,nan,0,31,0,115,211.45084457397462,0.0,0.865812361240387,0.0,0.9360528484266716,0.0,0.9360528484266716,0.0,1.6100971507376696,0.0,4983.291597819526,0.0,211.45084457397462,0.0,1.6100971507376696,1.0817521926357059,0.865812361240387,0.9360528484266716,8.458033782958985,199.33166391278104
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,2.832362988889796,0.8725551784038543,0.4642638044953346,nan,0.7475831602749071,0.0,1000.0,0.0,nan,0,14,0,128,199.3847102115029,0.0,0.9199272582405492,0.0,0.8842887692397159,0.0,0.8842887692397159,0.0,1.6630299258539478,0.0,4859.428891900537,0.0,199.3847102115029,0.0,1.6630299258539478,1.072702287609354,0.9199272582405492,0.8842887692397159,7.57661898803711,184.65829789222042
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,2.8598836781838877,0.8734689775705338,0.45821099579334257,nan,0.8924547352574088,0.0,1000.0,0.0,nan,0,25,0,159,214.58748904141513,0.0,0.8305354199626229,0.0,0.9498473610917302,0.0,0.9498473610917302,0.0,1.7011333269431608,0.0,5334.6598134532,0.0,214.58748904141513,0.0,1.7011333269431608,1.0668668872453297,0.8305354199626229,0.9498473610917302,9.441849517822266,234.7250317919408
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,2.9166645221071055,0.8742301775217056,0.45285564482212065,nan,0.9406521297418154,0.0,1000.0,0.0,nan,0,73,0,241,210.37008432241586,0.0,0.8429172199506026,0.0,0.9323024430757063,0.0,0.9323024430757063,0.0,1.746276015021261,0.0,5353.342659819564,0.0,210.37008432241586,0.0,1.746276015021261,1.059020433315568,0.8429172199506026,0.9323024430757063,10.939244384765624,278.37381831061725
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,2.9988742836390214,0.8750131779909134,0.44778256088495255,nan,0.8444541483013718,0.0,1000.0,0.0,nan,0,46,0,246,208.38464581524883,0.0,0.8447393068560848,0.0,0.9234173561719744,0.0,0.9234173561719744,0.0,1.792776363474672,0.0,5500.530988242484,0.0,208.38464581524883,0.0,1.792776363474672,1.051473909631163,0.8447393068560848,0.9234173561719744,11.252770874023437,297.0286733650941
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.0413326079131693,0.8757649784088135,0.44304109835624694,nan,0.8219760585398901,0.0,1000.0,0.0,nan,0,21,0,141,207.00492277599517,0.0,0.8417653242746989,0.0,0.9184176959957516,0.0,0.9184176959957516,0.0,1.8225157484367296,0.0,5553.923955964354,0.0,207.00492277599517,0.0,1.8225157484367296,1.048138754828945,0.8417653242746989,0.9184176959957516,8.694206756591797,233.26480615050286
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,3.100161823503406,0.8763369784355164,0.4389240634441376,nan,1.003830086439848,0.0,1000.0,0.0,nan,0,109,0,285,208.12117528915405,0.0,0.8276649061590433,0.0,0.9221914473213689,0.0,0.9221914473213689,0.0,1.8684906025584582,0.0,5733.0718385610035,0.0,208.12117528915405,0.0,1.8684906025584582,1.0428581502539735,0.8276649061590433,0.9221914473213689,13.31975521850586,366.9165976679042
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,3.266109418488383,0.8768891783952713,0.4350035887956619,nan,1.1198311199744542,0.0,1000.0,0.0,nan,0,18,0,108,207.44851854112414,0.0,0.8215227391984727,0.0,0.9196364483935331,0.0,0.9196364483935331,0.0,1.8881747026362332,0.0,5734.6805516749255,0.0,207.44851854112414,0.0,1.8881747026362332,1.0436286151270573,0.8215227391984727,0.9196364483935331,7.468146667480469,206.44849986029732
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,3.2774718662398152,0.8774345772266388,0.431352588057518,nan,1.0321776146690052,0.0,1000.0,0.0,nan,0,70,0,154,198.64087931315103,0.0,0.8623200679818789,0.0,0.8807257824279396,0.0,0.8807257824279396,0.0,1.9411681428125116,0.0,5686.844583848872,0.0,198.64087931315103,0.0,1.9411681428125116,1.035508274297574,0.8623200679818789,0.8807257824279396,9.53476220703125,272.96854002474583
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,3.2988949174663826,0.8778529775142669,0.42809682112932207,nan,1.097604662179947,0.0,1000.0,0.0,nan,0,50,0,184,200.93625061035155,0.0,0.8396891522407531,0.0,0.8910880288557422,0.0,0.8910880288557422,0.0,1.9825059047696114,0.0,5831.813152181193,0.0,200.93625061035155,0.0,1.9825059047696114,1.0307893151855119,0.8396891522407531,0.8910880288557422,10.046812530517577,291.5906576090597
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,3.309881583599814,0.8783169775009155,0.42517645794153214,nan,1.0903251037785882,0.0,1000.0,0.0,nan,0,143,0,419,206.041663320441,0.0,0.800979411915729,0.0,0.9134789441664448,0.0,0.9134789441664448,0.0,2.034925065252541,0.0,6061.6324570568995,0.0,206.041663320441,0.0,2.034925065252541,1.0242488389025577,0.800979411915729,0.9134789441664448,15.659166412353516,460.6840667363242
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,3.335308650633853,0.8788097772598267,0.42216630911827085,nan,1.1301265376455643,0.0,1000.0,0.0,nan,0,36,0,78,201.91195588953354,0.0,0.8160586672670701,0.0,0.8948036101169717,0.0,0.8948036101169717,0.0,2.0610720741904434,0.0,6006.085346201676,0.0,201.91195588953354,0.0,2.0610720741904434,1.019530149013926,0.8160586672670701,0.8948036101169717,6.8650065002441405,204.206901770857
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,3.3634836398847234,0.8791975775957107,0.41937249577045443,nan,0.9508315760355729,0.0,1000.0,0.0,nan,0,85,0,203,201.10658851036658,0.0,0.8111388167509666,0.0,0.8913624537039859,0.0,0.8913624537039859,0.0,2.1096263578233185,0.0,6150.67690446207,0.0,201.10658851036658,0.0,2.1096263578233185,1.0076706829859736,0.8111388167509666,0.8913624537039859,10.457542602539062,319.8351990320277
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,3.3945518422428416,0.8796413778066635,0.41687309396266936,nan,1.008028970658779,0.0,1000.0,0.0,nan,0,31,0,127,198.86222305297852,0.0,0.8151462405920029,0.0,0.8812793302901151,0.0,0.8812793302901151,0.0,2.1490925712252973,0.0,6146.057940654085,0.0,198.86222305297852,0.0,2.1490925712252973,0.9954628929789205,0.8151462405920029,0.8812793302901151,7.954488922119141,245.84231762616335
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,3.4376742831681284,0.8798613790273666,0.4147923871874809,nan,1.1425170455430005,0.0,1000.0,0.0,nan,0,103,0,427,208.6493390057538,0.0,0.7480165966459222,0.0,0.9237895587805998,0.0,0.9237895587805998,0.0,2.176011219704492,0.0,6596.771277389865,0.0,208.6493390057538,0.0,2.176011219704492,0.9958512502682844,0.7480165966459222,0.9237895587805998,15.44005108642578,488.1610745268499
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,3.480715205626625,0.8802511771917343,0.4124244785904884,nan,0.9473583814890488,0.0,1000.0,0.0,nan,0,41,0,159,202.78024225649625,0.0,0.7728202939033508,0.0,0.8982728766793966,0.0,0.8982728766793966,0.0,2.2047312303861535,0.0,6482.692403070399,0.0,202.78024225649625,0.0,2.2047312303861535,0.9898848135908502,0.7728202939033508,0.8982728766793966,9.327891143798828,298.20385054123847
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,3.5061202247651524,0.8805483785867692,0.4104147675037384,nan,1.1352529416481654,0.0,1000.0,0.0,nan,0,80,0,278,200.0545455932617,0.0,0.7790871262550354,0.0,0.8865647076207787,0.0,0.8865647076207787,0.0,2.2399287361498104,0.0,6566.101028347442,0.0,200.0545455932617,0.0,2.2399287361498104,0.9857387093365713,0.7790871262550354,0.8865647076207787,12.003272735595703,393.9660617008465
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,3.549590509425555,0.8807263766527176,0.40886436533927917,nan,1.2603583843321413,0.0,1000.0,0.0,nan,0,122,0,386,193.34556620829815,0.0,0.8113049647292575,0.0,0.856291945116332,0.0,0.856291945116332,0.0,2.2885805999296718,0.0,6385.630689797209,0.0,193.34556620829815,0.0,2.2885805999296718,0.9816186118379681,0.8113049647292575,0.856291945116332,14.307571899414063,472.53667104499345
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,42,3.596189817008292,0.8810985783338546,0.40679613798856734,nan,0.9212880937949471,0.0,1000.0,0.0,nan,0,29,0,157,192.3081631867782,0.0,0.8064168691635132,0.0,0.8529620840080235,0.0,0.8529620840080235,0.0,2.326822008851821,0.0,6468.05434994472,0.0,192.3081631867782,0.0,2.326822008851821,0.969387720306471,0.8064168691635132,0.8529620840080235,8.846175506591797,297.5305000974571
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,43,3.6458605126423596,0.8812885777950287,0.4052635325193405,nan,1.1768947850013602,0.0,1000.0,0.0,nan,0,56,0,268,188.07022094726562,0.0,0.8249152446615284,0.0,0.8330515759694241,0.0,0.8330515759694241,0.0,2.369968212188245,0.0,6291.300373634196,0.0,188.07022094726562,0.0,2.369968212188245,0.9599053570514938,0.8249152446615284,0.8330515759694241,10.908072814941406,364.89542167078343
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,44,3.737964494946585,0.8814489773511887,0.40397447264194486,nan,1.1867551072077318,0.0,1000.0,0.0,nan,0,127,0,311,185.67549595688328,0.0,0.8292856586701942,0.0,0.8233401247698773,0.0,0.8233401247698773,0.0,2.430328261608211,0.0,6443.894475283867,0.0,185.67549595688328,0.0,2.430328261608211,0.9424854774066326,0.8292856586701942,0.8233401247698773,12.254582733154297,425.2970353687351
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,45,3.737964494946585,0.8816745768785477,0.40259745973348615,nan,1.331053446840357,0.0,1000.0,0.0,nan,0,51,0,237,194.30128479003906,0.0,0.765694468109696,0.0,0.8611457487383772,0.0,0.8611457487383772,0.0,2.447758257671886,0.0,6628.975714884236,0.0,194.30128479003906,0.0,2.447758257671886,0.9489575771959903,0.765694468109696,0.8611457487383772,10.49226937866211,357.9646886037488
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,46,3.8123450255896953,0.8819811763763428,0.40093276458978655,nan,1.279719385661577,0.0,1000.0,0.0,nan,0,6,0,116,188.50637978001646,0.0,0.7927169548837762,0.0,0.8355813386864291,0.0,0.8355813386864291,0.0,2.473242975182133,0.0,6636.492091927861,0.0,188.50637978001646,0.0,2.473242975182133,0.9497565987867612,0.7927169548837762,0.8355813386864291,7.163242431640625,252.18669949325871
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,47,3.873262932880725,0.8819685773849487,0.40010393953323364,nan,1.3637464877330896,0.0,1000.0,0.0,nan,0,110,0,332,185.8520711263021,0.0,0.800642908522577,0.0,0.8234813771592271,0.0,0.8234813771592271,0.0,2.5268566342511876,0.0,6499.277828909164,0.0,185.8520711263021,0.0,2.5268566342511876,0.9398316788617306,0.800642908522577,0.8234813771592271,12.266236694335937,428.9523367080048
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,48,3.873262932880725,0.8822313772439957,0.3987682381272316,nan,1.390972450375557,0.0,1000.0,0.0,nan,0,27,0,121,189.33917160034179,0.0,0.7685347139835358,0.0,0.8387897077864634,0.0,0.8387897077864634,0.0,2.542506219165649,0.0,6859.524359601877,0.0,189.33917160034179,0.0,2.542506219165649,0.9462140401539714,0.7685347139835358,0.8387897077864634,7.573566864013672,274.38097438407516
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,49,4.03208011047488,0.8823175778388977,0.3978095571398735,nan,1.5440726700154217,0.0,1000.0,0.0,nan,0,31,0,155,178.4577498002486,0.0,0.8291438763791864,0.0,0.7911522995865752,0.0,0.7911522995865752,0.0,2.5659166474031423,0.0,6427.081992886734,0.0,178.4577498002486,0.0,2.5659166474031423,0.9507681452639415,0.8291438763791864,0.7911522995865752,7.852140991210938,282.79160768701627
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,50,4.070447429980684,0.8824603787660599,0.3968984987139702,nan,1.3396041929721831,0.0,1000.0,0.0,nan,0,42,0,190,178.96199829101562,0.0,0.8164296233654023,0.0,0.7933709493521225,0.0,0.7933709493521225,0.0,2.612253905579456,0.0,6524.456692403961,0.0,178.96199829101562,0.0,2.612253905579456,0.943349901018954,0.8164296233654023,0.7933709493521225,8.948099914550781,326.2228346201981
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,51,4.140570287900334,0.8824975773096084,0.3961551903486252,nan,1.4111780713904987,0.0,1000.0,0.0,nan,0,25,0,147,182.1067317615856,0.0,0.7843454209241,0.0,0.808384619029211,0.0,0.808384619029211,0.0,2.646535342802008,0.0,6738.278643370493,0.0,182.1067317615856,0.0,2.646535342802008,0.9374645242370391,0.7843454209241,0.808384619029211,8.012696197509765,296.4842603083017
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,52,4.212705617951665,0.8826059768199921,0.3952766647934914,nan,1.4185623838787986,0.0,1000.0,0.0,nan,0,41,0,123,173.74465797061012,0.0,0.833045902706328,0.0,0.7698165945455555,0.0,0.7698165945455555,0.0,2.6836886210092477,0.0,6432.963021243174,0.0,173.74465797061012,0.0,2.6836886210092477,0.9281982597895216,0.833045902706328,0.7698165945455555,7.297275634765625,270.1844468922133
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,53,4.299303821008032,0.8827535781860352,0.39439192205667495,nan,1.1444550021128221,0.0,1000.0,0.0,nan,0,57,0,139,182.51057295365766,0.0,0.7636447901075537,0.0,0.8091003758760564,0.0,0.8091003758760564,0.0,2.7094649208351353,0.0,7042.919774526275,0.0,182.51057295365766,0.0,2.7094649208351353,0.9276043446576417,0.7636447901075537,0.8091003758760564,8.030465209960937,309.8884700791561
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,54,4.299303821008032,0.8827469779253005,0.39404834204912187,nan,1.5958872828632593,0.0,1000.0,0.0,nan,0,83,0,295,179.95498847961426,0.0,0.7710829582065344,0.0,0.797824466700491,0.0,0.797824466700491,0.0,2.7362387827192407,0.0,6916.08859291961,0.0,179.95498847961426,0.0,2.7362387827192407,0.9354876948678124,0.7710829582065344,0.797824466700491,11.517119262695312,442.6296699468551
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,55,4.642837460845104,0.8829469780921936,0.39319358915090563,nan,1.430839009144727,0.0,1000.0,0.0,nan,0,8,0,104,177.28512483484604,0.0,0.7796779345063602,0.0,0.7859318556293107,0.0,0.7859318556293107,0.0,2.751355297409951,0.0,6760.192282920122,0.0,177.28512483484604,0.0,2.751355297409951,0.9425044314665215,0.7796779345063602,0.7859318556293107,6.027694244384765,229.8465376192842
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,56,4.642837460845104,0.8831259783506393,0.3922144668102264,nan,1.0523515141436033,0.0,1000.0,0.0,nan,0,14,0,58,180.40406799316406,0.0,0.7489391650472369,0.0,0.7993086274602007,0.0,0.7993086274602007,0.0,2.7739976625183345,0.0,7316.360605284761,0.0,180.40406799316406,0.0,2.7739976625183345,0.941594191509272,0.7489391650472369,0.7993086274602007,5.051313903808594,204.8580969479733
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,57,4.891518882357052,0.8832361782789231,0.3914839901328087,nan,1.0565264001488686,0.0,1000.0,0.0,nan,0,89,0,229,169.21002469744002,0.0,0.8175723403692245,0.0,0.7494390120420389,0.0,0.7494390120420389,0.0,2.8473823764900104,0.0,6868.608090674121,0.0,169.21002469744002,0.0,2.8473823764900104,0.9175660915259081,0.8175723403692245,0.7494390120420389,9.475761383056641,384.6420530777508
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,58,4.891518882357052,0.8832677785158157,0.3910971983075142,nan,1.3241259343922138,0.0,1000.0,0.0,nan,0,90,0,336,172.44080114364624,0.0,0.7841401435434818,0.0,0.7644883650794564,0.0,0.7644883650794564,0.0,2.902299450730955,0.0,7124.7525625708895,0.0,172.44080114364624,0.0,2.902299450730955,0.9142473065927491,0.7841401435434818,0.7644883650794564,11.03621127319336,455.9841640045369
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,59,4.891518882357052,0.8833337779045105,0.39047626864910123,nan,1.257969908092333,0.0,1000.0,0.0,nan,0,34,0,148,174.13303673785666,0.0,0.7626985829809437,0.0,0.7717711054037488,0.0,0.7717711054037488,0.0,2.941812896906814,0.0,7127.410392750702,0.0,174.13303673785666,0.0,2.941812896906814,0.908721813520289,0.7626985829809437,0.7717711054037488,8.010119689941407,327.86087806653234
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,60,4.891518882357052,0.8833755767345428,0.3901447502970696,nan,1.4478607202569644,0.0,1000.0,0.0,nan,0,35,0,197,173.6732063293457,0.0,0.7576220581928889,0.0,0.7687628367365363,0.0,0.7687628367365363,0.0,2.962510783675235,0.0,6997.751399374007,0.0,173.6732063293457,0.0,2.962510783675235,0.9161712160568107,0.7576220581928889,0.7687628367365363,8.336313903808593,335.8920671699523
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,61,4.940822386719835,0.8834787776470184,0.38968903523683546,nan,1.3823941980416958,0.0,1000.0,0.0,nan,0,39,0,237,170.88106536865234,0.0,0.7652758038960971,0.0,0.7579389951938637,0.0,0.7579389951938637,0.0,3.012975522531987,0.0,7153.31922339394,0.0,170.88106536865234,0.0,3.012975522531987,0.9080457590290261,0.7652758038960971,0.7579389951938637,8.885815399169921,371.97259961648484
