algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.24949817428469,0.6902033166587352,26.90506437301636,nan,60.8827987909317,88.67049627304077,1000.0,0.0,nan,0,4306,0,27010,242.42497035435267,235.16176696777345,1630.861283917793,235.1617719213313,2.2721128417057606,3.55093065683557,1.0764803485461865,1.042191535833466,1.0764803485461865,1.042191535833466,0.36163829413375687,0.4138245488703251,242.42497035435267,235.16176696777345,2.7836399677576846,1.0193067146640133,0.41041049482213837,1.0444347291885037,100.85260595703124,139.7288247182307
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.343509761970973,0.6837739835555354,28.895820203026137,nan,81.51670816209581,85.55009830474853,1000.0,0.0,nan,0,4543,0,26681,220.90231408013238,234.9372412109375,1425.687785067012,234.9372476488766,2.319135484634186,3.5766295969692,0.980692405142055,1.0412996832515282,0.980692405142055,1.0412996832515282,0.4924232219087167,0.3992542276531458,220.90231408013238,234.9372412109375,2.8221331295681913,1.0105079423911103,0.4069470803898443,1.0362954125819388,101.92737979125977,145.29965932196308
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.440309501886692,0.6835876503090064,28.893755480150382,nan,61.81742800109916,78.935441198349,1000.0,0.0,nan,0,5597,0,25715,235.9056922064887,237.11784866333008,1661.7084547904976,237.11785319505245,2.366005572009602,3.5997639028665707,1.046662597736586,1.0509769060244136,1.046662597736586,1.0509769060244136,0.3748394291485763,0.36814057152718305,235.9056922064887,237.11784866333008,2.859508904352389,1.000454684468373,0.36869368821151827,1.0506206787345929,103.33974438476562,154.6686456504789
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,4.446633427924179,0.6855776489774386,30.616948190132778,nan,64.22553782236008,76.56586916923523,1000.0,0.0,nan,0,4427,0,27359,239.53501964750745,236.26026527404784,815.1894579541056,236.26026958875678,2.37373060340625,3.6232472395359285,1.060594860989934,1.0475497786323296,1.060594860989934,1.0475497786323296,0.3366561556412351,0.3571149172633886,239.53501964750745,236.26026527404784,2.8735372578581213,1.0061149316394105,0.35517087204137404,1.048789356593912,104.56457693481445,128.74206506957518
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,4.941438072558623,0.6896713160475095,30.07541575729847,nan,73.80601501464844,72.77203620910645,1000.0,0.0,nan,0,8112,0,22866,222.4037947221236,236.50579208374023,1393.5094020701242,236.5057967975619,2.392731052248746,3.6466100025261143,0.987583961692165,1.0481536358144208,0.987583961692165,1.0481536358144208,0.43559393828565424,0.3396470932289958,222.4037947221236,236.50579208374023,2.894282632359693,1.009554555199329,0.34464906145469837,1.0449959750781894,99.49520031738281,125.25952556456751
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,4.941438072558623,0.6872359832872947,32.03484524230162,nan,79.552713703145,71.19799877643585,1000.0,0.0,nan,0,7081,0,24675,217.63332591337317,235.0507717895508,1216.7287094927215,235.05077749365861,2.428734104348857,3.6700362398384154,0.9649837213068404,1.0423099763152812,0.9649837213068404,1.0423099763152812,0.4560316493597758,0.33231009036302567,217.63332591337317,235.0507717895508,2.9252549585446803,1.0057422981177286,0.3420025627268264,1.0362521591026386,101.419841796875,135.389087120216
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,4.941438072558623,0.6942506492137909,30.736866471966106,nan,44.72236425226385,67.83932720184326,1000.0,0.0,nan,0,6327,0,24269,247.2985284978693,234.93950500488282,967.8261897308977,234.93951037632098,2.431156066520161,3.693108359864965,1.0965577042109045,1.041660151202579,1.0965577042109045,1.041660151202579,0.22788116369735112,0.3165996938571334,247.2985284978693,234.93950500488282,2.9359369838580824,1.0116451311010601,0.3119745572137324,1.0445221089423495,99.41636962890625,115.26798032460813
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,4.941438072558623,0.6963013151288032,31.445840646823246,nan,69.90164548700506,67.66837437391281,1000.0,0.0,nan,0,6135,0,24553,222.3382998379794,232.77612625122072,470.1269501360548,232.77613090804553,2.4346544246175172,3.71704158813366,0.9848351192311404,1.0317810861566667,0.9848351192311404,1.0317810861566667,0.39243766089731996,0.3158069976232946,222.3382998379794,232.77612625122072,2.9476092900239745,1.0185513053376554,0.31980196111151393,1.0293336660799806,98.00189309692382,103.45324526621143
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,5.074807043784342,0.6876823162535827,37.075213048756126,0.009158677820520648,77.6820353099278,104.48315441131592,1000.0,0.07692307692307693,0.0048722771937057645,427,317,29984,288,212.00742776053292,0.0,1598.435308385595,0.0,2.4741334842153395,0.0,0.9400517186220708,0.0,0.9400517186220708,0.0,0.4501167359495802,0.0,212.00742776053292,0.0,2.4741334842153395,1.026927182817514,0.4501167359495802,0.9400517186220708,9.893679962158203,74.59364772466111
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.6853146493683259,58.0066654698054,0.019872696996143385,66.12184208089656,112.53494144439698,1000.0,0.19166666666666665,0.010462252920105625,429,210,29955,320,220.57853837446734,0.0,1404.2273754083553,0.0,2.495005980706443,0.0,0.9774731998148596,0.0,0.9774731998148596,0.0,0.37222248705273325,0.0,220.57853837446734,0.0,2.495005980706443,1.0291677412526914,0.37222248705273325,0.9774731998148596,8.087879740397135,51.488337098306374
