algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,2.334023551815926,0.8795726440350214,0.4120504729946454,nan,1.7941955042921978,7.252004923820496,1000.0,0.0,nan,0,476,0,30950,1.342979930645778,2.273427643046982,287.3559344747792,333.621495513916,287.3559344747792,333.621495513916,1.2739659900922842,1.4790046597212156,1.2739659900922842,1.4790046597212156,9278.1250920299,544.0170513164853,0.7994097574897434,0.6061805598437786,1.7151590156062597,0.6254109107982552,0.6261100286592817,1.4578571736159895,146.66697119140625,644.4005747599695
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,2.3432588340405807,0.8798406453927358,0.41014904191096624,nan,1.283523086990629,7.126493917703629,1000.0,0.0,nan,0,466,0,30850,1.3569154559880594,2.280587726403535,283.0181318010603,336.1585292053223,283.0181318010603,336.1585292053223,1.256791725445755,1.4897743395664407,1.256791725445755,1.4897743395664407,9445.850838378648,547.1657598608984,0.8120362971510205,0.5918129432201386,1.7263843641542493,0.6181746202563626,0.606220078524028,1.474532486306209,142.3879193725586,483.3501274189615
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,2.353494054197237,0.8798923106988271,0.4089727787176768,nan,1.5820344686508179,6.997572538852691,1000.0,0.0,nan,0,549,0,30675,1.3771894293241842,2.2875805555906696,281.2840805053711,338.5190641784668,281.2840805053711,338.5190641784668,1.2486941843672164,1.5003902553143618,1.2486941843672164,1.5003902553143618,8912.520793876785,545.7621158336929,0.8161441319518619,0.5775173534452915,1.7413458798307784,0.6056558212464855,0.597220481945834,1.4796080109242307,145.5338525695801,539.1555949130415
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,2.3638892526640523,0.8801356448729833,0.40759378870328267,nan,1.4328753617074754,6.834115291833878,1000.0,0.0,nan,0,822,0,30490,1.3969591999129378,2.2944045419379933,286.1826341417101,341.4768383789062,286.1826341417101,341.4768383789062,1.2697146271642084,1.5135127760293392,1.2697146271642084,1.5135127760293392,9744.593534532141,552.3920726735387,0.7925983965396881,0.5607649832963943,1.7559373367229598,0.5926004714455729,0.5799071917293268,1.49338265364598,146.89331018066406,571.7621963125725
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,2.3737913229923424,0.8800879770517349,0.40675913701454797,nan,1.6795522655759538,6.652268923521042,1000.0,0.0,nan,0,1545,0,30241,1.3998976232005376,2.301055367711732,292.33629353841144,344.5707028198242,292.33629353841144,344.5707028198242,1.294401870157484,1.5277715228539683,1.294401870157484,1.5277715228539683,9840.368259383,553.2909665147782,0.7654245382263547,0.5428410783410073,1.7603607210050152,0.5944052840345262,0.5639915428549995,1.5055961259914066,150.10640545654297,634.6118534999974
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,2.381182139215054,0.8804819794495901,0.40516612966855364,nan,1.6808947649869053,6.463687163591385,1000.0,0.0,nan,0,1427,0,29551,1.4075329312121263,2.307522522686117,281.4951379949396,347.96494064331057,281.4951379949396,347.96494064331057,1.2500193245652331,1.5421257282487348,1.2500193245652331,1.5421257282487348,9924.612775671341,561.6851114206714,0.8041736483573914,0.524731140434742,1.7675287678017226,0.5911230462077715,0.5392992332648326,1.5268974323221065,145.3788692932129,443.0155256330381
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,2.3888652413924736,0.8803399787346522,0.4046984067559242,nan,1.877758601132561,6.366508820056915,1000.0,0.0,nan,0,1503,0,30253,1.4223470173343056,2.313893819141396,282.69905180089614,349.1738537597656,282.69905180089614,349.1738537597656,1.2534608365124094,1.548359077076982,1.2534608365124094,1.548359077076982,9136.605808539547,561.8004021678588,0.7972785812966964,0.514317662268877,1.7789657380571418,0.5823975431425192,0.5364851075383376,1.5252564499359786,149.2813092651367,535.3647583574881
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,2.396561842422832,0.8805863126118978,0.40331519991159437,nan,1.6095156507058577,6.17312802195549,1000.0,0.0,nan,0,1256,0,29340,1.4233166959269496,2.320093500686233,308.9758467240767,352.3864552307129,308.9758467240767,352.3864552307129,1.369962869381325,1.5623731140850743,1.369962869381325,1.5623731140850743,10747.822515887266,568.9928816744251,0.6815430440685966,0.49636676579713823,1.7820274178306628,0.5844415077949642,0.5060205054226645,1.5523422482474378,147.75205072021484,464.0492480192899
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,2.4022888219828054,0.8806246443589528,0.40260204941034317,nan,2.0448553670536387,6.12050544142723,1000.0,0.0,nan,0,1249,0,29439,1.4248444095954187,2.3262835399690056,286.5846418900923,352.9161068725586,286.5846418900923,352.9161068725586,1.2692468198778486,1.5642882021281803,1.2692468198778486,1.5642882021281803,9470.775666761236,573.4331969537983,0.7748024301095442,0.4900004681199789,1.7854200617448537,0.5865520473774666,0.504847963768724,1.5489068978402487,147.47130487060548,437.7303434502665
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,1.8638403371083945,0.8777989774942399,0.41035914758841197,0.12845345345345346,1.7660267778805323,6.236820027828217,1000.0,0.55,0.08552973816542397,26,8,30385,597,1.4401706560113858,0.0,280.4150924682617,0.0,280.4150924682617,0.0,1.2431713115950476,0.0,1.2431713115950476,0.0,9890.496191993425,0.0,0.7963675005095345,0.0,1.4401706560113858,0.4860854295995561,0.7963675005095345,1.2431713115950476,13.08603764851888,461.55648895969324
