algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,0.5304972332828586,0.862422978679339,0.5133537831902504,nan,2.282998482386271,18.82502857208252,1000.0,0.0,nan,0,51,0,30681,0.8917007366816203,0.8437926176190377,12202.387543024985,649.9211354333488,0.20173811632062746,0.5227411715145142,2.722196071477288,2.839867622673262,613.3330485026041,640.5100491333008,2.722196071477288,2.839867622673262,613.3330485026041,640.5100491333008,0.33013933839818216,0.20341346060656196,0.8471350445303806,2.8316579795665664,274.6040111083984,626.0400804640891
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,0.5379189851616032,0.8637056448062261,0.5039163043101629,nan,2.670318345228831,19.061073188781737,1000.0,0.0,nan,0,26,0,30784,0.850267137090365,0.8328670424222946,12875.495663212867,643.3197594623911,0.20661060156674185,0.5295149475295127,2.795866037246253,2.838178765095236,630.5442301432291,640.2649099731445,2.795866037246253,2.838178765095236,630.5442301432291,640.2649099731445,0.33577233995185013,0.2043929579048332,0.833851953441242,2.8357837050283123,271.2390255126953,566.3397997020653
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,0.5448991747185634,0.8642606457074483,0.49734393298625945,nan,2.638775863145527,19.15683162689209,1000.0,0.0,nan,0,124,0,31254,0.8285896213431108,0.8175104042887688,13162.443073663026,642.7789442104407,0.21460884536397495,0.536240651422807,2.820236547001495,2.846910386859944,636.1170076069079,642.1748388671875,2.820236547001495,2.846910386859944,636.1170076069079,642.1748388671875,0.34326156778750777,0.20424903397951147,0.8184716149007893,2.8445962181051008,281.0423818359375,757.2844144833713
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,0.5519705514539794,0.8651969800392787,0.48962079296509425,nan,2.7938711093022275,19.251515684127806,1000.0,0.0,nan,0,47,0,30627,0.8777074080247146,0.8037103834748268,13169.01581724342,643.8105264900319,0.22414532798937525,0.5428166743230114,2.675097528494784,2.851476895965234,602.4715200570913,643.2145288085937,2.675097528494784,2.851476895965234,602.4715200570913,643.2145288085937,0.3516138665228297,0.20321954082908006,0.8082266337994678,2.8407119580445017,272.95007104492186,599.9186218443416
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,0.5596150558144122,0.8661616446574529,0.4827359312772751,nan,2.397146240870158,19.452416982650757,1000.0,0.0,nan,0,74,0,30856,0.8338984847068787,0.7956995311379432,14223.58679867363,641.6267360676584,0.23161994289371474,0.549430506069918,2.751863822284485,2.8420089057072215,620.3042928059896,641.3864114379883,2.751863822284485,2.8420089057072215,620.3042928059896,641.3864114379883,0.358744168164196,0.20261501792369008,0.7983645744101946,2.8357197138405184,275.163693359375,683.3582983872723
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,0.566874151698515,0.867426980137825,0.47570300320784253,nan,2.179304520289103,19.53612362384796,1000.0,0.0,nan,0,33,0,30825,0.9214618255694708,0.784072739481926,13579.069452660566,641.0145654970368,0.24178065240605975,0.5559971364657941,2.5198991244566993,2.8408953079480326,568.3786417643229,640.994722290039,2.5198991244566993,2.8408953079480326,568.3786417643229,640.994722290039,0.36746724602995345,0.20056558456591428,0.7918494802038625,2.8227257126560703,270.0389763183594,582.3034930626684
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,0.5745630786796196,0.8679706452290217,0.4705736248691877,nan,2.599513897529015,19.57727523803711,1000.0,0.0,nan,0,39,0,30855,0.834731189104227,0.7719068038463592,13965.118062074744,640.8223297441474,0.24909569504642523,0.5625324097783867,2.695447093585865,2.840769619226504,608.293447641226,640.8223141479492,2.695447093585865,2.840769619226504,608.293447641226,640.8223141479492,0.3744703809392098,0.19958460210889692,0.7757411559982479,2.8319001693047756,272.1445552978516,619.4220015116024
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,0.5821451287782426,0.8683419785896938,0.46604580610990526,nan,2.7970699071884155,19.542744789123535,1000.0,0.0,nan,0,51,0,31317,0.8166385363130009,0.7579032066464424,15047.376343866641,641.5728662903188,0.2559000536230838,0.5690011433658829,2.710061627301299,2.844573666082996,611.8590159696691,641.5728521728515,2.710061627301299,2.844573666082996,611.8590159696691,641.5728521728515,0.3811404895202034,0.1990849014386242,0.7625045919198594,2.834035856593186,277.4323474121094,768.2399422075932
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,0.5896358848551472,0.8689749777317047,0.4617495025197665,nan,2.6200807725681976,19.44039197921753,1000.0,0.0,nan,0,99,0,31139,0.8593794107437134,0.7423465374112129,14425.855200552687,643.2132583872112,0.2623152836685541,0.5754362740243103,2.5861874895886516,2.8515421182303053,583.2607565487133,643.2132467651368,2.5861874895886516,2.8515421182303053,583.2607565487133,643.2132467651368,0.38756367981085654,0.1984564727364288,0.7515150113589203,2.8307539675993922,277.11616442871093,747.7643801736759
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,0.5969195214888515,0.8698499766985576,0.4567489841580391,nan,2.4479138553142548,19.515731205940245,1000.0,0.0,nan,0,61,0,31357,0.8161723427474499,0.734499648809433,15819.635855100942,640.922574868616,0.26797380055781245,0.5819295180545031,2.6574453186419045,2.8407834226613433,598.9241924285889,640.9225616455078,2.6574453186419045,2.8407834226613433,598.9241924285889,640.9225616455078,0.3935560875564887,0.19840158904620916,0.7405494779900268,2.8272028223636063,275.53459881591795,762.5973773106765
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,0.6047790987636941,0.8698233119646708,0.45410613556702933,nan,2.4978595809503035,19.506754326820374,1000.0,0.0,nan,0,173,0,31331,0.8071074729615991,0.7242631444334984,15465.23067931538,639.397915880401,0.2779620638844789,0.5884558616377905,2.651149558035318,2.835267322196596,598.141279740767,639.3978997802734,2.651149558035318,2.835267322196596,598.141279740767,639.3978997802734,0.40215958298580357,0.19577593567762838,0.732472942756103,2.8170214176400727,282.0773762207031,936.2293162420373
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,0.6129053741751204,0.8700333108504613,0.4512364500761032,nan,3.2181668281555176,19.38601647853851,1000.0,0.0,nan,0,35,0,30853,0.807922954360644,0.7106867787241936,15341.932063906694,640.0279310049375,0.2822987810645183,0.5949770155886172,2.622975842127086,2.8369285732934215,590.8706817626953,640.0279190063477,2.622975842127086,2.8369285732934215,590.8706817626953,640.0279190063477,0.4073700748741579,0.19633979298436888,0.7161907131941814,2.8248180413406097,270.1920639648437,624.2175419357358
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,0.6209646691851003,0.8704513132572174,0.44798683375120163,nan,2.9476380348205566,19.274080719947815,1000.0,0.0,nan,0,41,0,30815,0.8876971648289607,0.6982008394598961,14681.502949066347,639.6368403338148,0.28911475165006406,0.6014984118137983,2.423092898081359,2.835900620668607,546.4380305363582,639.6368240356445,2.423092898081359,2.835900620668607,546.4380305363582,639.6368240356445,0.4140682157155578,0.19515493438255357,0.709766342886177,2.810705783139808,270.0621184082031,637.573812809251
