algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,105,7.34979149314646,0.47415773794054983,nan,0.354528785722315,nan,nan,1000.0,0.3657150263501105,0.2718444734530914,3595,774,6947,52,nan,0.0,nan,0.0,nan,0.0,5.189781913068226,0.0,nan,0.0,nan,0.0,nan,0.0,5.189781913068226,0.9576691370704218,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,106,7.459197439075445,0.457667238432914,nan,0.43667705796682277,nan,nan,1000.0,0.2973559180757323,0.31976343227736437,3667,726,6868,141,nan,0.0,nan,0.0,nan,0.0,5.202689718362029,0.0,nan,0.0,nan,0.0,nan,0.0,5.202689718362029,0.9661055438784097,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,107,7.459197439075445,0.4412092389538884,nan,0.3820722739051132,nan,nan,1000.0,0.3100668979349221,0.29429168300874986,3694,549,6673,74,nan,0.0,nan,0.0,nan,0.0,5.211387560216395,0.0,nan,0.0,nan,0.0,nan,0.0,5.211387560216395,0.9725603433733848,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,108,7.459197439075445,0.4326352390833199,nan,0.4559006336481304,nan,nan,1000.0,0.4442274106695822,0.3389524412406887,3726,602,6722,74,nan,0.0,nan,0.0,nan,0.0,5.23030735905461,0.0,nan,0.0,nan,0.0,nan,0.0,5.23030735905461,0.9688030669934306,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,109,7.459197439075445,0.40767798986285925,nan,0.31610634290139505,nan,nan,1000.0,0.2314039213863193,0.2302917512782839,3475,1104,7291,186,nan,0.0,nan,0.0,nan,0.0,5.264575854734222,0.0,nan,0.0,nan,0.0,nan,0.0,5.264575854734222,0.9473925983753974,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,110,7.459197439075445,0.3784114903770387,nan,0.3774777038325645,nan,nan,1000.0,0.21642456460949855,0.2704015839051798,3677,661,6765,271,nan,0.0,nan,0.0,nan,0.0,5.287822590820149,0.0,nan,0.0,nan,0.0,nan,0.0,5.287822590820149,0.9519287627821164,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,111,7.459197439075445,0.3653039908967912,nan,0.37421731126196767,nan,nan,1000.0,0.30840674342342866,0.27021102042761114,3710,581,6692,79,nan,0.0,nan,0.0,nan,0.0,5.301817790458054,0.0,nan,0.0,nan,0.0,nan,0.0,5.301817790458054,0.9454367826129441,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,112,7.459197439075445,0.3657854907773435,nan,0.41907046078463545,nan,nan,1000.0,0.43888736841223736,0.3040221286161578,3735,498,6610,27,nan,0.0,nan,0.0,nan,0.0,5.301817790458054,0.0,nan,0.0,nan,0.0,nan,0.0,5.301817790458054,0.9454367826129441,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,113,7.459197439075445,0.350649740844965,nan,0.3825530246767758,nan,nan,1000.0,0.3336682917754339,0.28381256768293567,3620,770,6915,105,nan,0.0,nan,0.0,nan,0.0,5.314558264118238,0.0,nan,0.0,nan,0.0,nan,0.0,5.314558264118238,0.9425268296092556,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,114,7.459197439075445,0.3420814910158515,nan,0.41906395995609896,nan,nan,1000.0,0.4821303369551383,0.30684471626236903,3528,1009,7271,48,nan,0.0,nan,0.0,nan,0.0,5.323038375503199,0.0,nan,0.0,nan,0.0,nan,0.0,5.323038375503199,0.9417354580082122,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,115,7.459197439075445,0.32885974111035465,nan,0.4499503756596915,nan,nan,1000.0,0.34380487435804935,0.31932652071242246,3677,682,6830,77,nan,0.0,nan,0.0,nan,0.0,5.3331295503850615,0.0,nan,0.0,nan,0.0,nan,0.0,5.3331295503850615,0.9417599902098042,nan,nan,nan,nan
