algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.5386679377188726,0.805723313987255,0.8156954353054364,nan,11.429767258961995,117.63798156738281,1000.0,0.0,nan,0,54,0,30678,1.0375647788993512,0.9558131444870273,233.76114400227866,215.57708671569824,1.0375647788993512,0.9558131444870273,0.732715517282486,0.8325671890377998,3651.2954996541034,215.5770903082338,233.76114400227866,215.57708671569824,1.4156247568694698,3.208113948248399,2.1326204334210415,1.235193699565583,0.8256007933339408,0.9615167468878872,93.24366900634766,195.76970111291664
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.5742386543468094,0.8057149795691172,0.827083045343558,nan,11.901723782221476,118.91928234100342,1000.0,0.0,nan,0,27,0,30783,1.0899591706094744,0.9561301639998605,245.8260498046875,215.6925414276123,1.0899591706094744,0.9561301639998605,0.6553412849704424,0.8204431942105294,3818.8344343532735,215.69254647750614,245.8260498046875,215.6925414276123,1.4448893308872326,3.27104399807744,2.1753511977633155,1.2475324255622013,0.8110978031214678,0.9637053907890839,92.17684176635743,177.92904501548102
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.6088572873939286,0.8003529781103134,0.9039785367250442,nan,13.536164484525981,119.5867024230957,1000.0,0.0,nan,0,112,0,31266,1.0486083111798987,0.9583801623162745,236.5065106843647,216.1821067047119,1.0486083111798987,0.9583801623162745,0.6933535839381971,0.8057847806811332,3829.0093740571465,216.1821114527671,236.5065106843647,216.1821067047119,1.4955861835941724,3.3322762101694767,2.2302621942242946,1.2521875212381457,0.7960304759408785,0.9662081752313835,95.46009008789062,231.9752007952784
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.640367080622596,0.8031106457610925,0.9053997069597244,nan,15.304545769324669,120.37657096862793,1000.0,0.0,nan,0,45,0,30629,0.9532324251317426,0.9586074792648555,214.67826256385217,216.23599586486816,0.9532324251317426,0.9586074792648555,0.8002616602640885,0.7934966170787812,3868.6494513390476,216.23600093146277,214.67826256385217,216.23599586486816,1.5571872884626257,3.393798941114712,2.29183194952346,1.2523605221494993,0.7939095070384478,0.9582794243177641,92.07603317260742,187.07928610740038
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.6707462944723916,0.8012069786588351,0.9032385755578677,nan,12.229433377583822,121.43292373657226,1000.0,0.0,nan,0,74,0,30856,1.0154335747426548,0.9563088872985489,228.89326985677084,215.8201882171631,1.0154335747426548,0.9563088872985489,0.7091309309005738,0.7842931395769119,4448.002519106687,215.82019220610732,228.89326985677084,215.8201882171631,1.6107177909651078,3.452166153896002,2.347297136137466,1.2538792257318228,0.7790492645529814,0.9604338654923237,93.19487338256836,219.76815245564353
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.696790710338448,0.8031743129094442,0.8763150197267532,nan,11.743533372879028,122.13177696228027,1000.0,0.0,nan,0,33,0,30825,0.9056267169303949,0.9548402383051859,204.25254567464194,215.4422587585449,0.9056267169303949,0.9548402383051859,0.8371522774298986,0.7739608651399612,4245.674917607718,215.44226190246079,204.25254567464194,215.4422587585449,1.6858735604192974,3.5048312158001895,2.4134566225716543,1.2440234929478537,0.7775377375337312,0.9520545672839713,91.07896459960938,188.07310278356957
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.738215683616665,0.80291064620018,0.9168037281433741,nan,13.40268560556265,122.82203807830811,1000.0,0.0,nan,0,40,0,30854,0.9838276817758287,0.9525193580150016,221.98504051795373,214.87110206604004,0.9838276817758287,0.9525193580150016,0.7240442794102889,0.7646489864587784,3913.2529653246315,214.87110580578258,221.98504051795373,214.87110206604004,1.741038202810443,3.552700503499986,2.46570312308626,1.2392630119740582,0.7621707649018283,0.9544301946764606,91.72005187988282,187.69301942075344
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,3.781188101432881,0.7986033140619596,0.9333806400497754,nan,13.799403218662038,123.31901630401612,1000.0,0.0,nan,0,48,0,31320,1.0157081150706941,0.9502936249909396,229.32486769732307,214.33213569641114,1.0157081150706941,0.9502936249909396,0.6694584769361159,0.755149133503437,4413.778511863426,214.33214158675554,229.32486769732307,214.33213569641114,1.7867131739924393,3.5939065460514676,2.5095905228160507,1.2354132548734893,0.7484360405926331,0.9554182624626255,93.52989978027344,235.80132603805868
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,3.8110290255653023,0.7964989801247915,0.9563074330488841,nan,12.279324307161218,122.88261631011963,1000.0,0.0,nan,0,99,0,31139,1.0068927722382222,0.9515989411327432,227.07644922593062,214.64650146484374,1.0068927722382222,0.9515989411327432,0.6677501552245196,0.7409110715985299,3907.7779161250364,214.64650520889344,227.07644922593062,214.64650146484374,1.8335170379846633,3.629922991295531,2.55207941930901,1.2289925552673682,0.7351795712374323,0.9559307159198084,93.57919985961914,218.72305123180868
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,3.8459508251610153,0.7953833124041557,0.9467695251107215,nan,11.14544951915741,122.68810092926026,1000.0,0.0,nan,0,54,0,31364,1.0357971816925868,0.9509764877434008,233.47704601287842,214.55457664489745,1.0357971816925868,0.9509764877434008,0.6157321743667126,0.7290888813138008,4731.5298697015205,214.55458060845586,233.47704601287842,214.55457664489745,1.8685881892643355,3.662520576156122,2.5861611440210504,1.2254958017102928,0.7206920882066091,0.9572595021100071,93.2930961303711,237.23078807383095
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,3.8811241912101018,0.792255312303702,0.9803048408031464,nan,11.762930306521328,122.40602104187012,1000.0,0.0,nan,0,166,0,31338,1.0040432669459978,0.950019951319969,226.5386872725053,214.24554527282714,1.0040432669459978,0.950019951319969,0.6446833529255607,0.7176072013378143,4088.0936298897286,214.2455508625941,226.5386872725053,214.24554527282714,1.9403032646400713,3.693198430968347,2.6414613311713815,1.2049890595374735,0.7103805136573207,0.9553736132288546,95.6659203491211,265.5743400601857
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,3.9184215247983953,0.7930249804258347,1.0417250946164132,nan,16.252657969792683,122.20291011810303,1000.0,0.0,nan,0,35,0,30853,0.9818701099472588,0.9480776195928066,221.1851374308268,213.89132537841797,0.9818701099472588,0.9480776195928066,0.6612936332821846,0.7073671633005142,3780.078266406313,213.8913302609308,221.1851374308268,213.89132537841797,1.9655408468895295,3.7224162210005276,2.668290996533929,1.204085352034426,0.7047592276390994,0.9499904020657001,90.86497344970704,176.27841049812386
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,3.9618128082421755,0.7933739792307218,1.048105724453926,nan,15.737800011268028,121.9878653717041,1000.0,0.0,nan,0,43,0,30813,0.8967254594447103,0.9456446672670806,202.2286376953125,213.29064918518065,0.8967254594447103,0.9456446672670806,0.7650944728117722,0.6977264735102654,3661.757914410441,213.29065368913757,202.2286376953125,213.29064918518065,2.0167110127370074,3.7511961299408187,2.710505059618532,1.1913171457531597,0.7018381354394653,0.9426589879164194,90.57420425415039,180.52196725032647
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,4.018210709468731,0.7952279818058013,1.089616014758746,nan,13.970841924349466,121.43564022064209,1000.0,0.0,nan,0,57,0,30753,0.9690796092162154,0.9440713480135101,218.45779418945312,212.97386344909668,0.9690796092162154,0.9440713480135101,0.6520411496361097,0.6868268439173698,3455.848997255709,212.97386807923118,218.45779418945312,212.97386344909668,2.0538232650137704,3.7787554775673744,2.743796150035212,1.1836546173431717,0.6848578423542796,0.9454869099683803,90.43253244018555,168.12992316582944
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,4.052845261685074,0.7866959793368975,1.2059489787618318,nan,15.172072203262992,120.38288921356201,1000.0,0.0,nan,0,221,0,32135,0.9965445041723643,0.9440033067763597,224.93917183254075,212.93780838012697,0.9965445041723643,0.9440033067763597,0.5999071999736454,0.6737248286604881,3933.318113433988,212.93781168401753,224.93917183254075,212.93780838012697,2.082799096308151,3.805930254170584,2.7720515594531245,1.1808765230116105,0.6661113512622936,0.9494223540414184,95.52232525634766,266.10775789157043
