algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.7771689796447754,0.6344109903275966,nan,0.03732272230088711,0.03771384332329035,,nan,nan,0,0,0,10802,28.88888888888889,102.82,5.643227577209473,5.609348196983337,8.997409307577447,8.943392940735775
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.7781684817373753,0.6310130316019058,nan,0.03680885966867208,0.03709356900304556,,nan,nan,0,0,0,11926,40.827586206896555,107.42,5.6530424315353915,5.620312261581421,8.953170639183973,8.901333279002015
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.7789849801361561,0.628064939826727,nan,0.03647603577934205,0.0368015430867672,,nan,nan,0,0,0,11106,40.875,104.52,5.661810606718063,5.631106605529785,8.90747593465311,8.859170689091272
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.7795669811964036,0.6255290029942989,nan,0.03599909611977637,0.036240725852549074,,nan,nan,0,0,0,11030,31.272727272727273,103.42,5.677745212208141,5.641740112304688,8.873192903584908,8.81692405300858
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.7805479811131955,0.6229715783894062,nan,0.035774280461482705,0.03597440607845783,,nan,nan,0,0,0,10622,29.142857142857142,102.14,5.688685757773263,5.652240133285522,8.831219330943345,8.774640480008465
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.7813127310574055,0.6201827515661716,nan,0.035511279124766586,0.03581131776794791,,nan,nan,0,0,0,12040,40.03125,107.59,5.700296729803085,5.662613096237183,8.790445666131104,8.732333615291445
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.7820334801077843,0.6177088005840778,nan,0.03516168904490769,0.03483256848528981,,nan,nan,0,0,0,11194,36.4,104.66,5.712099719047546,5.672846097946167,8.750118092766526,8.689987171196575
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.7826754811406136,0.6156285052001477,nan,0.034903319706209,0.03472917409613729,,nan,nan,0,0,0,11506,38.5,105.82,5.7250998218854265,5.682959561347961,8.711759961757691,8.647636043232298
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.7836742307245731,0.6130549749732017,nan,0.034637834117747845,0.03486432746052742,,nan,nan,0,0,0,11824,38.03333333333333,106.83,5.738344303766886,5.692924737930298,8.673894655324174,8.60523991651763
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.7839142316579819,0.6114562115073204,nan,0.03408001803793013,0.034208825416862966,,nan,nan,0,0,0,10904,32.705882352941174,103.48,5.750880942625158,5.70280189037323,8.635085079190922,8.562893233999853
