algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,0.489851548751167,0.8536779789129892,0.5971624875068664,nan,2.841706739531623,16.91664873600006,1000.0,0.0,nan,0,349,0,30283,5.747630596160889,68.9037845993042,0.9393098486794366,0.9316501826047897,2.766359154770812,2.7863361361180097,0.1540883426948226,0.4843487969362739,2.766359154770812,2.7863361361180097,9211.361125024692,1582.9228499946958,3.7777777777777777,151.245,625.4227973090278,628.395608215332,10.401342456909402,124.69344509948066,625.4227973090278,628.395608215332,0.28619252439140314,0.2029560749512796,0.9319800246845592,2.7854758833327233,262.6158536376953,798.9736402483229
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,0.49710346285692875,0.8563916444778442,0.5764112983147304,nan,2.72595152258873,17.49701292037964,1000.0,0.0,nan,0,617,0,30633,5.804585814476013,77.34924266815186,0.9056819379329681,0.9237459671497344,2.8256648543013174,2.779021292201579,0.1632239618821704,0.49397113981157836,2.8256648543013174,2.779021292201579,9877.324620287045,1480.7514157155747,7.25,152.585,636.3211936950684,626.9109973144531,10.43461637658644,139.04690189071047,636.3211936950684,626.9109973144531,0.2955228330539336,0.20459860028684498,0.9224078909114555,2.782476370875634,271.12667712402344,908.3749541354152
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,0.5041384499210205,0.8588116457064946,0.5582089122136434,nan,3.0435755252838135,17.990603933334352,1000.0,0.0,nan,0,518,0,30484,5.791356390172785,86.08779266357422,0.9273907921530984,0.9138849329948425,2.742051823364116,2.776578625353196,0.16824494902921674,0.5009045962916222,2.742051823364116,2.776578625353196,10359.46541728262,1399.7150380580779,6.0,152.09,619.2658968838779,626.3864083862304,10.341659771175632,153.72748665388775,619.2658968838779,626.3864083862304,0.3013088079341789,0.2061914168353848,0.9145890299177848,2.7747786498940497,264.1784130859375,787.7942544034488
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,0.5110093310920875,0.8609456463654837,0.5425365775823593,nan,2.2462215051054955,18.40379669189453,1000.0,0.0,nan,0,512,0,30542,5.691300839185715,95.07619049072265,0.9015887677669525,0.9024534350633622,2.7800727323679055,2.7778842642397787,0.17943773748699235,0.5077519236735746,2.7800727323679055,2.7778842642397787,11002.875252238355,1330.8887793957588,8.125,152.06,627.5848655700684,626.6327883911133,10.095462051558638,168.65003278287077,627.5848655700684,626.6327883911133,0.31076341196162527,0.20558991284752517,0.9023893856339984,2.77804637299001,270.7358310546875,884.4475198299307
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,0.5186838643988916,0.8629393118619919,0.5287232166528701,nan,2.4848096892237663,18.83860146999359,1000.0,0.0,nan,0,398,0,30460,5.774814128875732,104.2732179260254,0.8823316972702742,0.8943023866415024,2.800665118526207,2.770668837800674,0.18959488788811835,0.5146054446563405,2.800665118526207,2.770668837800674,11686.303479092077,1269.957461117345,10.125,151.49,631.3849143981934,624.9598141479493,10.175537793267592,183.7351031830468,631.3849143981934,624.9598141479493,0.3195991105954072,0.20514220185393978,0.8934156689103003,2.7728907845210835,270.1882429199219,881.9446957778845
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,0.526471421153138,0.8646083120505015,0.5166198298335075,nan,2.7785896387967197,19.137405529022217,1000.0,0.0,nan,0,528,0,30492,5.974964705380526,113.68956172943115,0.9108753150159662,0.8817628735303878,2.7019848187522015,2.7742092169458736,0.19692519345660672,0.5214430192637868,2.7019848187522015,2.7742092169458736,11847.071414767579,1219.4310149025198,5.818181818181818,152.14,609.6440651633523,625.7157543945312,10.458259384744686,198.99614215856866,609.6440651633523,625.7157543945312,0.32673232377947875,0.2054078589364145,0.8832805837500152,2.770443963959474,263.69847119140627,748.4079770858947
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,0.5342190914550533,0.8661183136701583,0.505713721215725,nan,2.3251257578531903,19.489443578720092,1000.0,0.0,nan,0,347,0,30385,5.733359909057617,123.25625579833985,0.9051967263221741,0.8735705786943435,2.6890473261914587,2.7667272251843262,0.20407776321931836,0.5283244717270774,2.6890473261914587,2.7667272251843262,12333.973216727094,1170.642151195757,9.2,151.235,605.8642333984375,624.0157012939453,9.968687306889175,214.30768208541716,605.8642333984375,624.0157012939453,0.333776446622422,0.2055081566701386,0.8757770541102388,2.7613076973476143,267.78220751953126,838.2760569801156
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,0.5417078325250293,0.8674323119719823,0.49604591677586235,nan,2.767765442530314,19.72212661743164,1000.0,0.0,nan,0,420,0,30390,5.863330960273743,133.0004734802246,0.8716697841882706,0.8617543074488639,2.7438200915673883,2.767932079276128,0.2090324287430435,0.5351996683711142,2.7438200915673883,2.767932079276128,12989.223269080101,1133.7451692678858,5.833333333333333,151.6,618.8021596272787,624.4127789306641,10.126931692558644,229.7135739288559,618.8021596272787,624.4127789306641,0.3394993245942718,0.20649680177766508,0.8623155608492078,2.76656724978318,264.6163634033203,765.2394261650769
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,0.5495614985427199,0.8686279787619908,0.48770394364992775,nan,2.721972816868832,19.849401235580444,1000.0,0.0,nan,0,648,0,30730,6.034517990915399,142.86153251647949,0.8455642399035002,0.8470600697398186,2.779369195552629,2.7757679008660343,0.21677942628205296,0.5420302650366814,2.779369195552629,2.7757679008660343,13499.420669764731,1098.8971719676429,9.578947368421053,152.74,626.8966064453125,626.1285223388672,10.353346798770724,245.10573878040645,626.8966064453125,626.1285223388672,0.3468797617839044,0.20631706446969567,0.8469302945485399,2.7760803419575653,274.2734799804688,952.536854238117
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,0.557173299190563,0.8696269788344702,0.4799580302834511,nan,2.8903274169335,19.93041627407074,1000.0,0.0,nan,0,344,0,30330,6.310137345240666,152.7861661529541,0.8932233269398029,0.8320529049634934,2.6381137716395195,2.7839196388579786,0.22653217601008757,0.5488268699402643,2.6381137716395195,2.7839196388579786,13495.880348547456,1070.8439994698883,6.615384615384615,151.22,594.1566396859976,627.9724578857422,10.754288692541142,260.3915650543988,594.1566396859976,627.9724578857422,0.35545005358215825,0.20535313757647025,0.8357863109996061,2.7750206892155376,266.6370557861328,779.2304888501892
