algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.0064723839246157,0.8546356437603633,0.5955635660886764,nan,1.1905983752674527,6.81233137845993,1000.0,nan,nan,0,0,0,30632,9.980209878763961,51.06119463343638,4095.54290300402,1722.028910926467,5.514918857150608,28.215673675537108,42.55555555555556,151.245,1.217251741666212,1.2220520200119274,0.7179744355881209,1.9928986117054222,275.19857449001734,275.6074688720703,1.217251741666212,1.2220520200119274,275.19857449001734,275.6074688720703,0.9421123994721307,0.9379405796527862,1.2279441060350413,0.829743861218659,0.938120227396203,1.2218453094611548,115.19656188964844,762.5313366246592
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.0250384233060945,0.857398645679156,0.5747615842024485,nan,1.1757015399634838,7.0905886960029605,1000.0,nan,nan,0,0,0,31250,9.966388944930582,56.755828141963285,4430.719452523719,1603.8689605927614,5.544119477272034,31.572226810455323,45.8125,152.585,1.242407998776424,1.2207849550441596,0.7496559701159073,2.0083763474818808,279.7699737548828,275.39395904541016,1.242407998776424,1.2207849550441596,279.7699737548828,275.39395904541016,0.9170055165886879,0.9358541050553322,1.2531441210622971,0.8250310282909135,0.9344579133170622,1.2223866619872903,119.1102227783203,783.3306067178636
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.0418767370462825,0.8598449784517288,0.5566106802225113,nan,1.2761388637802817,7.3211091923713685,1000.0,nan,nan,0,0,0,31002,9.923979300187126,62.635186854980276,4643.8292044849395,1508.3817869099748,5.5574542392383925,35.075867671966556,53.09090909090909,152.09,1.2244522405885954,1.2241275522118278,0.7659261908892541,2.0236916558095075,276.53155517578125,276.1560485839844,1.2244522405885954,1.2241275522118278,276.53155517578125,276.1560485839844,0.9294505336067893,0.9297344115376472,1.2690323768573553,0.8252151181802909,0.9297196122142376,1.2241444790940288,116.54611364746094,705.5169572626586
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.05726891368495,0.8618499785661697,0.5409581536054611,nan,0.9862188845872879,7.540756995677948,1000.0,nan,nan,0,0,0,31054,9.858816466139574,68.65037929044313,4967.583350132338,1416.1056581755,5.557892262935638,38.7015432548523,40.125,152.06,1.2408151057693995,1.226524365743841,0.8072249344646099,2.0388545688474657,280.10247898101807,276.67969253540036,1.2408151057693995,1.226524365743841,280.10247898101807,276.67969253540036,0.9118848815560341,0.9244169422984123,1.2998767882177522,0.8152776126936457,0.9234886415026806,1.2275829390790676,119.63515634155273,725.4049304744348
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,2.073978638329441,0.863922646244367,0.527078109383583,nan,1.0574763901531696,7.77473925113678,1000.0,nan,nan,0,0,0,30858,9.857664221881215,74.78564740551393,5308.228484710334,1338.9488486070827,5.5944147408008575,42.442298583984375,35.0,151.49,1.2671345767472717,1.2248014621404586,0.8438490473618454,2.0541500165492703,285.66403675079346,276.26941070556643,1.2671345767472717,1.2248014621404586,285.66403675079346,276.26941070556643,0.8854658044874668,0.9227007633447647,1.3279694350368154,0.8064011849733382,0.9199426182442241,1.2279372484076296,119.64901345825196,705.4428509535638
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,2.092743932026708,0.8655263135830561,0.5149299398064613,nan,1.2103944312442432,7.958901410102844,1000.0,nan,nan,0,0,0,31020,9.895582582372,81.0486800345111,5439.999260843352,1274.539450793228,5.653498779643666,46.30435953140259,53.81818181818182,152.14,1.2248438167982814,1.2278465288666636,0.8704475135434961,2.069298447632697,276.3599423495206,276.9398091125488,1.2248438167982814,1.2278465288666636,276.3599423495206,276.9398091125488,0.9194266470995817,0.9167776149511337,1.3499878871791766,0.8010748446442579,0.9169157161531856,1.227689989374947,116.85584237670898,629.4957640558451
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,2.109864717018015,0.8670669796069463,0.5040243606766065,nan,1.0172745784123738,8.14276738166809,1000.0,nan,nan,0,0,0,30732,9.77228843575921,87.39125524258095,5677.603578779071,1218.4239899499096,5.620403671264649,50.26193557739258,32.333333333333336,151.235,1.2327774499375737,1.2290445591666597,0.8983184717302972,2.084376398322015,277.7521107991536,277.20323791503904,1.2327774499375737,1.2290445591666597,277.7521107991536,277.20323791503904,0.9091598749160766,0.9124629747867584,1.3727416423669845,0.7953513956465474,0.9122325259585713,1.2293049934064908,119.21385848999023,657.697703343336
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,2.1271942893949833,0.8684296445051829,0.4942782147725423,nan,1.1891498466332753,8.310383348464965,1000.0,nan,nan,0,0,0,30810,9.789179973633924,93.81011048598934,6025.06103878577,1170.1009094893202,5.667778134346008,54.31454875946045,40.833333333333336,151.6,1.2636044783545348,1.2306051746653208,0.9155051661595851,2.099332072993886,284.9768320719401,277.6101821899414,1.2636044783545348,1.2306051746653208,284.9768320719401,277.6101821899414,0.8785227636496226,0.9078103837370872,1.3890359288933054,0.7937361324112786,0.9061525939208157,1.2324730597798048,117.88351684570313,612.6418287265864
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,2.144657572483044,0.8697349790732066,0.4855149671435356,nan,1.2033229595736454,8.432212800979615,1000.0,nan,nan,0,0,0,31378,9.818949990870555,100.28756374931844,6359.346864908354,1131.5544028207516,5.723041208166825,58.45328273773193,43.68421052631579,152.74,1.2812318121640114,1.2361428291555605,0.9438606269213244,2.113948832218038,288.9821343672903,278.8386849975586,1.2812318121640114,1.2361428291555605,288.9821343672903,278.8386849975586,0.8594616228028348,0.899599336385727,1.4118959090400098,0.7869263313879309,0.8961170689972568,1.2400546587316361,122.51679510498047,694.2769419948181
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,2.1614850523334557,0.870773313442866,0.4776286252339681,nan,1.2553287927921002,8.530079412460328,1000.0,nan,nan,0,0,0,30674,9.881859218835697,106.78171443793892,6427.672506753311,1102.8683593231603,5.798234609457163,62.65475135803223,33.07692307692308,151.22,1.2299488275008026,1.2428777404018807,0.9772958177022549,2.128227981058558,277.01419419508716,280.3568481445312,1.2299488275008026,1.2428777404018807,277.01419419508716,280.3568481445312,0.9018235756800725,0.8902798211574554,1.437668683044776,0.7767617492693221,0.8909843695555495,1.2420886518210636,119.34510830688477,608.2668289048502
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,2.178168179563997,0.8717156457901001,0.47047407875458397,nan,1.0626233736673991,8.626624934673309,1000.0,nan,nan,0,0,0,30930,9.739608617444826,113.27153837217564,6803.191873983813,1072.2281924155263,5.752994028727214,66.90725566864013,38.13333333333333,151.79,1.2873387594706893,1.2482094387218703,1.0054308370478684,2.1421857493513183,290.1772776285807,281.69888931274414,1.2873387594706893,1.2482094387218703,290.1772776285807,281.69888931274414,0.8471287687619528,0.882170880138874,1.4601328019692483,0.7684020048325393,0.8797260816707168,1.250939391332253,121.38487405395507,632.987033185725
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,2.193101302988162,0.8727483111619949,0.4638936028877894,nan,0.9751636882623037,8.717138121128082,1000.0,nan,nan,0,0,0,30858,9.633488124242916,119.75383512784025,6527.0121063151455,1048.9849585782417,5.728372891743978,71.20937026977539,42.833333333333336,151.72,1.1935435222663062,1.2528497748635585,1.045000070933177,2.1559338517538604,269.2114906311035,282.68196914672853,1.1935435222663062,1.2528497748635585,269.2114906311035,282.68196914672853,0.9279152949651083,0.8746442368626595,1.4893735832614505,0.753653104278752,0.8776595797741188,1.2494928171693747,119.5338634338379,576.2422739828602
