algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,1.8577232851544105,0.8767596427599589,0.41578824758529664,nan,2.3925547372727167,10.731423506736755,1000.0,0.0,nan,0,2054,0,29732,9216.147182893888,345.6768364280205,0.9360446706255573,1.4688661091611497,0.756611168384552,0.5254195854067802,1.2661588138574484,1.5015841715845597,285.95777093796505,338.6627392578125,1.2661588138574484,1.5015841715845597,285.95777093796505,338.6627392578125,1.149173246039794,0.43036402256585143,0.547388016368469,1.479213436234924,147.47532208251954,525.3489162527515
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,1.8981803746009625,0.8772029783328374,0.4141545001665751,nan,2.392216595736417,10.388929283618927,1000.0,0.0,nan,0,1206,0,29772,9287.646911102951,346.63623853066,0.9563627749791097,1.4913065400987113,0.7976530627770857,0.5060210154950618,1.2061369008517617,1.4986882126305687,271.61408164284444,338.16135818481445,1.2061369008517617,1.4986882126305687,271.61408164284444,338.16135818481445,1.1703402810269505,0.4333249638170294,0.5212245819410442,1.4834367224430478,141.24005307006837,342.982727456529
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,1.939910467262327,0.8766733117898305,0.41500578820705414,nan,2.706912899718565,10.394913573265075,1000.0,0.0,nan,0,1793,0,29963,8161.872451317502,342.80167457937307,0.9835715414314306,1.5165541153265707,0.7867690640337327,0.5038368134200573,1.1989356160274733,1.4785341179510822,270.4007433723001,333.42631912231445,1.1989356160274733,1.4785341179510822,270.4007433723001,333.42631912231445,1.1967645709894863,0.43838048945312114,0.526002012776889,1.4566300878464677,142.56415292358398,414.62433317654427
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,1.939910467262327,0.8770436435937882,0.4133767678340276,nan,2.3323688290335913,10.029539091587067,1000.0,0.0,nan,0,1530,0,29066,9823.828089874823,341.42018997009785,0.9936650724123804,1.5396880280495122,0.6636619649150155,0.48388192132115365,1.300931106605464,1.4759477901972524,293.40142822265625,332.89272644042967,1.300931106605464,1.4759477901972524,293.40142822265625,332.89272644042967,1.2120742546672332,0.4428909810180696,0.4932543406554308,1.4668236976877285,139.6119219970703,352.6922939652853
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,1.939910467262327,0.8768623125553131,0.413544200360775,nan,2.7610691027207808,9.972051397562026,1000.0,0.0,nan,0,1826,0,28862,8157.58989405763,339.1765215749134,1.0003411745433513,1.563963875893956,0.7548705447803844,0.4790113268047571,1.1940927418164833,1.4586447436722003,269.62685324928975,329.0864729309082,1.1940927418164833,1.4586447436722003,269.62685324928975,329.0864729309082,1.2257902550835929,0.45254742554740335,0.493392613049932,1.4448529331489166,137.56637994384766,315.1375862992332
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,2.1358388126238617,0.8698353119691213,0.4385700573523839,0.10730696781173188,2.570223765713828,10.124610500335693,1000.0,0.8,0.10670808129754862,249,8,30162,597,8563.022738969365,0.0,1.0321164894392076,0.0,0.785409118447985,0.0,1.1474642154187908,0.0,258.8294448852539,0.0,1.1474642154187908,0.0,258.8294557843889,0.0,1.0321164894392076,0.47024371890738786,0.785409118447985,1.1474642154187908,12.078707427978516,399.60772781857025
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,2.223894716428574,0.8624336467683316,0.788583806057771,0.06103121104109181,2.6004872051152317,11.03087345123291,1000.0,0.4861111111111111,0.018272322176492543,423,97,29961,433,8754.44924695528,0.0,1.0573537752789874,0.0,0.8033795031634244,0.0,1.1136562393547995,0.0,251.24930503151634,0.0,1.1136562393547995,0.0,251.24928838556463,0.0,1.0573537752789874,0.4825723831489765,0.8033795031634244,1.1136562393547995,9.212474517822265,320.99647238836025
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,2.3212868928872274,0.8529739788919687,4.474614159464836,0.17810136003861254,2.633731456903311,19.96723947048187,1000.0,0.6363636363636364,0.0918423035343662,171,9,30229,571,7956.546929988534,0.0,1.0895678667950421,0.0,0.8220149462039654,0.0,1.0799908597756187,0.0,243.74660902756912,0.0,1.0799908597756187,0.0,243.74657733623798,0.0,1.0895678667950421,0.5002051175287988,0.8220149462039654,1.0799908597756187,10.562353057861328,344.7837002995031
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,2.3847311404469447,0.837353313267231,74.50489945054055,0.36695423340450123,1.8513275931278865,78.3994388961792,1000.0,0.8181818181818182,0.26664922542229874,437,4,29918,547,9496.122641466367,0.0,1.1146926738252338,0.0,0.7436051393548647,0.0,1.134728685441057,0.0,255.55071894327799,0.0,1.134728685441057,0.0,255.55072657267252,0.0,1.1146926738252338,0.5079893328170103,0.7436051393548647,1.134728685441057,10.22202875773112,379.84490565865457
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,2.3847311404469447,0.8162169818580151,5985.441371612449,0.09090909090909091,2.4497233979842243,271.92551429748534,1000.0,0.0625,0.07575757575757576,57,704,30471,62,8741.17986669541,0.0,1.1483104944730558,0.0,0.7102517354137757,0.0,1.1475098377964439,0.0,258.81044006347656,0.0,1.1475098377964439,0.0,258.81044006347656,0.0,1.1483104944730558,0.5218721228044729,0.7102517354137757,1.1475098377964439,14.665924936930338,495.33352577940656
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,2.3847311404469447,0.7979546479135752,368822.0294269468,0.0,1.917480272742418,1690.600650024414,1000.0,0.0,0.0,109,470,30205,28,7563.339789207992,0.0,1.166322641402555,0.0,0.6206093459175184,0.0,1.2089945057961153,0.0,272.4803901085487,0.0,1.2089945057961153,0.0,272.4803701547476,0.0,1.166322641402555,0.52974022600022,0.6206093459175184,1.2089945057961153,11.807483571370442,327.74472419901304
