algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,3.9167668324525806,0.7698379782835643,0.6592214540640513,nan,0.8598269399474648,6.77993901014328,1000.0,nan,nan,0,0,0,31368,5401.960630344749,1071.9332437770186,9.310819421920415,105.05147671596391,1.8271649403947026,3.7245946518724393,213.7199608297909,208.52911781311036,0.9466016784781769,0.9245875699791678,0.759985452189165,0.7888231517374515,0.9466016784781769,0.9245875699791678,213.7199608297909,208.52911781311036,5.610818386077881,63.30535802841187,48.411764705882355,152.725,2.5861368249857972,1.276203600035388,0.7865639771184614,0.9263121775574312,90.67812579345703,612.4399589425288
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,3.983169770304107,0.7711733142534892,0.6544926514228185,nan,0.7495665532701156,6.699073631167412,1000.0,nan,nan,0,0,0,31238,5227.581102139075,1053.582914080778,9.281690997830152,109.92622804011349,1.8756231353676436,3.760274670841072,209.2602269789752,210.12411460876464,0.9279692501935243,0.9315447656642448,0.7721762201365303,0.7674453490227461,0.9279692501935243,0.9315447656642448,209.2602269789752,210.12411460876464,5.630678232978372,66.68604024887085,43.64705882352941,152.48,2.6294837495570147,1.2692428084597092,0.7678159702620748,0.931264656157322,91.16449356079102,599.1709231050397
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,4.034468531476694,0.7723266466458638,0.6502429777383805,nan,0.7063772417604923,6.736730687618255,1000.0,nan,nan,0,0,0,31418,5514.817607079903,1036.6925591341815,9.20206592291212,114.66691373913467,1.9146388747688328,3.794455958598962,215.62392330169678,209.21959487915038,0.9566610757831754,0.9273678991326875,0.7214918415993452,0.7606400480866432,0.9566610757831754,0.9273678991326875,215.62392330169678,209.21959487915038,5.6197143495082855,70.02724235534669,51.0,153.01,2.666565708300885,1.2656523674888522,0.757740180939436,0.9295377640697606,90.58780349731445,591.1511870802294
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,4.093532246323437,0.7734596478939056,0.6461056834459304,nan,0.8340044306083159,6.777422086000443,1000.0,nan,nan,0,0,0,31504,5230.39486637051,1010.731367003603,9.235528281044674,119.37160293098982,1.9920045428792172,3.829307590916257,203.03958476673472,208.01605422973634,0.8999015223712677,0.9223874014106296,0.7852600040760908,0.7549072422087193,0.8999015223712677,0.9223874014106296,203.03958476673472,208.01605422973634,5.6778764724731445,73.38802883148193,42.36363636363637,152.86,2.726925762094033,1.2455684573077979,0.7579151735649453,0.9201590710553778,92.14016342163086,634.4299209217436
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,4.142644369873359,0.7746956459681194,0.6421993400653203,nan,0.906179778277874,6.641367766857147,1000.0,nan,nan,0,0,0,30888,5426.429092931838,998.6403384169342,9.232794559542226,124.0428501977391,2.0179109242787496,3.86154630581409,212.6341463724772,210.0839527130127,0.9438718014382227,0.931198024850445,0.7131014813979467,0.7303812266886234,0.9438718014382227,0.931198024850445,212.6341463724772,210.0839527130127,5.714163541793823,76.7699451828003,43.833333333333336,151.81,2.755365076892886,1.2455372717419821,0.7294031278985851,0.9319154084308853,89.13680059814453,529.6904335971378
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,4.194178156237529,0.7755606458584468,0.6387683681646983,nan,0.8774846677596753,6.663227511644363,1000.0,nan,nan,0,0,0,30856,5212.154613465786,982.5199509727062,9.16272250829847,128.5388804153552,2.0684001506597225,3.895320176991536,194.58109224759616,208.98136840820314,0.8628631374391298,0.9265165834574153,0.8117272166105417,0.7240682888031006,0.8628631374391298,0.9265165834574153,194.58109224759616,208.98136840820314,5.70872765320998,80.08465393066406,40.15384615384615,151.67,2.799168161192448,1.2343402207635634,0.7294183642091886,0.9226316313530128,88.65165576171874,528.5240003391929
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,4.230582200677522,0.7766576480865478,0.6352546858787537,nan,0.880127934118112,6.567311500310898,1000.0,nan,nan,0,0,0,30810,5518.386869763884,971.8011187626397,9.227682058712114,132.98801078273934,2.106752131005285,3.928613867525901,205.37143198649088,209.915678024292,0.9110105335464148,0.9305058527275378,0.7328133831421534,0.7056960155069828,0.9110105335464148,0.9305058527275378,205.37143198649088,209.915678024292,5.7876559893290205,83.4108557510376,40.833333333333336,151.6,2.8354968256135313,1.2279449731280938,0.7072309608448226,0.9294023440946438,88.89518557739258,521.161732379389
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,4.281243492708623,0.7776533136765162,0.6320994804302852,nan,0.8933533196863921,6.56520473241806,1000.0,nan,nan,0,0,0,32356,5774.4987160932915,958.3352450634193,9.28105024568361,137.2971043273424,2.14232945549945,3.9623679773079914,218.46514826235563,209.02611640930175,0.9678784960057741,0.9266729002345727,0.6401814390783724,0.6980731415748597,0.9678784960057741,0.9266729002345727,218.46514826235563,209.02611640930175,5.860065999238388,86.68955253601074,58.69565217391305,155.03,2.870344864222867,1.226426943997041,0.6921022484922623,0.9309228047311539,93.65984338378907,648.961038965659
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,4.368429646720506,0.7784526465336482,0.6290858270724614,nan,0.8374285946289698,6.479538234472275,1000.0,nan,nan,0,0,0,30774,5741.116442871621,946.9305940070658,9.038804305744733,141.5410626364554,2.1709395860052156,3.9959865476656216,208.23405583699545,209.45370719909667,0.9238750180775308,0.9286338194999163,0.6889589428901672,0.6822058822214604,0.9238750180775308,0.9286338194999163,208.23405583699545,209.45370719909667,5.745286146799724,89.96697780609131,40.0,151.47,2.900958370669378,1.2252953467458765,0.682588130938557,0.9283644533816682,88.77910021972656,516.5590322317453
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,4.418370687440615,0.7789363145828248,0.6266209163268407,nan,0.6782934616009394,6.456371619701385,1000.0,nan,nan,0,0,0,30930,5770.736337054838,939.0258650683659,8.958663822026194,145.6570333348001,2.212319251984075,4.0290358617448065,197.40682220458984,208.83465347290038,0.8759452197433704,0.9254777085247785,0.7444819509983063,0.6734855778515338,0.8759452197433704,0.9254777085247785,197.40682220458984,208.83465347290038,5.732436021169026,93.20247318267822,45.666666666666664,151.91,2.939005895888368,1.218392320705883,0.6775042404824833,0.9226739827446988,88.27162512207032,514.1080181166625
