algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.869004477262497,0.49279780849814414,nan,0.0471668247692287,0.04908743059883515,,nan,nan,0,0,0,50626,5.609731537955148,5.58832098642985,54.142857142857146,167.49,9.688924006399848,9.651944481575859
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.8704069784283638,0.4838604116439819,nan,0.04548976035788655,0.047462065170208616,,nan,nan,0,0,0,51354,5.6274171609144945,5.606276151339213,60.23076923076923,168.57,9.654889012844498,9.61861764798345
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.8714644780755043,0.47594768077135086,nan,0.04382061067968607,0.04596694931387901,,nan,nan,0,0,0,50496,5.6440364718437195,5.623584659894307,40.5,167.24,9.61906124836079,9.584205479309198
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.8724379777908325,0.46884368374943736,nan,0.04245557174086571,0.04470403891056776,,nan,nan,0,0,0,50612,5.66195547580719,5.640299166043599,47.5,167.44,9.585483674830256,9.548820333943357
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.8734504780173302,0.4623335413634777,nan,0.04120297042652964,0.04341337518145641,,nan,nan,0,0,0,50990,5.678310023413764,5.656464258829753,63.333333333333336,168.06666666666666,9.549296669419899,9.512558328941335
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.8743959802389145,0.4561279265582561,nan,0.04005037076771259,0.0422444832076629,,nan,nan,0,0,0,50498,5.693029880523682,5.672130575180054,51.666666666666664,167.29333333333332,9.510436543751409,9.475523409365966
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.8751784798502922,0.45077465623617174,nan,0.039001905620098115,0.04126029108961423,,nan,nan,0,0,0,51068,5.712916162278917,5.687326000531514,67.88888888888889,168.19,9.480244609509136,9.437779258001946
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.8759454765915871,0.4456818135082722,nan,0.03795108186081052,0.040379963119824724,,nan,nan,0,0,0,50792,5.729872131347657,5.7021127716700235,48.5,167.69,9.445203646828897,9.399444719011575
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.8766129785776138,0.4409092815220356,nan,0.037052933163940906,0.03948728936413924,,nan,nan,0,0,0,50692,5.748896598815918,5.716501609484355,52.375,167.57666666666665,9.41359688343201,9.360551335409241
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.8772969776391983,0.4366236458718777,nan,0.03639234533533454,0.03876729571570953,,nan,nan,0,0,0,51220,5.76216800396259,5.730504086812338,55.46153846153846,168.33,9.372635318631257,9.321131379835203
