algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,balance_threshold_honest,balance_threshold_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,87,6.900154084979923,0.8854114788770676,0.38302093476057053,1.0,1.330819418032964,nan,1000.0,1.0,1.0,50166,266,0,24,0.6191778319720037,0.0,7851.8894847144,0.0,0.6191778319720037,0.0,4.8658464894643805,0.0,4.0,0.0,6.781095425287883,nan,139.4313507080078,0.0,0.6899448235829672,0.0,7.542993883196168,nan,139.4313507080078,0.0,4.8658464894643805,1.189020082117356,0.6899448235829672,0.6191778319720037,4.182940521240234,235.556684541432
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,88,6.900154084979923,0.8854174771904946,0.38304931357502936,1.0,1.8181129693984985,nan,1000.0,1.0,1.0,50104,204,0,16,0.6002290721471661,0.0,7405.216815146446,0.0,0.6002290721471661,0.0,4.881585174335218,0.0,3.2,0.0,7.557695484161377,nan,135.41465759277344,0.0,0.7687560439109802,0.0,8.350990552013199,nan,135.41465759277344,0.0,4.881585174335218,1.1915008106810294,0.7687560439109802,0.6002290721471661,3.385366439819336,185.13042037866114
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,89,6.900154084979923,0.8854619777202606,0.38321573480963705,1.0,1.7948188384373982,nan,1000.0,1.0,1.0,50356,456,0,58,0.6002290721471661,0.0,7011.717391674253,0.0,0.6002290721471661,0.0,4.928327917453694,0.0,6.444444444444445,0.0,7.7793235248989525,nan,135.47615220811633,0.0,0.7081205447514852,0.0,8.538766542809086,nan,135.47615220811633,0.0,4.928327917453694,1.17811220584527,0.7081205447514852,0.6002290721471661,6.096426849365234,315.5272826253414
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,90,6.900154084979923,0.8854599785804749,0.3833975271880627,1.0,1.709976268666131,nan,1000.0,1.0,1.0,50437,537,0,166,0.6002290721471661,0.0,7603.930481296275,0.0,0.6002290721471661,0.0,4.997953298341856,0.0,11.857142857142858,0.0,7.131179979869297,nan,135.44169725690568,0.0,0.7544647540364947,0.0,7.775340331904443,nan,135.44169725690568,0.0,4.997953298341856,1.1554256803178693,0.7544647540364947,0.6002290721471661,9.480918807983398,532.2751336907392
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,91,6.900154084979923,0.8853964763879776,0.3835320720076561,1.0,1.5395822610173906,nan,1000.0,1.0,1.0,50217,317,0,32,0.6002290721471661,0.0,7769.730942280394,0.0,0.6002290721471661,0.0,5.032763925176475,0.0,4.571428571428571,0.0,6.955379622323172,nan,135.6962672642299,0.0,0.7026543361800057,0.0,7.533270325936014,nan,135.6962672642299,0.0,5.032763925176475,1.145499857879137,0.7026543361800057,0.6002290721471661,4.749369354248047,271.94058297981377
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,92,7.300194468373703,0.8853464785218239,0.38373281717300417,1.0,1.9362452030181885,nan,1000.0,1.0,1.0,50559,659,0,76,0.6002290721471661,0.0,7728.57647518832,0.0,0.6002290721471661,0.0,5.0752443526694915,0.0,6.909090909090909,0.0,7.25148378718983,nan,135.40861372514203,0.0,0.7686284997246482,0.0,7.8017907352534674,nan,135.40861372514203,0.0,5.0752443526694915,1.1427659812668791,0.7686284997246482,0.6002290721471661,7.447473754882813,425.07170613535766
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,93,7.300194468373703,0.8853419795632362,0.3840144285559654,1.0,2.00319825519215,nan,1000.0,1.0,1.0,50319,419,0,96,0.6002290721471661,0.0,7539.394592452861,0.0,0.6002290721471661,0.0,5.1122280729422505,0.0,8.727272727272727,0.0,7.839203487743031,nan,135.52425453879616,0.0,0.7297357808459889,0.0,8.37807141955728,nan,135.52425453879616,0.0,5.1122280729422505,1.1444972186201505,0.7297357808459889,0.6002290721471661,7.4538339996337895,414.66670258490734
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,94,7.300194468373703,0.8853444758057595,0.3841413705050945,1.0,1.564319070842531,nan,1000.0,1.0,1.0,50357,457,0,50,0.6002290721471661,0.0,7782.417801456058,0.0,0.6002290721471661,0.0,5.160080965447352,0.0,5.555555555555555,0.0,7.124235312143962,nan,135.46387227376303,0.0,0.7711220979690552,0.0,7.5633653481335115,nan,135.46387227376303,0.0,5.160080965447352,1.091484389408333,0.7711220979690552,0.6002290721471661,6.095874252319336,350.20880106552266
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,95,7.300194468373703,0.8853734755516052,0.3842208267748356,1.0,1.4872350123795597,nan,1000.0,1.0,1.0,50402,502,0,88,0.6002290721471661,0.0,7578.7212408526575,0.0,0.6002290721471661,0.0,5.203763862487367,0.0,8.0,0.0,7.268783309242942,nan,135.34620805220172,0.0,0.7098545377904718,0.0,7.665548741948726,nan,135.34620805220172,0.0,5.203763862487367,1.0792502786978135,0.7098545377904718,0.6002290721471661,7.444041442871094,416.8296682468962
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,96,7.300194468373703,0.8853394758701324,0.38443263322114946,1.0,1.4849805661610194,nan,1000.0,1.0,1.0,50264,364,0,34,0.6002290721471661,0.0,7863.937892223745,0.0,0.6002290721471661,0.0,5.237506761839818,0.0,4.857142857142857,0.0,7.0383550098964145,nan,135.49385288783483,0.0,0.75674455506461,0.0,7.373223511349806,nan,135.49385288783483,0.0,5.237506761839818,1.0617331577220053,0.75674455506461,0.6002290721471661,4.742284851074219,275.2378262278311
