algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.456326533995791,0.751729978621006,0.7309352600574494,nan,0.7994281514124437,5.933407371838888,1000.0,nan,nan,0,0,0,50992,4193.113529187643,1668.1067704008904,219.15612931685015,214.58831766764322,9.65790164981589,55.152500824882424,0.9717425471791971,0.9510256621521997,53.63636363636363,168.00666666666666,219.15612931685015,214.58831766764322,1.3361385449962377,3.0894680882127865,0.9717425471791971,0.9510256621521997,5.444626851515337,31.092135518391927,0.8481888445940885,0.8727446689208349,2.3881362709261666,1.1194190713925398,0.8718761349414322,0.95175841371264,133.57442544555664,1093.1125598826625
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5287562518194795,0.7543169820308685,0.7206373769044876,nan,0.7499779718262809,6.1356192938486735,1000.0,nan,nan,0,0,0,51174,4234.18225320947,1558.4063099908249,214.3925792149135,212.21567850748698,9.618376457611737,59.95059540402155,0.9501135291469845,0.9407636080312498,50.857142857142854,168.20666666666668,214.3925792149135,212.21567850748698,1.4320515633365425,3.1792169138153406,0.9501135291469845,0.9407636080312498,5.458614315305438,34.02312019348145,0.86250758596829,0.8737014738718668,2.4803507736238215,1.1176524707321935,0.8732023833283953,0.9411804834950089,133.33239932250976,1053.60088908436
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.5677626385780106,0.756194980442524,0.7112196379899979,nan,0.9472310675515069,6.251988898913066,1000.0,nan,nan,0,0,0,50870,4417.763774758759,1468.7881063190746,217.69912719726562,211.89010828653971,9.653277210751149,64.86786741789044,0.9647203078779337,0.9393488941404561,57.333333333333336,167.84666666666666,217.69912719726562,211.89010828653971,1.4751450281734022,3.267785293002839,0.9647203078779337,0.9393488941404561,5.515065987904866,37.06001200358073,0.8334123558468289,0.8640927277008692,2.550729187071064,1.1351221066496378,0.8631991246371593,0.9400878673561109,131.0526492614746,960.7926117371024
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.6073901788953084,0.7583509820699692,0.7026801112294198,nan,0.7334981148059552,6.39045934677124,1000.0,nan,nan,0,0,0,51138,4643.061216324347,1393.9296828840572,215.5475628192608,210.7033312479655,9.53594342575663,69.82592827512198,0.9553796690144233,0.933987888185081,52.23076923076923,168.19666666666666,215.5475628192608,210.7033312479655,1.5344925621871388,3.3574294787736636,0.9553796690144233,0.933987888185081,5.484472935016338,40.15946788787842,0.8330966371756333,0.8592246172825495,2.6282547121390536,1.1459332172029901,0.8581394296103773,0.9348763647051495,132.02623538208007,957.0774013548673
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.654942099291225,0.7601669812202454,0.6950979205965996,nan,0.7551096379756927,6.450443037350973,1000.0,nan,nan,0,0,0,50626,4822.136401783705,1332.1584025417499,215.89666530064173,211.06181376139324,9.493166163082938,74.8406657175328,0.9583158247303659,0.9358531410825174,54.142857142857146,167.49,215.89666530064173,211.06181376139324,1.5654624164696305,3.4335673807237512,0.9583158247303659,0.9358531410825174,5.496390887669155,43.33154460906982,0.8177467925207955,0.8454585125048956,2.686325395022102,1.162336398047181,0.8448266491827825,0.9363653195370287,129.65964157104492,866.8049511500219
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.70001655381107,0.7620019793510437,0.6876768806576729,nan,0.9250894097181467,6.575140342712403,1000.0,nan,nan,0,0,0,51354,4847.862821207598,1271.6398374706075,225.55410883976862,209.6692729695638,9.576711039593693,79.84254672921382,0.9995599341140361,0.9295726087471633,60.23076923076923,168.57,225.55410883976862,209.6692729695638,1.5985742686385054,3.501689320169378,0.9995599341140361,0.9295726087471633,5.581850602076604,46.53676671346029,0.7544716252730443,0.8416812028487524,2.7404432995570285,1.1746502280577564,0.8380590798184514,0.9324794305675126,131.66597061157228,889.0283358337621
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.734202612838719,0.7637639814615249,0.6812599450349808,nan,1.084644839167595,6.681601113478343,1000.0,nan,nan,0,0,0,50496,5006.719740478602,1218.1790184421568,216.601411819458,208.50468505859374,9.702343936580933,84.88452745814786,0.9606892560010523,0.9242496024680573,40.5,167.24,216.601411819458,208.50468505859374,1.6327665909189641,3.5582217976348876,0.9606892560010523,0.9242496024680573,5.6929030418396,49.80645787556966,0.790876492857933,0.8367394411563873,2.7880397149485177,1.1821133953847875,0.8355481957460379,0.9251960869754077,128.56843362426758,811.0149269129518
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.781822051119046,0.7652029809355736,0.675366228222847,nan,0.7880004495382309,6.7728781986236575,1000.0,nan,nan,0,0,0,50612,4885.43903463924,1170.7308062498173,217.88251495361328,207.39751739501952,9.480232996768487,89.94979717409846,0.9670117276484069,0.9195433756194429,47.5,167.44,217.88251495361328,207.39751739501952,1.6649809533064543,3.6075054921551644,0.9670117276484069,0.9195433756194429,5.5997859835624695,53.13156476338705,0.7706871628761292,0.8310312650601069,2.8304956766156804,1.1871670127239773,0.829463885782601,0.9207763198279876,127.92463067626953,780.6055083041182
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.829948412309985,0.7667809799313545,0.6698266515135765,nan,0.7591648234261407,6.831041836738587,1000.0,nan,nan,0,0,0,50990,4785.780655240019,1130.2443802442622,202.06161159939236,206.96747685750324,9.361491555939859,95.02361514487995,0.8944139788505632,0.9171405851665744,63.333333333333336,168.06666666666666,202.06161159939236,206.96747685750324,1.7315261755822866,3.6511890787509507,0.8944139788505632,0.9171405851665744,5.56663523779975,56.50400914510091,0.8515497181150649,0.8223681779702504,2.8833239174834855,1.1760737795715555,0.8232181257414586,0.9164786451767875,127.81759512329101,764.2906799408777
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,3.8687594938792946,0.7682059821486473,0.6641687405109405,nan,0.7754484663407007,6.810438523292541,1000.0,nan,nan,0,0,0,50498,5532.387644559963,1098.2763401634072,223.21933237711588,207.74062199910483,9.46224663178228,100.07697781807337,0.9905516206048993,0.9210418090976559,51.666666666666664,167.29333333333332,223.21933237711588,207.74062199910483,1.7647334988515542,3.6899538271829866,0.9905516206048993,0.9210418090976559,5.664182980855306,59.906947746276856,0.7153238008419672,0.8054731667041779,2.9198656958504134,1.1768813496743091,0.8037055320794286,0.92240474657819,127.32300518798829,725.354455832764
