algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.02552376214362,0.847755310535431,0.5129219840963681,nan,5.708953829912039,4.992913667559623,1000.0,0.0,nan,0,2138,0,28520,198.43967613807092,230.26469955444335,0.8804570466048334,1.0210485720605942,4522.492625578322,416.5803856704924,0.8804570466048334,1.0210485720605942,198.43967613807092,230.26469955444335,0.6995818523260263,0.49193086944520475,2.3056032031760454,3.7138394247755984,2.868897691815867,1.073617341291457,0.5046044036116398,1.012467868629022,97.26531140136719,284.21696253323336
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.070447429980684,0.8480713115135828,0.5133592279752096,nan,5.982780392964681,4.766411150097847,1000.0,0.0,nan,0,2578,0,28488,192.36058044433594,231.4033659362793,0.8537387541102675,1.0258512735784122,5058.629920957772,420.0031710348482,0.8537387541102675,1.0258512735784122,192.36058044433594,231.4033659362793,0.7263714412848155,0.46960973396897315,2.3417088712302063,3.7355434185511234,2.899242690158573,1.0667774744644376,0.48752334145612497,1.0138434233829603,98.3321637878418,319.76016604267244
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.083107500700806,0.8450776443878809,0.5256578794121742,nan,6.370613450589388,4.625523356199264,1000.0,0.0,nan,0,2128,0,29298,191.37622003969938,231.1840355682373,0.8484085698917597,1.0248704087051914,4568.820020486398,423.51161612592506,0.8484085698917597,1.0248704087051914,191.37622003969938,231.1840355682373,0.7216028778449349,0.4557070407271385,2.3678959072819126,3.7572784291879486,2.923648916044327,1.072149246769242,0.48313127504870496,1.0066703087378868,101.2769203491211,379.5703673927443
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.24949817428469,0.8456153132518133,0.522727246383826,nan,5.926266823496137,4.5378169733285905,1000.0,0.0,nan,0,2238,0,29078,189.09604862758093,230.22945442199708,0.8397173953333742,1.0203322292889165,5100.697749407698,424.5008770439244,0.8397173953333742,1.0203322292889165,189.09604862758093,230.22945442199708,0.7219824067183903,0.44709357306361197,2.4095320949386267,3.7796814933895337,2.957591854318989,1.0638772122410436,0.46507695470457877,1.0085163055721986,97.38647113037109,312.6198878009852
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.343509761970973,0.844596980214119,0.5281861793001493,nan,6.301512559254964,4.315557119250298,1000.0,0.0,nan,0,3376,0,27848,180.98934512668185,231.13078102111817,0.8034968363378643,1.024434696158719,4102.654317199656,424.199197705931,0.8034968363378643,1.024434696158719,180.98934512668185,231.13078102111817,0.764818443192376,0.4251800559461117,2.47249068305949,3.8000088239472607,3.0034979394145984,1.0485920214213755,0.4532235925077298,1.0061921205771802,98.96792883300782,317.37523450156004
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.440309501886692,0.8444379778703054,0.5299143679936726,nan,6.039345171716478,4.05575387597084,1000.0,0.0,nan,0,4366,0,26946,183.45583852132162,232.54371032714843,0.8139022353710108,1.0307136730214692,5126.710818845209,434.24674978550615,0.8139022353710108,1.0307136730214692,183.45583852132162,232.54371032714843,0.7362481239769194,0.39960343968123196,2.531067594760198,3.8196735795113135,3.046509988660645,1.032597121774893,0.42739978976069243,1.0128118111971194,99.62189431762695,358.26028939263
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,4.451180317345971,0.8425309779246648,0.5391842513283094,nan,6.115733118284316,4.005476540625096,1000.0,0.0,nan,0,4412,0,27374,189.30808294387091,230.86764389038086,0.8381937923541569,1.023633151373137,4476.919296011347,435.36502883195465,0.8381937923541569,1.023633151373137,189.30808294387091,230.86764389038086,0.6854504616487593,0.3946236552298069,2.558985689527025,3.839805546835326,3.0713136324503454,1.036390893281468,0.4222587816316078,1.0060122168057226,100.29799703979492,362.17662196525845
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,4.662831751576801,0.8440619786580403,0.5345526086290677,nan,6.390000278299505,3.815118060708046,1000.0,0.0,nan,0,5747,0,25231,178.37153209339488,231.33996253967285,0.7921256364705432,1.0252647702323179,4924.607078536452,438.26065780907317,0.7921256364705432,1.0252647702323179,178.37153209339488,231.33996253967285,0.7452143864198164,0.3759047497436404,2.5956061439039813,3.858918578943268,3.100931117919696,1.0328530703854892,0.3951578587646733,1.013110597382178,96.46015872192383,283.64561885143115
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,4.7464023579153265,0.8425453130404155,0.544440316259861,nan,6.444643273073084,3.72058234333992,1000.0,0.0,nan,0,5096,0,26660,175.8646563361673,230.21729804992677,0.7797646246877071,1.0208778478894731,4115.585621218442,441.6951884368294,0.7797646246877071,1.0208778478894731,175.8646563361673,230.21729804992677,0.7523811284233543,0.3666013713926077,2.646518104071798,3.878495286053851,3.1393089768646196,1.025346315515576,0.3968237486715141,1.001988793537261,98.06631753540039,316.6079864961588
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,4.7464023579153265,0.8437136457363764,0.5407933866977692,nan,5.260026173158125,3.5289510864019396,1000.0,0.0,nan,0,4792,0,25804,198.89118402654475,230.60293663024902,0.8819723521752197,1.022419581653927,5295.943940926989,444.5815090176215,0.8819723521752197,1.022419581653927,198.89118402654475,230.60293663024902,0.574667058207772,0.3476938857883215,2.6571179291424416,3.896990507961163,3.1530669606699298,1.0292728454052713,0.35952661041682366,1.0150976881739944,96.61678070068359,294.3433703074424
