algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,92,2.29338921821908,0.8847426444292068,0.3852758672833443,1.0,2.203504517674446,nan,1000.0,1.0,1.0,30284,384,0,156,15686.7079209646,0.0,1.2636611573398113,0.0,9.75,0.0,0.7363388426601887,0.0,285.40610694885254,0.0,1.9569857011360932,0.0,8.020786784902599,nan,285.40610694885254,0.0,7.4550327360630035,nan,1.2636611573398113,0.0,1.9569857011360932,0.23471138142142192,0.7363388426601887,1.2636611573398113,15.221659037272135,836.6244224514453
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,93,2.29338921821908,0.8847176442543666,0.38567503343025844,1.0,2.3837618604302406,nan,1000.0,1.0,1.0,30408,508,0,126,15253.507091657426,0.0,1.2514690198004246,0.0,7.875,0.0,0.7485309801995754,0.0,282.55508613586426,0.0,1.9577828494773803,0.0,8.96300955537091,nan,282.55508613586426,0.0,8.386519074440002,nan,1.2514690198004246,0.0,1.9577828494773803,0.2349183487697883,0.7485309801995754,1.2514690198004246,15.06960459391276,813.5203782217294
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,94,2.29338921821908,0.8847046452760696,0.38571261445681254,1.0,1.903513946316459,nan,1000.0,1.0,1.0,30316,416,0,54,15767.66200447387,0.0,1.2351538701490923,0.0,4.909090909090909,0.0,0.7648461298509077,0.0,278.73628373579544,0.0,1.9646329336033332,0.0,7.638565340954469,nan,278.73628373579544,0.0,7.195069183002818,nan,1.2351538701490923,0.0,1.9646329336033332,0.20593172357124492,0.7648461298509077,1.2351538701490923,10.220330403645834,578.1476068307086
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,95,2.29338921821908,0.8846926444768906,0.38600959777832033,1.0,1.955940632443679,nan,1000.0,1.0,1.0,30556,656,0,192,15924.26355506102,0.0,1.2887784132831974,0.0,10.105263157894736,0.0,0.7112215867168025,0.0,290.5954172234786,0.0,1.9655057709309556,0.0,7.7425438250452885,nan,290.5954172234786,0.0,7.341793160689504,nan,1.2887784132831974,0.0,1.9655057709309556,0.2060436903222881,0.7112215867168025,1.2887784132831974,18.404376424153646,1008.536691820531
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,96,2.29338921821908,0.8846043090025584,0.3864541322986285,1.0,1.9397844910621642,nan,1000.0,1.0,1.0,30539,639,0,276,15288.8331146542,0.0,1.2507127314805984,0.0,13.8,0.0,0.7492872685194015,0.0,282.2861747741699,0.0,1.9665297087907314,0.0,7.810427590999154,nan,282.2861747741699,0.0,7.4557026624679565,nan,1.2507127314805984,0.0,1.9665297087907314,0.20605360242734871,0.7492872685194015,1.2507127314805984,18.819078318277995,1019.2555409769469
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,97,2.29338921821908,0.8845559759934744,0.38664125313361486,1.0,2.056053297387229,nan,1000.0,1.0,1.0,30567,667,0,154,16626.42845607504,0.0,1.2615791658560436,0.0,8.555555555555555,0.0,0.7384208341439565,0.0,284.61153327094183,0.0,1.9674100390638318,0.0,7.781774606450739,nan,284.61153327094183,0.0,7.478038787841797,nan,1.2615791658560436,0.0,1.9674100390638318,0.20620195570128802,0.7384208341439565,1.2615791658560436,17.07669199625651,997.5857073645022
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,98,2.29338921821908,0.8845219784975051,0.3869169985254606,1.0,2.5733141750097275,nan,1000.0,1.0,1.0,30139,239,0,30,15689.601431484924,0.0,1.2094294503331184,0.0,3.75,0.0,0.7905705496668816,0.0,272.48992919921875,0.0,1.967875344172031,0.0,8.722516784673362,nan,272.48992919921875,0.0,8.438129305839539,nan,1.2094294503331184,0.0,1.967875344172031,0.20627700304917873,0.7905705496668816,1.2094294503331184,7.266398111979167,418.38937150626464
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,99,2.29338921821908,0.8845689773559571,0.38710222562154134,1.0,2.038074533144633,nan,1000.0,1.0,1.0,30280,380,0,70,16192.3839421851,0.0,1.2669746826092403,0.0,5.833333333333333,0.0,0.7330253173907598,0.0,286.0663426717122,0.0,1.9684203122456183,0.0,7.908769823882511,nan,286.0663426717122,0.0,7.7020901044209795,nan,1.2669746826092403,0.0,1.9684203122456183,0.20633799527231544,0.7330253173907598,1.2669746826092403,11.442653706868489,647.695357687404
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,100,2.29338921821908,0.8845566427707672,0.38738926510016125,1.0,2.2897556168692454,nan,1000.0,1.0,1.0,30253,353,0,112,16870.0926067742,0.0,1.2252548251833235,0.0,8.0,0.0,0.7747451748166766,0.0,276.51969473702565,0.0,1.9691715798958789,0.0,7.71938714420425,nan,276.51969473702565,0.0,7.567941699709211,nan,1.2252548251833235,0.0,1.9691715798958789,0.20642743798031965,0.7747451748166766,1.2252548251833235,12.904252421061198,787.2709883161293
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,101,2.29338921821908,0.884546643892924,0.3875135676066081,1.0,2.013024431008559,nan,1000.0,1.0,1.0,30275,375,0,86,16811.218787552858,0.0,1.2946299314498901,0.0,6.615384615384615,0.0,0.7053700685501099,0.0,292.1344897930439,0.0,1.9697542671821648,0.0,7.466582290557623,nan,292.1344897930439,0.0,7.369060259598952,nan,1.2946299314498901,0.0,1.9697542671821648,0.2064949466872977,0.7053700685501099,1.2946299314498901,12.659161224365235,728.4861474606239
