algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,14,0.0,0.7433969807624817,0.7686831138531367,nan,0.05818248926351468,0.05858620775863528,,nan,nan,0,0,0,30632,9.694454236032634,9.678237880928236,5.357014444139269,5.348053522109986,42.55555555555556,151.245
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,15,0.0,0.74640764772892,0.7542942931254705,nan,0.05584379735092322,0.05619300140067935,,nan,nan,0,0,0,31250,9.662958732543409,9.645883130965617,5.3753268122673035,5.365827968120575,45.8125,152.585
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,16,0.0,0.7491483145952225,0.7417074686288834,nan,0.05370470609515905,0.054066772125661376,,nan,nan,0,0,0,31002,9.627207218042374,9.612276932741532,5.391261100769043,5.382900102138519,53.09090909090909,152.09
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,17,0.0,0.7519893143574397,0.730176950097084,nan,0.05173629261553288,0.05169634588062763,,nan,nan,0,0,0,31054,9.599405384762957,9.577647608185211,5.41164967417717,5.399383761882782,40.125,152.06
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,18,0.0,0.7545436477661133,0.7199449680248896,nan,0.049801033698022364,0.05040808543562889,,nan,nan,0,0,0,30858,9.557770948429011,9.541963034087507,5.424219518899918,5.4152482223510745,35.0,151.49
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,19,0.0,0.7565056471029917,0.7106263424952824,nan,0.04844943611572186,0.048696527928113936,,nan,nan,0,0,0,31020,9.519282295882952,9.505387135534656,5.438512628728693,5.430574109554291,53.81818181818182,152.14
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,20,0.0,0.7586963133017222,0.7019819204012553,nan,0.04707624127467473,0.047430712152272465,,nan,nan,0,0,0,30732,9.48995803892676,9.468011851196927,5.458025042215983,5.445402979850769,32.333333333333336,151.235
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.7604153154293696,0.6945565623044968,nan,0.04594136585791906,0.04598853262141347,,nan,nan,0,0,0,30810,9.451886094207836,9.430048058801855,5.472490390141805,5.459846518039703,40.833333333333336,151.6
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.7623769797881444,0.6869123522440592,nan,0.04471612095832825,0.04493153396993876,,nan,nan,0,0,0,31378,9.418698479815689,9.391434729317421,5.4897519161826684,5.473861055374146,43.68421052631579,152.74
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.7641889810562134,0.6804568040370941,nan,0.043559642049173515,0.04392613107338548,,nan,nan,0,0,0,30674,9.383886616936756,9.352267056004221,5.506046478564922,5.487493529319763,33.07692307692308,151.22
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.7658606475591659,0.6742581760883332,nan,0.04266542769968509,0.04289057133719325,,nan,nan,0,0,0,30930,9.339841544241775,9.312608975822249,5.516859531402588,5.500773792266846,38.13333333333333,151.79
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.7672049790620804,0.668935530980428,nan,0.04213224227229754,0.04214797716587782,,nan,nan,0,0,0,30858,9.31158053902861,9.272607986211348,5.536956588427226,5.513782291412354,42.833333333333336,151.72
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.7685506461064021,0.6633809560537338,nan,0.041283266904453435,0.04159780584275723,,nan,nan,0,0,0,30894,9.268394980680517,9.232201939020909,5.548141699570876,5.526476230621338,41.46153846153846,151.775
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.7702089784542719,0.6584800748030345,nan,0.04059199847280979,0.04109874399378896,,nan,nan,0,0,0,31368,9.23141399618855,9.191480575249633,5.5629676650552184,5.538903276920319,48.411764705882355,152.725
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.7715599805116653,0.6536653643846512,nan,0.04019326083362103,0.04016774145886302,,nan,nan,0,0,0,31238,9.181955955211695,9.150412736336978,5.570174609913545,5.551039118766784,43.64705882352941,152.48
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.7727173137664795,0.6494392216205597,nan,0.039321306869387625,0.03940073519945145,,nan,nan,0,0,0,31418,9.152005503187164,9.1090932619495,5.589142382144928,5.5629358172416685,51.0,153.01
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.7739953142404556,0.6452257863680522,nan,0.03843812018632889,0.039022529311478135,,nan,nan,0,0,0,31504,9.11649198088455,9.067648017779533,5.604694583199241,5.574665982723236,42.36363636363637,152.86
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.7750903139511744,0.6413571910063426,nan,0.03817081185678641,0.0385620591416955,,nan,nan,0,0,0,30888,9.072393591245008,9.025954664712032,5.614891608556111,5.5861506223678585,43.833333333333336,151.81
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.7760136467218399,0.637853571176529,nan,0.03802786561350028,0.038217578418552875,,nan,nan,0,0,0,30856,9.027982241677659,8.984102677298512,5.624779297755315,5.597440645694733,40.15384615384615,151.67
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.777147313952446,0.6343068420886994,nan,0.037370921211938066,0.03759048033505678,,nan,nan,0,0,0,30810,8.994175430871257,8.942124666039716,5.641199270884196,5.60855272769928,40.833333333333336,151.6
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.77808531443278,0.6310685422023138,nan,0.03676133010536432,0.03704794388264418,,nan,nan,0,0,0,32356,8.95101621895242,8.90005241022528,5.651682128076968,5.619503519535065,58.69565217391305,155.03
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.7789203151067098,0.6280458933115005,nan,0.03654017517343164,0.03666303195059299,,nan,nan,0,0,0,30774,8.92758911447284,8.857897652120068,5.67459503809611,5.630297431945801,40.0,151.47
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.7793923153479894,0.6256141769886017,nan,0.0359509165212512,0.03624556619673967,,nan,nan,0,0,0,30930,8.870992648995758,8.815629912553238,5.676337321599324,5.640912022590637,45.666666666666664,151.91
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.7803846476475398,0.6231304742892583,nan,0.03597431144366662,0.035802697408944366,,nan,nan,0,0,0,30268,8.831027615629564,8.773337020693452,5.6885622631419785,5.651400501728058,20.636363636363637,150.205
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.7811863156159718,0.6202424931526184,nan,0.0355507008669277,0.03573888693936169,,nan,nan,0,0,0,31402,8.798834870839165,8.730989696619817,5.7057368357976275,5.66174161195755,38.375,152.405
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.7819246468941371,0.6177452635765076,nan,0.03520990679661433,0.034951249780133364,,nan,nan,0,0,0,30658,8.755666250139704,8.688600663814764,5.715721570528471,5.671940982341766,33.07692307692308,151.14
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.7825986476739247,0.6156502431631088,nan,0.03493958550194899,0.035116750989109276,,nan,nan,0,0,0,31066,8.703386712244084,8.646199696125015,5.719597180684407,5.682015638351441,42.733333333333334,152.125
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.7835913141568501,0.6132850577433904,nan,0.03463421840841571,0.03466804434545338,,nan,nan,0,0,0,31426,8.664596596915445,8.603783575991887,5.732193034628163,5.691961274147034,39.43478260869565,152.595
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.7838089789946874,0.6115290069580078,nan,0.03427014320467909,0.03420051796361804,,nan,nan,0,0,0,31316,8.64026758528912,8.561404377277912,5.754332440240042,5.701810326576233,53.714285714285715,152.82
