algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,99,0.0,0.8874805785417557,0.37666183042526247,nan,0.016324935033917427,0.0,,nan,nan,0,0,0,196,6.484044572581416,0.0,6.658038968267331,0.0,8.521739130434783,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,100,0.0,0.8875345779657364,0.3767182040810585,nan,0.016209389045834542,0.0,,nan,nan,0,0,0,204,6.492447542107624,0.0,6.6223707950725625,0.0,8.869565217391305,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,101,0.0,0.8875327780246735,0.3768186573982239,nan,0.01608066807128489,0.0,,nan,nan,0,0,0,352,6.50006906191508,0.0,6.586090876632074,0.0,11.733333333333333,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,102,0.0,0.8875395766496659,0.3769556381702423,nan,0.015938330600038172,0.0,,nan,nan,0,0,0,282,6.511713522451895,0.0,6.554049804669232,0.0,10.444444444444445,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,103,0.0,0.8874971776008606,0.377108338534832,nan,0.015789060428738594,0.0,,nan,nan,0,0,0,290,6.508241772651672,0.0,6.507030358153396,0.0,10.357142857142858,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,104,0.0,0.8875179761648178,0.37720546656847,nan,0.015600055078044534,0.0,,nan,nan,0,0,0,354,6.524856885274251,0.0,6.480296077138769,0.0,11.8,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,105,0.0,0.887523377776146,0.37734559339284895,nan,0.015487761829048395,0.0,,nan,nan,0,0,0,272,6.532572559688402,0.0,6.4448498548048825,0.0,11.826086956521738,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,106,0.0,0.8875359786748886,0.3774851133823395,nan,0.015359692057594658,0.0,,nan,nan,0,0,0,364,6.5330611351997625,0.0,6.402505902184968,0.0,11.741935483870968,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,107,0.0,0.8875625762939453,0.37760891205072405,nan,0.015310306770727039,0.0,,nan,nan,0,0,0,194,6.542424375360662,0.0,6.369079648308621,0.0,8.818181818181818,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,108,0.0,0.8875269770622254,0.3778282666802406,nan,0.015131072947755456,0.0,,nan,nan,0,0,0,198,6.54823576885721,0.0,6.332380165536563,0.0,8.608695652173912,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,109,0.0,0.8875535773038864,0.37793952476978304,nan,0.014968814684078097,0.0,,nan,nan,0,0,0,528,6.56073018124229,0.0,6.302306970141025,0.0,13.894736842105264,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,110,0.0,0.8875597767829895,0.3780831826925278,nan,0.01486342529207468,0.0,,nan,nan,0,0,0,432,6.567940384149551,0.0,6.267311507180638,0.0,13.5,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,111,0.0,0.8875399788618088,0.3782451379299164,nan,0.01471935300156474,0.0,,nan,nan,0,0,0,220,6.5814691925048825,0.0,6.238492183000012,0.0,8.8,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,112,0.0,0.8875611771345139,0.3784343831539154,nan,0.014617663515731693,0.0,,nan,nan,0,0,0,192,6.58141413189116,0.0,6.196988716230743,0.0,9.142857142857142,0.0
