algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,3.5673579018905706,0.7563002303242683,0.7113134866952896,nan,0.8354871488279767,6.148204612731933,1000.0,0.0,nan,0,89,0,11181,215.70317586263022,214.53926544189454,4398.853468246802,744.1212901756917,0.956741925106732,0.9513764074807746,1.4341603373317884,3.282685493451635,0.956741925106732,0.9513764074807746,0.8430602120028602,0.8495484620332718,215.70317586263022,214.53926544189454,1.8038653685557575,1.2504868901063233,0.8485587289777853,0.9521948762711749,50.6731674194336,307.1829828920232
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,3.6023802928376556,0.7582332296669483,0.7029242052137852,nan,0.7294574325734918,6.199561915397644,1000.0,0.0,nan,0,85,0,11181,211.93288629705256,215.53716278076172,4558.611496260951,722.9706280112197,0.9392832394998113,0.9551628904642986,1.493734611642655,3.348400843583073,0.9392832394998113,0.9551628904642986,0.8527568605813113,0.8333614110946655,211.93288629705256,215.53716278076172,1.8646678580307385,1.2518187356242303,0.8368589511660279,0.9522993468477516,52.432479553222656,345.1730314377258
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,3.6433414528318995,0.7601319797337055,0.6952915106713772,nan,0.8146547218163808,6.243899569511414,1000.0,0.0,nan,0,17,0,10717,213.16026000976564,216.00124618530273,4740.76236206267,702.660203783881,0.9465626979734953,0.9579535127523693,1.5254101083077245,3.4062234692765827,0.9465626979734953,0.9579535127523693,0.8322463671366374,0.8181937688589096,213.16026000976564,216.00124618530273,1.9015727805014966,1.2582117051212072,0.8200267164603524,0.956467754302951,49.59505703735351,282.75491161865637
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,3.6772185641094968,0.7618749812245369,0.6879175186157227,nan,0.8810940378386042,6.338687579631806,1000.0,0.0,nan,0,116,0,11230,219.39177338973334,215.21666564941407,4838.742012692511,674.1663013010474,0.9729950863761156,0.9540079269103289,1.5730589343353554,3.4656019107798697,0.9729950863761156,0.9540079269103289,0.7875734638908635,0.8112329214811325,219.39177338973334,215.21666564941407,1.9515675296242585,1.26059914736769,0.806808795265066,0.957558371363281,53.13535470581055,357.41539284406497
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.708352901257752,0.7637637311220169,0.6814436197280884,nan,0.7772598415613174,6.289625525474548,1000.0,0.0,nan,0,33,0,10911,217.27029334174262,217.38726089477538,4816.723498126875,660.003956726877,0.9628924833170819,0.9634085478826384,1.627475438090396,3.5101138877699203,0.9628924833170819,0.9634085478826384,0.7881035109361013,0.7874539920687675,217.27029334174262,217.38726089477538,2.004003128026301,1.2557665108185494,0.7875530712180219,0.9633298261692486,51.299182739257816,305.4028372779429
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.735766643164218,0.7654869818687439,0.675250631570816,nan,0.8084961756279594,6.3672768497467045,1000.0,0.0,nan,0,52,0,10980,216.1806287263569,216.3811978149414,5080.166054939063,642.9179141982504,0.9590177939965617,0.9588428049329264,1.6762875967926818,3.555944055948052,0.9590177939965617,0.9588428049329264,0.7808494442387631,0.7810718989372254,216.1806287263569,216.3811978149414,2.052218888623756,1.2529394182293887,0.7810363809601599,0.9588707443632544,51.49110345458984,321.6298929273344
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.7644802290642456,0.7667904803156853,0.6698837453126907,nan,0.6752773246594838,6.4487761116027835,1000.0,0.0,nan,0,29,0,10765,199.3430666242327,214.9342710876465,4782.443235900163,627.8897993873445,0.8840316553323817,0.9531198037864685,1.733522809564365,3.59527850554949,0.8840316553323817,0.9531198037864685,0.864880885396685,0.7761699467897415,199.3430666242327,214.9342710876465,2.1058739487613902,1.245363363043799,0.7870642725835767,0.9446352943271947,48.568460083007814,259.48637048267346
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,3.796536395787501,0.7682084813714027,0.6644111777842044,nan,0.7386485566111172,6.375781917572022,1000.0,0.0,nan,0,53,0,10373,221.65528061810662,216.7165966796875,5325.060001232162,610.092077738059,0.9811348782832634,0.9608066359670048,1.777320780533263,3.6282197341986437,0.9811348782832634,0.9608066359670048,0.7275366572772756,0.7539009663462639,221.65528061810662,216.7165966796875,2.1475005712663386,1.2405824839871997,0.7500702547721374,0.9637603122009912,50.879598876953125,303.0704555895054
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,3.825574911809391,0.769688481837511,0.6596487045288086,nan,0.7899192869663239,6.261694970130921,1000.0,0.0,nan,0,176,0,10524,213.4567473038383,219.0490022277832,5312.945610090961,603.2064036991427,0.9467271009533431,0.9708237610018348,1.8294692462541644,3.6581351910074242,0.9467271009533431,0.9708237610018348,0.759821153205374,0.7282553851604462,213.4567473038383,219.0490022277832,2.1952024352048167,1.2312739638760806,0.7341579271525871,0.9663178814805721,53.6288108215332,365.0367788040127
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,3.875246445657506,0.7709652300179005,0.6549957928061485,nan,0.7409797952725337,6.229541726112366,1000.0,0.0,nan,0,608,0,11038,207.74008824275091,219.2545265197754,5142.074409741981,592.5783041717974,0.9211292376097523,0.972407172529426,1.8932694038688442,3.6850987480192394,0.9211292376097523,0.972407172529426,0.781226444702882,0.7133790802955627,207.74008824275091,219.2545265197754,2.2516352726989233,1.218242594187205,0.7273793300938984,0.9618260113555254,54.653389892578126,385.90353014094256
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,3.923254757705527,0.7721372298896313,0.6507147747278214,nan,0.7142371071709527,6.102503991127014,1000.0,0.0,nan,0,84,0,10700,214.00854661729602,221.30582580566406,5443.9265749795195,590.5057209619873,0.9474571813171343,0.9811282035519123,1.9232756698883897,3.7103703049123156,0.9474571813171343,0.9811282035519123,0.7337921791606479,0.6887932994961738,214.00854661729602,221.30582580566406,2.280694596893175,1.2151932577844182,0.6956575353771953,0.9759919459228783,51.96547283935547,314.08250089166023
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,3.970953852173814,0.7732972300052643,0.6466875772178173,nan,0.7758008528214234,6.149317262172699,1000.0,0.0,nan,0,351,0,10755,210.16242276705228,219.9689971923828,5487.716981642951,583.2567788042882,0.9320111786416235,0.9744083744043789,1.9828755960335767,3.7357761354588894,0.9320111786416235,0.9744083744043789,0.7419165017513129,0.6846862736344338,210.16242276705228,219.9689971923828,2.333455703918639,1.201910235921092,0.6964956857855358,0.9656597467073023,54.92224542236328,402.012638806291
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,4.002252123678528,0.7744447292387485,0.6427557672560215,nan,0.9980727013419656,6.052781755924225,1000.0,0.0,nan,0,827,0,10011,210.0635196461397,220.7689665222168,5396.124500178871,569.9507407935655,0.9308540574779635,0.9788786989048716,2.0067029085308774,3.759472563493921,0.9308540574779635,0.9788786989048716,0.7308502004427069,0.6653721982240677,210.0635196461397,220.7689665222168,2.3572568395234863,1.200888883523118,0.6748860959823315,0.971900759552244,51.29595297241211,297.45838116479473
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,4.031510443719452,0.7753749811649322,0.6393805493414402,nan,0.8533678188920021,5.915564730167389,1000.0,0.0,nan,0,1254,0,10186,205.6672264099121,222.31676025390624,5386.365589541218,569.7024179698325,0.9115712751425814,0.9856581431387904,2.057625345447092,3.7814205954115847,0.9115712751425814,0.9856581431387904,0.744649887830019,0.6426228049397469,205.6672264099121,222.31676025390624,2.402384395439991,1.1885624224176508,0.6596273187547922,0.9733103318060888,52.690041107177734,329.3951071756153
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,4.080655347086389,0.7763999797403812,0.6360358126461506,nan,0.9244515345328383,5.778679749965668,1000.0,0.0,nan,0,1125,0,9677,209.24460771348743,223.68304321289062,5597.900044219097,567.6536969997563,0.9285962992270096,0.9915598919539711,2.089494191442556,3.802213034155236,0.9285962992270096,0.9915598919539711,0.7083521435658137,0.6207717928290367,209.24460771348743,223.68304321289062,2.432037959985092,1.182159635288029,0.6341315073482061,0.981955276114265,52.26941452026367,315.05514099183875
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,4.118755583455976,0.7773257303237915,0.6328952488303184,nan,0.9288369900193708,5.877536087036133,1000.0,0.0,nan,0,1532,0,10394,210.5376897351495,220.72527099609374,5604.221377257461,557.4474638858524,0.9321158057249646,0.9788654087539203,2.125911169417518,3.8253562420423295,0.9321158057249646,0.9788654087539203,0.6904261446204679,0.6247454024851322,210.5376897351495,220.72527099609374,2.4658001839424806,1.1775392719450475,0.6395108406395875,0.9683558080729923,56.356240203857425,436.5343326581033
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,4.140392334305314,0.7781737285852433,0.6299829015135765,nan,0.9245744682848454,5.6962964987754825,1000.0,0.0,nan,0,1349,0,9757,207.69686603546143,222.5364128112793,5596.891892775062,553.7199632646622,0.9209467353845093,0.9868870037437886,2.1602017895161656,3.8475593385271996,0.9209467353845093,0.9868870037437886,0.693114373832941,0.5995406788587571,207.69686603546143,222.5364128112793,2.4976732993183726,1.1712142724500667,0.6124473954069203,0.9777917943149226,51.153582275390626,289.8445332217345
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,4.213591775233788,0.7787897306680679,0.6273637469112873,nan,0.7538593343713067,5.662615976333618,1000.0,0.0,nan,0,790,0,10240,195.08151591907847,221.7585157775879,5472.194183917606,545.1145474830696,0.8646993746341771,0.983375829657562,2.222187591436205,3.869126888578859,0.8646993746341771,0.983375829657562,0.7606009515849027,0.5904984977841378,195.08151591907847,221.7585157775879,2.5515754508647355,1.151323494510211,0.6211727107646036,0.9619751574402303,52.93528985595703,349.7994535889886
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,4.299444737431433,0.7797544802725315,0.624798287153244,nan,0.8610884525946209,5.488307588100433,1000.0,0.0,nan,0,562,0,10060,195.23028673444475,223.2101235961914,5536.482839097609,542.7312397363651,0.8663825101807723,0.9896259786815444,2.266068778128697,3.890871469827514,0.8663825101807723,0.9896259786815444,0.7457080504723957,0.567284215092659,195.23028673444475,223.2101235961914,2.59102931646846,1.1398065675078306,0.5891959141743811,0.9744908158832042,50.108472747802736,263.5677674420061
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,4.340248033457595,0.7803552296757698,0.622374976426363,nan,0.9310983577743173,5.38411465883255,1000.0,0.0,nan,0,2736,0,9304,215.00236749649048,223.5010484313965,6065.530552897354,541.6682955066628,0.9536393288152898,0.9902692616619061,2.2894540084133794,3.9119050672053333,0.9536393288152898,0.9902692616619061,0.6055079055950046,0.5519445192813873,215.00236749649048,223.5010484313965,2.61394422017177,1.1409928151109865,0.564929582630143,0.981389277941514,58.460361206054685,496.52761448676324
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,39,4.372016584665459,0.7810752303898334,0.619800909012556,nan,0.7081031136214733,5.2678672885894775,1000.0,0.0,nan,0,2049,0,9145,207.04119644165038,223.58623001098633,5760.086744744021,544.8553414957262,0.9173391474799114,0.9913351905111708,2.3263320862555488,3.9324438987749666,0.9173391474799114,0.9913351905111708,0.6451076976954937,0.53581696331501,207.04119644165038,223.58623001098633,2.6475544487594322,1.132660423834622,0.5540320857117573,0.9790025166726276,52.99889385986328,339.3745380889061
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,40,4.4006389173046125,0.7816757315397262,0.6179633136093616,nan,0.8612553576628367,5.246254335641861,1000.0,0.0,nan,0,2071,0,9435,205.95741653442383,222.26988540649415,5761.167639217191,536.9040392177618,0.912716479976571,0.9855535906022727,2.366206867788043,3.9540183065014536,0.912716479976571,0.9855535906022727,0.6383870132267475,0.5297268126904965,205.95741653442383,222.26988540649415,2.6837691555307255,1.1246158318439003,0.5507578192458998,0.9714560853198788,54.33993307495117,383.91685452597756
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,41,4.42977035522372,0.782616480588913,0.6156133691966533,nan,1.0503309478362401,5.131765220165253,1000.0,0.0,nan,0,3289,0,8535,203.80606587727866,222.3480433654785,5855.098673506168,527.078339782852,0.9038846493664572,0.9857915581135598,2.40205744930283,3.9760707153146857,0.9038846493664572,0.9857915581135598,0.6380105346441269,0.5145917478203773,203.80606587727866,222.3480433654785,2.7168601025052013,1.1198952614356514,0.5430730063181657,0.9668899637873053,56.69797262573242,456.72158836694047
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,42,4.463661844564154,0.7828754796087742,0.613898069113493,nan,0.7765249101554647,4.824155883789063,1000.0,0.0,nan,0,2852,0,8052,193.6327667236328,225.19973190307618,5694.205371059305,531.5620372439291,0.8578414715961497,0.9983422144262754,2.4406414341143394,3.9965647089519347,0.8578414715961497,0.9983422144262754,0.694398259415346,0.48056153029203413,193.6327667236328,225.19973190307618,2.751826089081858,1.1101639813987956,0.5116318242672162,0.977927576579163,51.62346044921875,299.9153900648021
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,43,4.601774247410503,0.7837254808843136,0.6118281044065952,nan,0.9137327361106873,4.833079835176468,1000.0,0.0,nan,0,2150,0,9170,190.85522644042967,223.60774993896484,5590.23274920653,533.1541472078351,0.8464360550912328,0.9908368038721114,2.484621579874493,4.016841738030859,0.8464360550912328,0.9908368038721114,0.6988098061084748,0.4768286686390638,190.85522644042967,223.60774993896484,2.791065611505766,1.102792750018046,0.521224896132946,0.9619566541159357,54.26431130981445,386.14246690189344
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,44,4.601774247410503,0.7842197297513485,0.6100708699226379,nan,0.9447944473337244,4.756329716444015,1000.0,0.0,nan,0,2637,0,8455,193.7783395272714,222.6166390991211,5712.680248612707,525.7785253673447,0.8590702952882706,0.9865266005954152,2.542545770886652,4.038046671725497,0.8590702952882706,0.9865266005954152,0.6661153512972372,0.46821302600204945,193.7783395272714,222.6166390991211,2.8416459510544207,1.0882880814664415,0.5102867487026012,0.9594295908057072,54.98735815429688,413.64043849855517
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,45,4.601774247410503,0.7846474808454513,0.6085578905045986,nan,1.0497148907184601,4.543819689452648,1000.0,0.0,nan,0,3578,0,8240,200.18138732910157,223.81200393676758,5943.992649539101,523.816593675484,0.8873782977617668,0.9916337665013587,2.5581159593112464,4.058998734711558,0.8873782977617668,0.9916337665013587,0.6083138024806977,0.4448086804524064,200.18138732910157,223.81200393676758,2.858292514391309,1.0930607659182485,0.47750970485806465,0.9707826727534404,54.77147015380859,401.9629512120519
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,46,4.6418344701202585,0.7853677292168141,0.6067177525162697,nan,1.0169454654057821,4.434911490678787,1000.0,0.0,nan,0,3255,0,7567,193.81298217773437,223.18288146972657,5773.965526853929,524.3243008558167,0.859423015348264,0.9899296880658188,2.582729268464484,4.079874236141432,0.859423015348264,0.9899296880658188,0.6386103592813015,0.4318781341612339,193.81298217773437,223.18288146972657,2.8821582619998733,1.0918208475464708,0.45884320700298187,0.9729070785809204,50.450965759277345,278.0838259767811
