algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.733294467102222,0.7272374826669693,0.8507027557492256,nan,0.5859965898773887,4.477636400858561,1000.0,0.0,nan,0,55,0,51101,208.04955499822444,220.2908172607422,0.9558354354361019,2.649774716276362,0.9811307029290632,0.9207081307967504,0.9219110640777796,0.9765836682370728,2837.5600512004185,1453.978719334315,208.04955499822444,220.2908172607422,0.9219110640777796,0.9765836682370728,1.972199003940258,1.0721649679760519,0.9228452635731345,0.9746499105336894,136.75158056640626,934.8135527269982
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.8063401042248133,0.7318969810009003,0.8256882131099701,nan,0.7703629548733051,4.762649420102437,1000.0,0.0,nan,0,10,0,51584,218.29161423903244,218.5305278523763,1.030887197583347,2.7041045367253607,0.919769287109375,0.9187263830502828,0.9677075466031254,0.9686418156590996,3169.4878918881,1314.9613147269718,218.29161423903244,218.5305278523763,0.9677075466031254,0.9686418156590996,2.034817601068555,1.0715023502917642,0.9187696985543345,0.968603012151982,136.79389868164063,871.3834740252736
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.90240306910698,0.7361049801111221,0.8044724011421204,nan,0.9052896685898304,5.025415382385254,1000.0,0.0,nan,0,13,0,50579,222.38312530517578,216.95451421101887,1.0698939181028877,2.763350374412512,0.8883982747793198,0.9155874544382095,0.9859022875882715,0.9617876484912274,3390.6242512089766,1193.1999818867887,222.38312530517578,216.95451421101887,0.9859022875882715,0.9617876484912274,2.0859677918886623,1.0826612210645687,0.914881241979537,0.9624140027534884,133.73083853149413,770.1699771514169
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,3.006155807457317,0.7397784811258316,0.7856197470426559,nan,0.6493796914815902,5.264344261487325,1000.0,0.0,nan,0,46,0,50850,220.02056274414062,215.6462024943034,1.133014231953907,2.8281069075378924,0.8874235451221466,0.9110596418380738,0.9769483015780391,0.9561935530469869,3565.860576235693,1085.597145222566,220.02056274414062,215.6462024943034,0.9769483015780391,0.9561935530469869,2.1500698373042977,1.0872227404963328,0.9102971871053019,0.9568630610641177,133.78813275146484,722.6754986582533
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.113464695080045,0.7428094813227654,0.7696625649929046,nan,0.7739340577806745,5.49224456469218,1000.0,0.0,nan,0,8,0,50642,211.46035984584265,214.30427647908527,1.1847372259879592,2.898463105617006,0.9217693294797625,0.907309453288714,0.937368713076345,0.9499395255258798,3589.6297882922745,995.1963030634146,211.46035984584265,214.30427647908527,0.937368713076345,0.9499395255258798,2.212972753765387,1.0970100501464661,0.9076391573060996,0.9496528946231219,131.54301092529298,647.3725988741405
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.224601887926158,0.7458979800343514,0.7554035913944245,nan,0.7905453211731381,5.662889315287273,1000.0,0.0,nan,0,57,0,50641,220.9848870171441,214.16648198445637,1.2370134690981476,2.9723737703826716,0.8620255655712552,0.8967941071589788,0.9794636726806147,0.9495381116073947,3955.8559182002477,923.1739112745594,220.9848870171441,214.16648198445637,0.9794636726806147,0.9495381116073947,2.278229649868862,1.1074029183647682,0.8957814311904043,0.9504097298910806,132.47761715698243,625.1097532923401
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.351796133961784,0.7485229820013046,0.7426721549034119,nan,0.9766580939292908,5.808807724316915,1000.0,0.0,nan,0,25,0,51245,212.69701538085937,214.32377248128256,1.2812364595448713,3.047270451577319,0.8936328113079071,0.8851060505708058,0.9427839281599754,0.9500499543620972,3994.7083369702477,868.1291722921816,212.69701538085937,214.32377248128256,0.9427839281599754,0.9500499543620972,2.34085685476434,1.1219863037236395,0.8853811073687768,0.9498155664200932,132.8482037963867,600.7716701147139
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.4931108815326146,0.7514084801077843,0.7314870142936707,nan,0.7966743572191759,5.964264558156331,1000.0,0.0,nan,0,71,0,50921,219.58107133345172,213.7218443806966,1.3356279721890127,3.1251546677907927,0.8459688966924493,0.8772857934236526,0.9736154391184869,0.9471944751813886,4165.340475976922,820.5932318785374,219.58107133345172,213.7218443806966,0.9736154391184869,0.9471944751813886,2.4093439895500803,1.1326361802427312,0.8761781218350891,0.948128978729003,133.0638901977539,583.9934295986147
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5259424846580765,0.7540029814839363,0.7212005740404129,nan,0.7479932265622276,6.088475213050843,1000.0,0.0,nan,0,132,0,51042,214.58403124128068,213.48062917073568,1.4315113158317267,3.205181281552434,0.861496525151389,0.8669848493734995,0.950958038129267,0.9463738043959713,4227.476609847982,779.834533110753,214.58403124128068,213.48062917073568,0.950958038129267,0.9463738043959713,2.495713295264151,1.1268620056971386,0.8667401470196475,0.9465781969828062,134.09673037719728,586.2700649421953
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.5635188093444774,0.7558729809522629,0.7118354380130768,nan,0.9352701902389526,6.169399418830872,1000.0,0.0,nan,0,41,0,50829,219.06778971354166,214.0160198465983,1.4744022798626881,3.2795349817256167,0.8260831832885742,0.8526820772886277,0.9707812340692293,0.9487850357230938,4407.142909800295,746.5524437104405,219.06778971354166,214.0160198465983,0.9707812340692293,0.9487850357230938,2.5574819009804455,1.1387329691802968,0.8519073522206649,0.9494257016943405,132.35283212280274,527.2600386026695
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.606044646806133,0.7581209805607796,0.7032892045378685,nan,0.7296066513428321,6.242159787813822,1000.0,0.0,nan,0,115,0,51023,216.21150090144232,214.3877414449056,1.5335018148942674,3.3498666630869094,0.8294977316489587,0.8392814010381698,0.9583262036465343,0.9503160126396392,4641.843945117576,720.8113291652177,216.21150090144232,214.3877414449056,0.9583262036465343,0.9503160126396392,2.623320723809852,1.1421720776695625,0.838875050552356,0.9506487042789034,134.25414389038085,553.1747400721877
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.64277672169447,0.7598739814758301,0.6957063719630241,nan,0.7477147366319384,6.279583849906921,1000.0,0.0,nan,0,30,0,50596,216.87920488630022,215.15709884643556,1.5644286559684804,3.410142458145797,0.8123455899102348,0.8230546295642853,0.9626939544757797,0.9540133756427364,4817.741105816318,698.2578636226589,216.87920488630022,215.15709884643556,0.9626939544757797,0.9540133756427364,2.67185693727487,1.1527750078396513,0.8228104495070268,0.9542113041503302,132.13056817626952,486.40309365502384
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.6802425547670325,0.7617389804124832,0.6884073549509049,nan,0.9195640132977412,6.3328854370117185,1000.0,0.0,nan,0,121,0,51233,226.09327110877405,215.28411712646485,1.5974238235175051,3.4656134953629816,0.7514942219624152,0.810670470992724,1.0019493562399315,0.9544593040001998,4812.910447831012,675.5378303201638,226.09327110877405,215.28411712646485,1.0019493562399315,0.9544593040001998,2.7183376266247907,1.1608455569279312,0.8082126715122321,0.9564317342849172,135.04889532470702,530.4583698357046
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.7112817245375327,0.7634429824352265,0.6820698881149292,nan,1.07944330945611,6.3434239101409915,1000.0,0.0,nan,0,66,0,50430,217.06981086730957,216.09479832967122,1.631430259483102,3.512897543891154,0.7882669121026993,0.7943842718998592,0.9627626555995313,0.957902207682085,4945.108972186483,659.7099104311757,217.06981086730957,216.09479832967122,0.9627626555995313,0.957902207682085,2.760310630127933,1.1652726613691362,0.7942253794375952,0.9580284530825383,133.12999597167968,474.9476898136892
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.7410249889143614,0.7648109796643258,0.6762091588973999,nan,0.787141140550375,6.35072658141454,1000.0,0.0,nan,0,28,0,50584,218.06459617614746,216.58813847859702,1.663626781780418,3.5552199345844246,0.769654706120491,0.7792263678709666,0.9678238868977382,0.9602945510881091,4873.474974255608,644.1649104245747,218.06459617614746,216.58813847859702,0.9678238868977382,0.9602945510881091,2.7985826734628216,1.167934606506555,0.7789777532800451,0.9604901182519958,133.44191662597657,464.47454584283463
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.776736410185965,0.7664514809846878,0.6706348866224289,nan,0.7601505517959595,6.390016798973083,1000.0,0.0,nan,0,25,0,50965,202.04073248969183,216.2985823059082,1.7302082718189586,3.5936060205067677,0.8516677949163649,0.7692768394947052,0.8943220205452482,0.958488161145638,4788.236569425149,628.6437471273038,202.04073248969183,216.2985823059082,0.8943220205452482,0.958488161145638,2.8482469210316443,1.1549756490174228,0.7716765760603846,0.9566192444291217,133.41588256835936,463.3745065260349
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,3.805997241824718,0.7678754794597625,0.6649553287029266,nan,0.7754397590955099,6.3266681909561155,1000.0,0.0,nan,0,13,0,50485,223.37128448486328,217.69201365152995,1.7634121227860127,3.626823354519348,0.7144469519456228,0.7482556573549907,0.9912277163369358,0.9651594604170771,5497.855242416971,615.5733816335478,223.37128448486328,217.69201365152995,0.9912277163369358,0.9651594604170771,2.881458861826014,1.1534145537157134,0.7475927415626501,0.9656706026900155,133.29566360473632,435.31829188913235
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,3.8392006152520457,0.7693394804000855,0.6602994340658188,nan,0.835746748579873,6.267034815152486,1000.0,0.0,nan,0,35,0,51033,212.08276536729602,218.83060078938803,1.7985247841579286,3.6564315612921625,0.7696622477637397,0.7290458898742994,0.939214611165657,0.9702203059131025,5230.6638828582445,605.2398879917434,212.08276536729602,218.83060078938803,0.939214611165657,0.9702203059131025,2.913268850438469,1.1498240353745792,0.7302288905895258,0.9693172274253129,135.11585025024414,457.2958826864944
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,3.8764035929842073,0.7707164794206619,0.6554862341284752,nan,0.9597537189722061,6.1638396175702415,1000.0,0.0,nan,0,329,0,50463,209.56228942871093,220.60478256225585,1.8207936155826685,3.6836008813023757,0.7668086230754853,0.706018668115139,0.9320259927829475,0.9779700523858031,5160.385660490616,597.8772764154471,209.56228942871093,220.60478256225585,0.9320259927829475,0.9779700523858031,2.9384779750144925,1.1524215783456926,0.7079796344041824,0.9764879859470015,136.55411532592774,461.93407905908055
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,3.9166496163865814,0.7716534799337387,0.6515678510069847,nan,0.6989348642528057,6.111003612677257,1000.0,0.0,nan,0,149,0,50543,211.71743202209473,221.1518987019857,1.86049275165222,3.708049730193292,0.7434866204857826,0.689890951414903,0.9402031840655081,0.9803068706112447,5327.669739042263,594.264900512071,211.71743202209473,221.1518987019857,0.9402031840655081,0.9803068706112447,2.969026938776863,1.145680310451309,0.6912830467154454,0.9792652164152513,136.07861813354492,441.8016561319188
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,3.956467050648217,0.7728829783201218,0.6473714062571525,nan,0.7364193201065063,6.13725329875946,1000.0,0.0,nan,0,753,0,50467,220.1074676513672,220.03773549397786,1.9174684902326211,3.7324958763074014,0.6837993676845844,0.6835275505979855,0.9750654104920582,0.9752667775425031,5737.394996132535,582.5636767144656,220.1074676513672,220.03773549397786,0.9750654104920582,0.9752667775425031,3.00648492187749,1.1313492781467032,0.683538840125544,0.9752584140547852,137.74543545532225,498.71047592812533
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,3.989207455331555,0.774010980129242,0.6436330208182335,nan,0.8308888631207603,6.021653943459193,1000.0,0.0,nan,0,700,0,49910,207.44022696358817,221.31786743164062,1.9559494274688722,3.7557143431214666,0.7470903992652893,0.6621512792507808,0.9189427330830631,0.981241072122074,5470.196014200118,574.4513277919193,207.44022696358817,221.31786743164062,0.9189427330830631,0.981241072122074,3.0358083768604294,1.1235075519743827,0.6640880018569747,0.9798205888215101,135.6948836364746,421.2535408739532
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.0425139112252575,0.7749764806032181,0.6400285351276398,nan,0.9323386549949646,5.979141477743784,1000.0,0.0,nan,0,1807,0,48983,192.22110900878906,221.17150756835937,2.016668579965096,3.77880291481335,0.8270746767520905,0.6496951054533323,0.8517185940358173,0.9805225989309546,5030.792490480879,568.9529834198815,192.22110900878906,221.17150756835937,0.8517185940358173,0.9805225989309546,3.0739491808740484,1.1060353757147334,0.6554170271081309,0.9763676310311115,136.5473267211914,441.98763986154654
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.076049667484963,0.7761224809288979,0.6364486715197564,nan,0.8943866431713104,5.878184549013773,1000.0,0.0,nan,0,1283,0,48937,187.24860229492188,221.87595275878905,2.0565990784448944,3.8015954726181085,0.845422899723053,0.631595293134451,0.8300528794661102,0.9837786207056013,4899.1547522426945,564.9430891005196,187.24860229492188,221.87595275878905,0.8300528794661102,0.9837786207056013,3.103596914948823,1.0974983087786305,0.6351006637342641,0.9812585265869209,134.99805767822266,387.95740098273876
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.123969904146057,0.7768079793453216,0.6335138535499573,nan,0.7594602749897883,5.864827278852463,1000.0,0.0,nan,0,2833,0,48599,219.7029254619892,221.02681950887043,2.0780914851791725,3.824345978790249,0.6300666148845966,0.6235554697116216,0.975077927686865,0.9797123675881877,5920.0087661561265,556.65986140588,219.7029254619892,221.02681950887043,0.975077927686865,0.9797123675881877,3.1258441813458187,1.0973151741482667,0.6238259006612978,0.9795198828638515,138.328367767334,487.9161447635873
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.156602192722143,0.7779539826512337,0.630272570848465,nan,0.8677080382000316,5.681966183185577,1000.0,0.0,nan,0,4346,0,46734,204.96410300514916,222.8207048034668,2.1232478700780963,3.8464895544578828,0.7121223644776777,0.5981673422455788,0.9075520307676787,0.9878547776982702,5819.642370808798,550.4148205791977,204.96410300514916,222.8207048034668,0.9075520307676787,0.9878547776982702,3.1571928807059675,1.0861529126892617,0.6021979057328878,0.9850144876139084,138.20163314819337,458.28102450531213
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,4.197949912534897,0.7784624794125556,0.6280856987833977,nan,0.6418754508097967,5.4906100591023765,1000.0,0.0,nan,0,4995,0,45469,193.37877400716147,224.64467290242513,2.1635330437968854,3.8675248022977256,0.771113395690918,0.5726804622014363,0.8573650912522651,0.9958070512607039,5541.284571418023,551.5312797318727,193.37877400716147,224.64467290242513,0.8573650912522651,0.9958070512607039,3.1859280988973895,1.07597399944225,0.5765713040345635,0.9930925030252442,137.107349029541,397.4141826961399
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,37,4.2260609766754085,0.7792929783463478,0.6257067847251893,nan,0.9862740010023117,5.428659531871478,1000.0,0.0,nan,0,5404,0,45284,200.7612319946289,224.23310974121094,2.2137300016426864,3.8886459533208457,0.7097772508859634,0.5612712978074949,0.8912011469823715,0.9937793070776899,5636.9049619803745,547.5565368405997,200.7612319946289,224.23310974121094,0.8912011469823715,0.9937793070776899,3.218679572649582,1.0640032425222663,0.5660618124229293,0.9904703341713893,138.55509048461914,441.2720213439673
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,38,4.259691786020581,0.7801219803094864,0.6229280212521553,nan,0.7743780538439751,5.3301299905776975,1000.0,0.0,nan,0,9593,0,42247,220.5173110961914,224.26898228963216,2.240848385052465,3.9097357132121964,0.5707579433090157,0.5465164735416571,0.9774034869942623,0.9939812926707468,6257.883433375259,544.5344716521415,220.5173110961914,224.26898228963216,0.9774034869942623,0.9939812926707468,3.2421807819483037,1.0616008181889758,0.547888632207734,0.9930429263117004,142.50001257324217,552.0044865927943
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,39,4.311192766642636,0.780517980158329,0.6208109563589096,nan,0.8933606088161469,5.147770106395086,1000.0,0.0,nan,0,10029,0,40609,192.9439926147461,225.51652297973632,2.289864547277653,3.9301976102689196,0.7376529633998871,0.5236776725451151,0.8546807391324929,0.9995541807784603,5683.337808494538,546.3961060709261,192.9439926147461,225.51652297973632,0.8546807391324929,0.9995541807784603,3.2740643850724136,1.0482019332647445,0.5305801012823659,0.994880843951171,139.16879364013673,441.50441981244643
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,40,4.364480410100136,0.781391481757164,0.6186773952841759,nan,0.9564117954836951,5.159555814067523,1000.0,0.0,nan,0,8604,0,42602,207.94088575575086,223.63744105021158,2.2949300679244633,3.951316119550637,0.6230182449022929,0.521073686654369,0.9230184734673306,0.9913539544451617,5505.561595804198,541.8132551442224,207.94088575575086,223.63744105021158,0.9230184734673306,0.9913539544451617,3.288761698900168,1.055938824651646,0.5240429456324639,0.9893636006302733,137.92540057373046,424.18806181100894
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,41,4.4179267048619915,0.7819634801149369,0.6170410966873169,nan,1.2401405032724142,5.023549639383952,1000.0,0.0,nan,0,10057,0,41455,200.52246284484863,224.11582646687825,2.3139219991244335,3.972646841894485,0.6600053459405899,0.5031540214022001,0.8892877873478583,0.9933822081119736,5742.367187068028,534.978297573582,200.52246284484863,224.11582646687825,0.8892877873478583,0.9933822081119736,3.309156904786464,1.0607476326041796,0.5110958606193338,0.9881116045289806,140.8862146911621,504.74272853032613
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,42,4.460468042868283,0.7825479799509049,0.6148910748958588,nan,1.0305665532747905,4.87221005598704,1000.0,0.0,nan,0,11406,0,39090,196.95532735188803,224.59541880289714,2.3237045885443215,3.9935114563470315,0.6692736645539602,0.4848921347161134,0.8743495067489647,0.9954968045615571,5833.857189141002,537.2852552816228,196.95532735188803,224.59541880289714,0.8743495067489647,0.9954968045615571,3.325588709225947,1.0663569407141238,0.488507458830581,0.9931213673495455,137.12071520996093,392.37743943866576
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,43,4.4923220484579724,0.7832159808278084,0.6126397702097893,nan,0.7915426207085451,4.82245455811421,1000.0,0.0,nan,0,9332,0,41756,199.1894963582357,223.43358703613282,2.402608080431614,4.014272749435087,0.6423423495143652,0.4772185588255525,0.8831686491615952,0.9905831767598572,5700.240850515904,534.5724744918405,199.1894963582357,223.43358703613282,0.8831686491615952,0.9905831767598572,3.369606881833698,1.0411193477658072,0.48356947385204524,0.9864518487753086,138.84070013427734,457.54926510748595
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,44,4.5137712106437045,0.7838434791564941,0.6107839822769165,nan,0.9862746468612126,4.766174891789754,1000.0,0.0,nan,0,11308,0,38920,180.05205644880022,222.40928990681965,2.4512426555122295,4.035818943532717,0.7561807121549334,0.4692502995828787,0.8010649226179184,0.9858585586307337,5150.817918990973,527.7276069673762,180.05205644880022,222.40928990681965,0.8010649226179184,0.9858585586307337,3.401988428324522,1.0286131882801033,0.475792686840222,0.9816450229561744,135.966302734375,388.7480150462993
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,45,4.571028037902313,0.7842374792695046,0.6092408972978592,nan,1.0143963466672337,4.498690579732259,1000.0,0.0,nan,0,14701,0,37127,203.41815544577207,224.2155078125,2.4745118275979,4.057419050301176,0.5862317207981559,0.44049495172997316,0.901458454688967,0.9943843213732415,5831.918170414371,528.1977956219918,203.41815544577207,224.2155078125,0.901458454688967,0.9943843213732415,3.4242561612198656,1.0320010666664856,0.4483104882415161,0.9894009152734541,141.44552197265625,515.2038951672837
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,46,4.64728060327804,0.784789979159832,0.6079342383146286,nan,1.2483142358916146,4.30709054817756,1000.0,0.0,nan,0,13188,0,37522,190.11763218470983,225.16073974609375,2.48681509573575,4.077896036301279,0.6640375426837376,0.41865099251270294,0.8433712503150012,0.9982797662653401,5553.719494870935,528.5513607582997,190.11763218470983,225.16073974609375,0.8433712503150012,0.9982797662653401,3.441463660075067,1.0369095156201693,0.424246125578492,0.9947476502664724,137.7580906982422,394.8828893831728
