algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_kept_honest,balance_kept_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,4.719429964369758,0.8827223098278045,0.3981271725893021,nan,1.4960025548934937,6.4752906131744385,1000.0,nan,nan,0,0,0,31756,0.8139545742203208,0.6277023616433144,167.18410716337317,193.41735008239746,6.51795903374167,139.99207931518555,9.466019352074557,203.31022718533154,5838.155563747794,657.6393019527953,0.741281081398621,0.8576891367319219,2.4849935095498297,4.264832411890935,0.741281081398621,0.8576891367319219,167.18410716337317,193.41735008239746,58.294117647058826,153.825,3.1969290704862714,1.1731281147031662,0.642293548803725,0.8485696116597279,83.05119967651368,461.55300994854315
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,4.7774904441453945,0.8830389793713888,0.3968080211679141,nan,1.2943333712491123,6.329150359034538,1000.0,nan,nan,0,0,0,30596,0.698167169635946,0.6106954671442508,181.68385314941406,193.8976387786865,6.272247357801958,143.22710174560547,9.048646916897374,206.62633322559088,6493.659868951362,663.994099936728,0.8055525343372577,0.8596785710921264,2.499580935210538,4.297155753674615,0.8055525343372577,0.8596785710921264,181.68385314941406,193.8976387786865,34.54545454545455,151.08,3.2186108625961687,1.1816176438018262,0.615255603293107,0.8568568345788393,81.55610028076173,408.4581570916212
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,4.8422962315241245,0.8832413121064504,0.39557795753081637,nan,1.5951949954032898,6.298517135381698,1000.0,nan,nan,0,0,0,30688,0.7979533293030479,0.6050876288115978,166.2620253129439,192.79891120910645,6.640457413413308,146.3896760559082,9.516191306484945,209.78557287762473,6043.24641756982,663.4776840250981,0.736405517510456,0.8545601361643846,2.5114402994410914,4.330972703865068,0.736405517510456,0.8545601361643846,166.2620253129439,192.79891120910645,38.81818181818182,151.305,3.239253261210682,1.1956847404003224,0.6151422387898251,0.8484004167084926,80.77732904052735,398.3424947965753
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,4.5614176021516,0.8829776448011398,0.3956361930569013,nan,1.4111751637288503,2.940504069328308,1000.0,nan,0.0,0,0,30411,605,0.8091832016195569,0.0,162.9146728515625,0.0,6.45827225276402,149.62481857299804,9.193613051677305,212.99701081799947,6086.309967315147,0.0,0.722266898318576,0.0,2.5665419059899492,0.0,0.722266898318576,0.0,162.9146728515625,0.0,43.214285714285715,152.055,2.5665419059899492,1.0226997741576307,0.8091832016195569,0.722266898318576,7.602684733072917,284.02779847470697
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,4.649777988577616,0.8781896450122197,0.4102384287118912,0.6036448585145234,1.3472579284147783,8.521049993038178,1000.0,1.0,0.37212537362597387,172,0,30212,530,0.8038085048848932,0.0,162.0523015802557,0.0,6.512688159942627,149.9685388946533,9.209474698776164,212.06780221070895,6143.545973328736,0.0,0.7183077042294557,0.0,2.6042080283059694,0.0,0.7183077042294557,0.0,162.0523015802557,0.0,32.54545454545455,151.92,2.6042080283059694,1.0265794161786128,0.8038085048848932,0.7183077042294557,5.941917724609375,225.26335235538698
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,4.654607581059226,0.8832886443535487,0.3944169082244237,1.0,1.4470294691049135,34.314387474060055,1000.0,1.0,1.0,500,0,29900,580,0.8407162382052495,0.0,155.75047889122595,0.0,6.458261930025541,155.12314544677736,9.071830634193537,217.8993230971307,5889.5977676858265,0.0,0.6900962518039282,0.0,2.6540312297783064,0.0,0.6900962518039282,0.0,155.75047889122595,0.0,6.153846153846154,152.0,2.6540312297783064,1.0303693844615758,0.8407162382052495,0.6900962518039282,6.749187418619791,255.21590326638582
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,4.654607581059226,0.8835293098290762,0.39311843673388164,1.0,1.0559467673301697,139.70644664764404,1000.0,1.0,1.0,455,0,29900,551,0.7754178568720818,0.0,162.55910364786783,0.0,6.26499346892039,222.292413482666,8.741875252510765,310.1763087040979,6429.230956521624,0.0,0.7217638104301978,0.0,2.690078474637247,0.0,0.7217638104301978,0.0,162.55910364786783,0.0,8.0,151.775,2.690078474637247,1.0337020295086123,0.7754178568720818,0.7217638104301978,6.502364145914713,257.169238260865
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,4.654607581059226,0.8837013105551402,0.3920765725771586,1.0,1.4651176070465761,659.8946845245362,1000.0,1.0,1.0,3839,0,26689,766,0.7792397772564608,0.0,160.4819892434513,0.0,6.540246234220617,774.1441012573242,9.065312611364542,1073.026615943274,6356.615720534604,0.0,0.7113958863714798,0.0,2.7308188252922663,0.0,0.7113958863714798,0.0,160.4819892434513,0.0,8.117647058823529,136.585,2.7308188252922663,1.0464084101318902,0.7792397772564608,0.7113958863714798,9.09397939046224,360.2082241636276
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,4.918529413314924,0.883895644346873,0.3912212599317233,1.0,1.3434474101433387,3660.7014126586914,1000.0,1.0,1.0,1386,0,28928,498,0.7698011306615976,0.0,159.92657353327826,0.0,6.416383743286133,4155.953806762695,8.834535473152853,5722.214069419999,6086.679810664335,0.0,0.7097630043950803,0.0,2.761020203022521,0.0,0.7097630043950803,0.0,159.92657353327826,0.0,6.461538461538462,146.71,2.761020203022521,1.0614630700363292,0.7698011306615976,0.7097630043950803,6.93015151977539,263.7561251287878
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.138605754655786,0.8840483119090398,0.39030759523312253,1.0,1.0292597532272338,19101.5740637207,1000.0,1.0,1.0,1166,0,29042,358,0.7974992334842682,0.0,155.73843231201172,0.0,6.239130258560181,21947.18720336914,8.53340082175683,30017.668738286808,6450.954594767026,0.0,0.6897813379487687,0.0,2.802692868059512,0.0,0.6897813379487687,0.0,155.73843231201172,0.0,5.0,146.75,2.802692868059512,1.0640585038233188,0.7974992334842682,0.6897813379487687,5.191281077067058,215.0318198255675
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.155290378334467,0.8841553119818369,0.38940396457910537,1.0,1.0608106061816216,121875.87258789063,1000.0,1.0,1.0,657,0,29699,700,0.8428819954395295,0.0,149.18066482543946,0.0,6.215246939659119,137963.80487304687,8.44425198057228,187442.45302832802,6154.706642602598,0.0,0.6613203938457188,0.0,2.907958598287913,0.0,0.6613203938457188,0.0,149.18066482543946,0.0,12.2,150.775,2.907958598287913,1.0587542905061207,0.8428819954395295,0.6613203938457188,9.945377655029297,410.31377617350654
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.155290378334467,0.8842899789412816,0.38872160176436105,1.0,1.2278654885788758,704450.6248046875,1000.0,1.0,1.0,955,0,29730,1091,0.7973985411226749,0.0,152.65149688720703,0.0,6.264951229095459,810811.3070703126,8.455225485446931,1094277.062459952,6356.528855687063,0.0,0.6766954845863976,0.0,3.0200629710196685,0.0,0.6766954845863976,0.0,152.65149688720703,0.0,12.75,152.575,3.0200629710196685,1.0533846924511847,0.7973985411226749,0.6766954845863976,12.212119750976562,508.52230845496507
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,5.155290378334467,0.8843936431407928,0.38801075687011083,1.0,1.0618441383043924,4923093.965,1000.0,1.0,1.0,563,0,29780,559,0.7564829468727112,0.0,156.2425069173177,0.0,6.245388571421305,5556786.0365625,8.372818309411171,7449650.143677545,6586.316987079072,0.0,0.6923755507419498,0.0,3.06873231818341,0.0,0.6923755507419498,0.0,156.2425069173177,0.0,7.733333333333333,151.115,3.06873231818341,1.0517785304248166,0.7564829468727112,0.6923755507419498,7.812125345865885,329.3158493539535
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,5.287116471985198,0.8845659786462784,0.3873381045460701,1.0,1.6609094937642415,29312281.881875,1000.0,1.0,1.0,587,0,29780,537,0.7771604657173157,0.0,151.1519889831543,0.0,6.569397330284119,33931991.2875,8.748678073412696,45188325.996921085,6377.329438271656,0.0,0.6711085654901372,0.0,3.09858304847011,0.0,0.6711085654901372,0.0,151.1519889831543,0.0,5.833333333333333,151.235,3.09858304847011,1.0685472234872508,0.7771604657173157,0.6711085654901372,6.046079559326172,255.09317753086617
