algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,16,3.377983350726144,0.7487814824283123,0.7425151887536049,nan,1.0075760409235954,5.814887475967407,1000.0,0.0,nan,0,34,0,11776,0.963591932758088,0.9494419059328351,217.2116340637207,214.14330673217773,1.2750763000379057,3.051701941670383,0.869214391708374,0.8858196020126343,4016.120147908833,866.663191558129,217.2116340637207,214.14330673217773,0.963591932758088,0.9494419059328351,1.6304014283644013,1.231128011933934,0.8830520669619243,0.951800243737044,51.51712670898438,333.97744422797916
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,17,3.496516584352932,0.7515787309408188,0.7308819296956063,nan,0.7076476812362671,5.974072895050049,1000.0,0.0,nan,0,64,0,10738,0.9643344616064926,0.9461509757617641,217.7549116346571,213.35536483764648,1.3352442718620445,3.1319370729800937,0.8569696843624115,0.8785226583480835,4194.68880932672,817.1563659960765,217.7549116346571,213.35536483764648,0.9643344616064926,0.9461509757617641,1.6945828320856544,1.2371334238986482,0.8752349165536589,0.9489247278397737,50.51024978637695,314.44007033497724
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,18,3.530594170557086,0.753927730768919,0.7208000881969929,nan,0.8586372406709761,6.072014136314392,1000.0,0.0,nan,0,117,0,11039,0.9792244396393218,0.948491947933901,220.99596441359748,213.9175730895996,1.3847144504626812,3.211373202518881,0.8276554984705788,0.8644489711523056,4376.509872790797,779.9822264429395,220.99596441359748,213.9175730895996,0.9792244396393218,0.948491947933901,1.750046200873921,1.2454381465472797,0.8580633271331629,0.9538256861637676,52.06534512329102,339.8098599458013
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,3.5673579018905706,0.7563002303242683,0.7113134866952896,nan,0.8354871488279767,6.148204612731933,1000.0,0.0,nan,0,89,0,11181,0.956741925106732,0.9513764074807746,215.70317586263022,214.53926544189454,1.4341603373317884,3.282685493451635,0.8430602120028602,0.8495484620332718,4398.853468246802,744.1212901756917,215.70317586263022,214.53926544189454,0.956741925106732,0.9513764074807746,1.8038653685557575,1.2504868901063233,0.8485587289777853,0.9521948762711749,50.6731674194336,307.1829828920232
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,3.6023802928376556,0.7582332296669483,0.7029242052137852,nan,0.7294574325734918,6.199561915397644,1000.0,0.0,nan,0,85,0,11181,0.9392832394998113,0.9551628904642986,211.93288629705256,215.53716278076172,1.493734611642655,3.348400843583073,0.8527568605813113,0.8333614110946655,4558.611496260951,722.9706280112197,211.93288629705256,215.53716278076172,0.9392832394998113,0.9551628904642986,1.8646678580307385,1.2518187356242303,0.8368589511660279,0.9522993468477516,52.432479553222656,345.1730314377258
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,3.6433414528318995,0.7601319797337055,0.6952915106713772,nan,0.8146547218163808,6.243899569511414,1000.0,0.0,nan,0,17,0,10717,0.9465626979734953,0.9579535127523693,213.16026000976564,216.00124618530273,1.5254101083077245,3.4062234692765827,0.8322463671366374,0.8181937688589096,4740.76236206267,702.660203783881,213.16026000976564,216.00124618530273,0.9465626979734953,0.9579535127523693,1.9015727805014966,1.2582117051212072,0.8200267164603524,0.956467754302951,49.59505703735351,282.75491161865637
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,3.6772185641094968,0.7618749812245369,0.6879175186157227,nan,0.8810940378386042,6.338687579631806,1000.0,0.0,nan,0,116,0,11230,0.9729950863761156,0.9540079269103289,219.39177338973334,215.21666564941407,1.5730589343353554,3.4656019107798697,0.7875734638908635,0.8112329214811325,4838.742012692511,674.1663013010474,219.39177338973334,215.21666564941407,0.9729950863761156,0.9540079269103289,1.9515675296242585,1.26059914736769,0.806808795265066,0.957558371363281,53.13535470581055,357.41539284406497
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.708352901257752,0.7637637311220169,0.6814436197280884,nan,0.7772598415613174,6.289625525474548,1000.0,0.0,nan,0,33,0,10911,0.9628924833170819,0.9634085478826384,217.27029334174262,217.38726089477538,1.627475438090396,3.5101138877699203,0.7881035109361013,0.7874539920687675,4816.723498126875,660.003956726877,217.27029334174262,217.38726089477538,0.9628924833170819,0.9634085478826384,2.004003128026301,1.2557665108185494,0.7875530712180219,0.9633298261692486,51.299182739257816,305.4028372779429
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.735766643164218,0.7654869818687439,0.675250631570816,nan,0.8084961756279594,6.3672768497467045,1000.0,0.0,nan,0,52,0,10980,0.9590177939965617,0.9588428049329264,216.1806287263569,216.3811978149414,1.6762875967926818,3.555944055948052,0.7808494442387631,0.7810718989372254,5080.166054939063,642.9179141982504,216.1806287263569,216.3811978149414,0.9590177939965617,0.9588428049329264,2.052218888623756,1.2529394182293887,0.7810363809601599,0.9588707443632544,51.49110345458984,321.6298929273344
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.7644802290642456,0.7667904803156853,0.6698837453126907,nan,0.6752773246594838,6.4487761116027835,1000.0,0.0,nan,0,29,0,10765,0.8840316553323817,0.9531198037864685,199.3430666242327,214.9342710876465,1.733522809564365,3.59527850554949,0.864880885396685,0.7761699467897415,4782.443235900163,627.8897993873445,199.3430666242327,214.9342710876465,0.8840316553323817,0.9531198037864685,2.1058739487613902,1.245363363043799,0.7870642725835767,0.9446352943271947,48.568460083007814,259.48637048267346
