algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,1.221136001438494,0.8723306455214819,0.45711821258068086,nan,1.713499731877271,11.959810252189635,1000.0,0.0,nan,0,51,0,31317,363.4832566205193,380.252872467041,1.6099642138614625,1.6859434814206953,0.6013892195483751,1.1521040259758342,0.8283356182715472,0.773041096329689,1.6099642138614625,1.6859434814206953,9152.025200088761,499.6512842807469,363.4832566205193,380.252872467041,0.8216751421193588,0.3909633855750811,0.7773729252375765,1.6799911885704326,164.45957971191407,511.02937051531666
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,1.2337490144304284,0.8729599791765214,0.45232501993576685,nan,1.6258413055363823,11.879128847122193,1000.0,0.0,nan,0,101,0,31137,343.5769635368796,381.7301412963867,1.523415953228132,1.692319956087384,0.6165412237949478,1.1682240679252487,0.8801794087185579,0.756022785604,1.523415953228132,1.692319956087384,8808.383369773946,490.95857277009253,343.5769635368796,381.7301412963867,0.8372143614470683,0.38988310715568886,0.7657493413318687,1.679087845264309,164.37367327880858,495.8684636803513
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,1.2483270232184802,0.8738503108421961,0.44743169357379275,nan,1.4928513877093792,11.884637684822083,1000.0,0.0,nan,0,55,0,31363,355.9867305755615,381.2134684753418,1.5795456181175358,1.6896660796488903,0.6299363356907812,1.183727025667257,0.8272510096430779,0.7454910030961037,1.5795456181175358,1.6896660796488903,9527.001034590017,482.97690908289724,355.9867305755615,381.2134684753418,0.8514526116813715,0.39001154628117907,0.751547299877361,1.6815090084243454,163.87696276855468,498.0547967400395
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,1.2603703650753515,0.8741529806454976,0.44380486249923706,nan,1.5669511014764959,11.844472365379334,1000.0,0.0,nan,0,165,0,31339,352.3105843283913,381.0262001037598,1.5615553348408029,1.6895788630334352,0.6549466673665879,1.1988419489519553,0.8289559876376932,0.7329483836889267,1.5615553348408029,1.6895788630334352,9387.909196532826,475.40089619127656,352.3105843283913,381.0262001037598,0.8725047800007347,0.3845944187504277,0.7424626507469125,1.6768918467260572,167.91214575195312,603.228363123955
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,1.2732603535808482,0.8746376454830169,0.4402286566297213,nan,1.9848173360029857,11.765072774887084,1000.0,0.0,nan,0,29,0,30859,349.69597880045575,381.59157287597657,1.5523720523564968,1.691396685535084,0.6648954671869325,1.2134187167668014,0.8241427540779114,0.7188373783230781,1.5523720523564968,1.691396685535084,9497.79176314107,468.49956796371623,349.69597880045575,381.59157287597657,0.8843047670188801,0.38583094125194656,0.7247980599695781,1.6835273666759183,161.02933264160157,415.34682950087216
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,1.2876443084589502,0.8752426461378733,0.43664975494146346,nan,1.809148948926192,11.733850502967835,1000.0,0.0,nan,0,40,0,30816,323.8199157714844,380.7653254699707,1.4359429956388945,1.688161481286182,0.6835170490373188,1.2277992533898483,0.901401684834407,0.7084366407990456,1.4359429956388945,1.688161481286182,9052.110601886545,461.2245495544684,323.8199157714844,380.7653254699707,0.9012299307783307,0.3834487504821073,0.7202138500594197,1.6727678647912771,160.7254479980469,419.8446954708374
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,1.3022038750569525,0.875613643527031,0.43352979262669883,nan,1.7590393523375194,11.670635409355164,1000.0,0.0,nan,0,72,0,30738,346.195795694987,380.4611926269531,1.5355313845223437,1.686482224977538,0.6973596057124801,1.2411435768684458,0.8134026577075323,0.696753875464201,1.5355313845223437,1.686482224977538,9086.71434411813,455.903708324956,346.195795694987,380.4611926269531,0.9148731941748666,0.3823354413441445,0.7033566367232574,1.6779378377819607,160.49317614746093,400.44262758881763
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,1.3161614465104767,0.8756463098526001,0.43166885723670323,nan,1.931328516939412,11.59545445919037,1000.0,0.0,nan,0,274,0,32082,351.66429337211275,380.0320297241211,1.5579357031348506,1.6847713810375966,0.7095778120716062,1.254284632698655,0.783989993126496,0.6849913930892945,1.5579357031348506,1.6847713810375966,9586.298457548231,448.16285017171026,351.66429337211275,380.0320297241211,0.9274605403224258,0.3826289057283502,0.6952020110303511,1.6716896743480758,168.18936938476563,620.2348691159027
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,1.3301907209752855,0.8761829767624537,0.4286256926258405,nan,1.8431163728237152,11.507279405593872,1000.0,0.0,nan,0,40,0,30734,341.04708099365234,379.6112161254883,1.513005676319617,1.6831082449052601,0.7211124202402674,1.2667774879167324,0.8071904132763544,0.6730865049362182,1.513005676319617,1.6831082449052601,9922.35581400735,443.8846250644344,341.04708099365234,379.6112161254883,0.9393784473108534,0.38258521711202803,0.6806772922007542,1.6734797976268272,160.02961639404296,415.69038956195016
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,1.3436687940693506,0.8766606454054514,0.4256273270646731,nan,1.3834264030059178,11.286136636734009,1000.0,0.0,nan,0,38,0,30892,334.7543436686198,381.4188764953613,1.4855768782823902,1.6902913757770883,0.735369354533745,1.2787516084390191,0.8170438682039579,0.6540309177339076,1.4855768782823902,1.6902913757770883,10567.020595162556,440.2156773544318,334.7543436686198,381.4188764953613,0.9527222560958548,0.3803235419245914,0.6632580658737218,1.6787037627113506,160.6016548461914,429.6947652256741
