algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,2.977910081992372,0.8775836433966955,0.42899280071258544,nan,1.1523233304421108,6.857899529933929,1000.0,0.0,nan,0,50,0,30760,264.9990425109863,284.9328530883789,264.9990425109863,284.9328530883789,1.175380011399587,1.263034176826477,0.824619988600413,0.736965823173523,7317.242128351666,587.2700286105281,1.175380011399587,1.263034176826477,1.5785423336055897,2.9062533879258017,2.1096267553336743,0.8760972611822277,0.7419273797071205,1.2580726202928796,120.33311825561523,410.5218225246513
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,2.986542193305689,0.877894311149915,0.4262979203462601,nan,1.2456276896207228,6.806839189529419,1000.0,0.0,nan,0,197,0,32159,270.63909713081694,287.8712585449219,270.63909713081694,287.8712585449219,1.19901544633119,1.276207104921341,0.8009845536688099,0.7237928950786591,7703.807290775437,584.1621868547937,1.19901544633119,1.276207104921341,1.5926364535635371,2.9153692267935454,2.12172956285554,0.86911258444543,0.7317543665924414,1.2682456334075585,127.59790188598633,588.0400101175876
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,2.995211659460378,0.8784043113390605,0.423293346563975,nan,1.1509826680024464,6.726793842315674,1000.0,0.0,nan,0,38,0,30736,267.80299886067706,291.3457308959961,267.80299886067706,291.3457308959961,1.1880718022584915,1.2917651373147965,0.8119281977415085,0.7082348626852035,7955.45326251254,585.323373429694,1.1880718022584915,1.2917651373147965,1.6060686153684436,2.9241349057098938,2.1332951315050237,0.8618896575261888,0.7141042967449944,1.2858957032550056,122.9655643310547,425.06022767217854
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,3.00468269601679,0.8788229765494665,0.4204816071192424,nan,0.9396697754661242,6.650254592895508,1000.0,0.0,nan,0,18,0,30912,265.53687540690106,294.7716645812988,265.53687540690106,294.7716645812988,1.1784013360738754,1.3063082346320152,0.8215986639261246,0.6936917653679848,8444.968080451008,586.979649886481,1.1784013360738754,1.3063082346320152,1.6256844427366273,2.9325338077479497,2.1484241887411564,0.8490301057892428,0.7009317784939172,1.2990682215060827,124.28155084228516,437.4710938854166
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,3.012754722245078,0.8791973100105921,0.4180070964495341,nan,1.2139978462999517,6.564641363620758,1000.0,0.0,nan,0,26,0,30242,265.57960510253906,298.1829689025879,265.57960510253906,298.1829689025879,1.1777800592509182,1.321219042390585,0.8222199407490817,0.678780957609415,8135.993246712133,587.0186420432361,1.1777800592509182,1.321219042390585,1.6451709047818046,2.940619503024733,2.163350344078976,0.8356451647538925,0.686258819289682,1.3137411807103179,125.11593887329101,413.79930824496137
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,3.0218892274076,0.8794626454512279,0.4160543177525202,nan,1.1996234816809495,6.513687872886658,1000.0,0.0,nan,0,194,0,31208,283.53938547770184,300.38080963134763,283.53938547770184,300.38080963134763,1.2559157311916351,1.3320353271067142,0.7440842688083649,0.6679646728932858,8839.896448670157,587.6051241397458,1.2559157311916351,1.3320353271067142,1.6528474463673226,2.9485009888571874,2.1711088633632687,0.8328381509151532,0.6761203438841871,1.3238796561158128,133.76221435546876,659.357079192066
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,3.032079142650824,0.8798083132505417,0.41376235157251356,nan,1.176543680521158,6.366167528629303,1000.0,0.0,nan,0,75,0,30583,257.5486285869892,304.9528927612305,257.5486285869892,304.9528927612305,1.1428181529045105,1.352233389467001,0.8571818470954895,0.647766610532999,8222.299149758339,592.0248916706441,1.1428181529045105,1.352233389467001,1.6663495387970002,2.955988752541358,2.1822052242947434,0.8242534773580914,0.660547822154184,1.3394521778458162,128.67742144775391,450.58973456197447
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,3.0404997214038696,0.8800666439533233,0.4118461321791013,nan,1.3269033352533977,6.268649716377258,1000.0,0.0,nan,0,134,0,30932,267.3052591959635,308.31669158935546,267.3052591959635,308.31669158935546,1.1863040367762248,1.3668268564343453,0.8136959632237752,0.6331731435656548,8692.372512916574,596.2059571895351,1.1863040367762248,1.3668268564343453,1.6799310884348662,2.9632378075165233,2.1932537760675292,0.8153601174024647,0.6457677588906399,1.3542322411093601,131.3458344116211,499.2535582633112
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,3.048521074662276,0.8801839780807496,0.41048073410987856,nan,1.5591472776039788,6.190037069320678,1000.0,0.0,nan,0,525,0,30901,269.98144265879756,311.087978515625,269.98144265879756,311.087978515625,1.1969355059706646,1.3791067752242088,0.8030644940293353,0.6208932247757911,8806.235862394746,599.2299508069452,1.1969355059706646,1.3791067752242088,1.6813733476894375,2.970273298078039,2.1969333278448775,0.8177805035427945,0.639682189766067,1.360317810233933,136.8543377685547,644.7788299929365
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,3.057581039231396,0.8804863115151723,0.40861600935459136,nan,1.1297020486422948,6.085738658905029,1000.0,0.0,nan,0,394,0,30922,266.96925571986606,314.4418913269043,266.96925571986606,314.4418913269043,1.1855228671005793,1.3935421469807625,0.8144771328994206,0.6064578530192375,8963.831480720224,603.314097719158,1.1855228671005793,1.3935421469807625,1.6947799450746999,2.9770825510016046,2.2077009874454614,0.8085193556564264,0.6200665909553242,1.3799334090446758,133.25189569091796,492.3129205478295
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,3.0666824680625444,0.8805103119214376,0.4073139597972234,nan,1.3960928353998396,6.018820617198944,1000.0,0.0,nan,0,389,0,30835,265.16065724690753,316.74895797729494,265.16065724690753,316.74895797729494,1.1771181722482045,1.4039028470218182,0.8228818277517954,0.5960971529781819,8547.638226680845,603.6106609281626,1.1771181722482045,1.4039028470218182,1.714756553256052,2.9837325134772037,2.2223469373445126,0.7928621101925568,0.614822493097104,1.385177506902896,136.24536685180664,549.1592405317754
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,3.0751327084310107,0.8807819775740305,0.4058650015791257,nan,1.2543459451860852,5.869677296876907,1000.0,0.0,nan,0,771,0,30541,271.5572162204319,320.8364381408691,271.5572162204319,320.8364381408691,1.2048276828394995,1.422030321210623,0.7951723171605004,0.5779696787893772,9341.026376086962,613.1203942603508,1.2048276828394995,1.422030321210623,1.734628814686504,2.9901524550360694,2.23683827082633,0.7765702797343417,0.5959038415906626,1.4040961584093374,138.1106350402832,581.525107243271
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,3.0833349636161422,0.8808563099304835,0.4048634128769239,nan,1.458468457063039,5.6973559296131135,1000.0,0.0,nan,0,1158,0,30628,278.3439701625279,325.24660873413086,278.3439701625279,325.24660873413086,1.232445505403337,1.442090646624565,0.767554494596663,0.5579093533754349,9484.784773935355,614.2575160316645,1.232445505403337,1.442090646624565,1.7358400516528312,2.9962972400680674,2.240022927018926,0.7786923172516446,0.5778303848941941,1.4221696151058059,141.78909024047852,644.0639669179507
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,3.0903365465385724,0.8811556454499563,0.40328189184268315,nan,1.461007297039032,5.533486696481705,1000.0,0.0,nan,0,1358,0,29620,269.2366208163175,329.6458576965332,269.2366208163175,329.6458576965332,1.19558077508753,1.460937225818634,0.8044192249124701,0.539062774181366,9569.316588640653,625.6989446449437,1.19558077508753,1.460937225818634,1.7427713452997773,3.0022290705539696,2.246554435401454,0.7745497683296566,0.5528965227976794,1.4471034772023206,137.78154873657226,460.80454280807186
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,3.0970424534872416,0.8811456427971522,0.40257963885863624,nan,1.6282534809673535,5.4422538888454435,1000.0,0.0,nan,0,988,0,30768,270.5170323988971,332.04850830078124,270.5170323988971,332.04850830078124,1.199443568201626,1.472430162727833,0.800556431798374,0.5275698372721672,8920.301670403996,630.9232711075337,1.199443568201626,1.472430162727833,1.7564011012551468,3.007993520057349,2.2570380687760276,0.7637512842078221,0.548955883847953,1.451044116152047,142.016982421875,555.6595652367494
