algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.0425139112252575,0.7749764806032181,0.6400285351276398,nan,0.9323386549949646,5.979141477743784,1000.0,0.0,nan,0,1807,0,48983,5030.792490480879,568.9529834198815,0.8270746767520905,0.6496951054533323,192.22110900878906,221.17150756835937,0.8517185940358173,0.9805225989309546,2.016668579965096,3.77880291481335,0.8517185940358173,0.9805225989309546,192.22110900878906,221.17150756835937,3.0739491808740484,1.1060353757147334,0.6554170271081309,0.9763676310311115,136.5473267211914,441.98763986154654
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.076049667484963,0.7761224809288979,0.6364486715197564,nan,0.8943866431713104,5.878184549013773,1000.0,0.0,nan,0,1283,0,48937,4899.1547522426945,564.9430891005196,0.845422899723053,0.631595293134451,187.24860229492188,221.87595275878905,0.8300528794661102,0.9837786207056013,2.0565990784448944,3.8015954726181085,0.8300528794661102,0.9837786207056013,187.24860229492188,221.87595275878905,3.103596914948823,1.0974983087786305,0.6351006637342641,0.9812585265869209,134.99805767822266,387.95740098273876
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.123969904146057,0.7768079793453216,0.6335138535499573,nan,0.7594602749897883,5.864827278852463,1000.0,0.0,nan,0,2833,0,48599,5920.0087661561265,556.65986140588,0.6300666148845966,0.6235554697116216,219.7029254619892,221.02681950887043,0.975077927686865,0.9797123675881877,2.0780914851791725,3.824345978790249,0.975077927686865,0.9797123675881877,219.7029254619892,221.02681950887043,3.1258441813458187,1.0973151741482667,0.6238259006612978,0.9795198828638515,138.328367767334,487.9161447635873
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.156602192722143,0.7779539826512337,0.630272570848465,nan,0.8677080382000316,5.681966183185577,1000.0,0.0,nan,0,4346,0,46734,5819.642370808798,550.4148205791977,0.7121223644776777,0.5981673422455788,204.96410300514916,222.8207048034668,0.9075520307676787,0.9878547776982702,2.1232478700780963,3.8464895544578828,0.9075520307676787,0.9878547776982702,204.96410300514916,222.8207048034668,3.1571928807059675,1.0861529126892617,0.6021979057328878,0.9850144876139084,138.20163314819337,458.28102450531213
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,4.197949912534897,0.7784624794125556,0.6280856987833977,nan,0.6418754508097967,5.4906100591023765,1000.0,0.0,nan,0,4995,0,45469,5541.284571418023,551.5312797318727,0.771113395690918,0.5726804622014363,193.37877400716147,224.64467290242513,0.8573650912522651,0.9958070512607039,2.1635330437968854,3.8675248022977256,0.8573650912522651,0.9958070512607039,193.37877400716147,224.64467290242513,3.1859280988973895,1.07597399944225,0.5765713040345635,0.9930925030252442,137.107349029541,397.4141826961399
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,37,4.2260609766754085,0.7792929783463478,0.6257067847251893,nan,0.9862740010023117,5.428659531871478,1000.0,0.0,nan,0,5404,0,45284,5636.9049619803745,547.5565368405997,0.7097772508859634,0.5612712978074949,200.7612319946289,224.23310974121094,0.8912011469823715,0.9937793070776899,2.2137300016426864,3.8886459533208457,0.8912011469823715,0.9937793070776899,200.7612319946289,224.23310974121094,3.218679572649582,1.0640032425222663,0.5660618124229293,0.9904703341713893,138.55509048461914,441.2720213439673
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,38,4.259691786020581,0.7801219803094864,0.6229280212521553,nan,0.7743780538439751,5.3301299905776975,1000.0,0.0,nan,0,9593,0,42247,6257.883433375259,544.5344716521415,0.5707579433090157,0.5465164735416571,220.5173110961914,224.26898228963216,0.9774034869942623,0.9939812926707468,2.240848385052465,3.9097357132121964,0.9774034869942623,0.9939812926707468,220.5173110961914,224.26898228963216,3.2421807819483037,1.0616008181889758,0.547888632207734,0.9930429263117004,142.50001257324217,552.0044865927943
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,39,4.311192766642636,0.780517980158329,0.6208109563589096,nan,0.8933606088161469,5.147770106395086,1000.0,0.0,nan,0,10029,0,40609,5683.337808494538,546.3961060709261,0.7376529633998871,0.5236776725451151,192.9439926147461,225.51652297973632,0.8546807391324929,0.9995541807784603,2.289864547277653,3.9301976102689196,0.8546807391324929,0.9995541807784603,192.9439926147461,225.51652297973632,3.2740643850724136,1.0482019332647445,0.5305801012823659,0.994880843951171,139.16879364013673,441.50441981244643
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,40,4.364480410100136,0.781391481757164,0.6186773952841759,nan,0.9564117954836951,5.159555814067523,1000.0,0.0,nan,0,8604,0,42602,5505.561595804198,541.8132551442224,0.6230182449022929,0.521073686654369,207.94088575575086,223.63744105021158,0.9230184734673306,0.9913539544451617,2.2949300679244633,3.951316119550637,0.9230184734673306,0.9913539544451617,207.94088575575086,223.63744105021158,3.288761698900168,1.055938824651646,0.5240429456324639,0.9893636006302733,137.92540057373046,424.18806181100894
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,41,4.4179267048619915,0.7819634801149369,0.6170410966873169,nan,1.2401405032724142,5.023549639383952,1000.0,0.0,nan,0,10057,0,41455,5742.367187068028,534.978297573582,0.6600053459405899,0.5031540214022001,200.52246284484863,224.11582646687825,0.8892877873478583,0.9933822081119736,2.3139219991244335,3.972646841894485,0.8892877873478583,0.9933822081119736,200.52246284484863,224.11582646687825,3.309156904786464,1.0607476326041796,0.5110958606193338,0.9881116045289806,140.8862146911621,504.74272853032613
