algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,129,7.216768976115103,0.7976509780883789,0.5944932384490966,nan,1.1437106412468534,0.0,1000.0,nan,nan,0,0,0,420,7.319325461532131,0.0,5.168680701986517,0.0,0.416667610293988,0.0,138.08014933268228,0.0,5869.000699374448,0.0,138.08014933268228,0.0,0.612581706323719,0.0,0.612581706323719,0.0,12.727272727272727,0.0,9.49088648586524,0.0,5.168680701986517,0.9500059063122587,0.416667610293988,0.612581706323719,9.113289855957031,387.3540461587136
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,130,7.216768976115103,0.7977875784635544,0.5947276527881622,nan,1.5009193246563275,0.0,1000.0,nan,nan,0,0,0,172,8.013272943950835,0.0,5.192598284147735,0.0,0.4184659059558596,0.0,143.55362374441964,0.0,5828.161514399655,0.0,143.55362374441964,0.0,0.6357306715208987,0.0,0.6357306715208987,0.0,8.19047619047619,0.0,10.356142259918558,0.0,5.192598284147735,0.948054948080543,0.4184659059558596,0.6357306715208987,6.029252197265625,244.78278360478546
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,131,7.430900535404742,0.797622377872467,0.5955378895998001,nan,1.5577002196084886,0.0,1000.0,nan,nan,0,0,0,162,7.856862885611398,0.0,5.2271813050918,0.0,0.4462585678944985,0.0,137.87583196730841,0.0,5733.934231635246,0.0,137.87583196730841,0.0,0.6106688324233444,0.0,0.6106688324233444,0.0,7.714285714285714,0.0,10.120211707580257,0.0,5.2271813050918,0.9306846214443122,0.4462585678944985,0.6106688324233444,5.790784942626953,240.82523772868032
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,132,7.555333358195126,0.7976129797697067,0.5961762453317643,nan,1.258366284891963,0.0,1000.0,nan,nan,0,0,0,504,7.844628002908495,0.0,5.262903550098239,0.0,0.40389931853860617,0.0,137.63334698147244,0.0,5791.547813767218,0.0,137.63334698147244,0.0,0.6101814787844158,0.0,0.6101814787844158,0.0,14.0,0.0,10.070826853343567,0.0,5.262903550098239,0.9309831381068955,0.40389931853860617,0.6101814787844158,9.909600982666015,416.9914425912397
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,133,7.555333358195126,0.7975237795114517,0.5968808835744858,nan,1.5311819657131478,0.0,1000.0,nan,nan,0,0,0,258,8.333682925612838,0.0,5.302917653665694,0.0,0.4127212420657829,0.0,138.11512869375724,0.0,5776.100747284618,0.0,138.11512869375724,0.0,0.6125659163631061,0.0,0.6125659163631061,0.0,9.555555555555555,0.0,10.663066060165468,0.0,5.302917653665694,0.9118885717956261,0.4127212420657829,0.6125659163631061,7.458216949462891,311.90944035336935
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,134,7.555333358195126,0.7976465805768966,0.5972543317079544,nan,1.4798220797725345,0.0,1000.0,nan,nan,0,0,0,190,7.731958534406579,0.0,5.3348077799746925,0.0,0.45928435481112934,0.0,137.80514858079994,0.0,5723.857314104839,0.0,137.80514858079994,0.0,0.6109978061653144,0.0,0.6109978061653144,0.0,8.26086956521739,0.0,9.860228857419727,0.0,5.3348077799746925,0.8992885664944255,0.45928435481112934,0.6109978061653144,6.339036834716797,263.2974364488226
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,135,7.555333358195126,0.7976291786432266,0.5978808431625366,nan,1.1537283595119203,0.0,1000.0,nan,nan,0,0,0,306,7.783261656761169,0.0,5.359868443387737,0.0,0.3782291685097984,0.0,138.18638011387415,0.0,5820.803680653124,0.0,138.18638011387415,0.0,0.6122632579212516,0.0,0.6122632579212516,0.0,10.928571428571429,0.0,9.892623057254161,0.0,5.359868443387737,0.9067712595288236,0.3782291685097984,0.6122632579212516,7.7384372863769535,325.96500611657495
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,136,7.555333358195126,0.7976355798244477,0.598191348195076,nan,1.5230463578783233,0.0,1000.0,nan,nan,0,0,0,362,7.828815624631685,0.0,5.394197538374222,0.0,0.4531903413349184,0.0,138.48967190446524,0.0,5771.4696877674905,0.0,138.48967190446524,0.0,0.6147407643953654,0.0,0.6147407643953654,0.0,12.482758620689655,0.0,9.917409531256979,0.0,5.394197538374222,0.9018023401308585,0.4531903413349184,0.6147407643953654,8.032400970458985,334.7452418905144
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,137,7.679766180985512,0.797542578458786,0.5992915098667144,nan,1.517367894611051,0.0,1000.0,nan,nan,0,0,0,384,8.910582819292623,0.0,5.428638491915158,0.0,0.3781950353614746,0.0,138.99292582850302,0.0,5581.389654366945,0.0,138.99292582850302,0.0,0.6164630364794887,0.0,0.6164630364794887,0.0,12.387096774193548,0.0,11.250210411508856,0.0,5.428638491915158,0.8961502793304797,0.3781950353614746,0.6164630364794887,8.617561401367187,346.04615857075066
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,138,7.679766180985512,0.797572979092598,0.5997816562652588,nan,1.614857532978058,0.0,1000.0,nan,nan,0,0,0,226,8.029606704711915,0.0,5.458425872900839,0.0,0.42284848242998124,0.0,137.87135986328124,0.0,5646.094614033441,0.0,137.87135986328124,0.0,0.6115214449720017,0.0,0.6115214449720017,0.0,9.04,0.0,10.104181981701267,0.0,5.458425872900839,0.8884518862460272,0.42284848242998124,0.6115214449720017,6.893567993164062,282.30473070167204
