algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,4.76024692898964,0.879064977367719,0.42327649851640065,nan,21.87272712458735,144.2275535583496,1000.0,0.0,nan,0,32356,0,0,0.8391580081941986,0.849024919402836,0.8391580081941986,0.849024919402836,2.2392523441249397,4.330315162474009,189.40432407545006,191.51169288635253,0.0,0.0,9.22256400555863,9.220769312057893,5.823137718698253,5.822004547119141,0.8210269782854163,0.807164485156536,189.40432407545006,191.51169288635253,5646.932483318643,5725.775009207795,3.0756774714645676,1.352483418416491,0.8085942490218466,0.8480072559149496,85.31727606201171,2550.0688979157753
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,4.937184255852028,0.8796193116903305,0.4202754521369934,nan,19.51381794611613,146.5826644897461,1000.0,0.0,nan,0,30774,0,0,0.8378619092862979,0.83699858133916,0.8378619092862979,0.83699858133916,2.278043554303268,4.421946428092068,188.85979843139648,188.78075637817383,0.0,0.0,9.1763490527657,9.181760677696529,5.832712968190511,5.836152729988098,0.8110173543294271,0.8122424750030041,188.85979843139648,188.78075637817383,5784.323588832151,5764.201283152357,3.135604703818788,1.3717737566980799,0.8121731285497827,0.8370474489588094,80.04493771362304,2444.5042793929138
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,5.184865100127964,0.8799443115790685,0.41750804672638575,nan,14.8097931543986,148.12490169525145,1000.0,0.0,nan,0,30930,0,0,0.8190521985772822,0.8280158865791174,0.8190521985772822,0.8280158865791174,2.3220993839781072,4.524014351212966,184.5623779296875,186.84126373291016,0.0,0.0,9.149236361764546,9.142495539844992,5.854378859202067,5.850065567493439,0.8260283917188644,0.8131804740428925,184.5623779296875,186.84126373291016,5897.3608715822,5807.373277413,3.2028653708720505,1.3902553646363578,0.8139077146660607,0.827508508012976,79.16600256347657,2464.4859718831726
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,5.373605767054273,0.8804056439797083,0.4149691674113274,nan,20.80605558915572,147.4304188156128,1000.0,0.0,nan,0,30268,0,0,0.8070079293873639,0.8272933944954013,0.8070079293873639,0.8272933944954013,2.3706033496943233,4.626176898047055,181.9712371826172,186.7132839202881,0.0,0.0,9.105695142383874,9.102979137721078,5.865491086786443,5.863741555213928,0.8316666863181374,0.8022987163066864,181.9712371826172,186.7132839202881,5671.334326444947,5884.638034712158,3.2728327690354155,1.4072260284517029,0.8038297479186578,0.8262358583997217,78.6886807861328,2478.6245690666515
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,5.5403585382815015,0.8807566450039546,0.4126015228033066,nan,21.17091965675354,146.92341354370117,1000.0,0.0,nan,0,31402,0,0,0.8455926283658489,0.8254471266299561,0.8455926283658489,0.8254471266299561,2.4088916679827967,4.734233999562609,190.90642865498862,186.14415657043457,0.0,0.0,9.068479862879698,9.063265658542159,5.8805921872456866,5.877210958003998,0.7635029306014379,0.7929613873362541,190.90642865498862,186.14415657043457,6156.499027046546,5973.215410195519,3.339028600614722,1.4387621297850899,0.7898051241146666,0.8276055732445161,83.62117120361329,2684.798117376442
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,5.587997239565467,0.8810989773273468,0.4102830601731936,nan,19.163546635554386,149.1195997619629,1000.0,0.0,nan,0,30658,0,0,0.7680381639360286,0.8134317600127734,0.7680381639360286,0.8134317600127734,2.4511594176968323,4.859259231819218,173.08836482121393,183.4450927734375,0.0,0.0,9.02245857249314,9.023368342935001,5.889884288494404,5.890478188991547,0.8656223828975971,0.7985769133269787,173.08836482121393,183.4450927734375,5682.140188162729,6010.849843796643,3.4143993433457864,1.4714910774658874,0.8026688903430258,0.8106612588437702,77.87833459472657,2552.075582410888
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,5.623286853198919,0.8814229782422384,0.4081083991130193,nan,22.316881084442137,149.22928009033203,1000.0,0.0,nan,0,31066,0,0,0.7877554843528402,0.8088579662230686,0.7877554843528402,0.8088579662230686,2.491909000464571,4.990988695900419,177.49881693522136,182.45315536499024,0.0,0.0,8.987991515297438,8.983309324606816,5.906630674997966,5.903553683757782,0.8248069127400716,0.7933257091045379,177.49881693522136,182.45315536499024,5892.118751157005,6053.285847569642,3.49154087863891,1.5078856918535544,0.7955220721488775,0.8073857000460759,78.30622665405274,2598.077901562567
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,5.644010378206814,0.8818416450421015,0.4060822236537933,nan,26.802006762960684,146.98533199310302,1000.0,0.0,nan,0,31426,0,0,0.7864772227210975,0.8122952051634873,0.7864772227210975,0.8122952051634873,2.5268716069845256,5.119013405957775,177.40027253524116,183.22568321228027,0.0,0.0,8.942210437292042,8.943109487758948,5.915852608888046,5.916447389125824,0.8149221332176871,0.776019138097763,177.40027253524116,183.22568321228027,6011.471653755373,6127.561003853842,3.563728326573825,1.5532735239834308,0.7800315546347956,0.8096323639250346,81.4506858215332,2727.552097614284
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,5.674166323287518,0.8820893122752508,0.4042171936233838,nan,18.419212818145752,147.54765113830567,1000.0,0.0,nan,0,31316,0,0,0.7736283795631617,0.8056043127197182,0.7736283795631617,0.8056043127197182,2.5763104158384635,5.2543246823152545,174.2151369367327,181.77976470947266,0.0,0.0,8.902787537150212,8.902759756522414,5.929168122155326,5.929149620532989,0.8225673479693276,0.7739012070000172,174.2151369367327,181.77976470947266,5986.081888710972,6221.520135667196,3.64751612242918,1.5854630240918324,0.7770849732316543,0.8035124292421865,77.58992971801757,2656.218347150786
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,5.7278607649594,0.8823249795039495,0.40249374459187187,nan,23.950428671307034,151.5889824295044,1000.0,0.0,nan,0,31224,0,0,0.7473402926143022,0.7870025242858144,0.7473402926143022,0.7870025242858144,2.643982411540904,5.392019398599794,168.3532240125868,177.56601150512697,0.0,0.0,8.866046837916771,8.862345813651277,5.9441953500111895,5.941714017391205,0.8511455125278897,0.7901744484901428,168.3532240125868,177.56601150512697,5880.0175913175535,6161.756435475496,3.7431972063644596,1.609639037485561,0.7952087565299568,0.7837276611202766,77.0871206665039,2676.38320747763
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,5.770971255461069,0.8825809786717097,0.4008977358539899,nan,20.956244680616592,149.49996681213378,1000.0,0.0,nan,0,31312,0,0,0.7697256486968164,0.7890915133188026,0.7697256486968164,0.7890915133188026,2.7086593161924006,5.501133435913655,173.4870079888238,178.0308472442627,0.0,0.0,8.821029440094854,8.821849825523849,5.953572140799628,5.954125843048096,0.8048414289951324,0.7747719112038612,173.4870079888238,178.0308472442627,6229.7116499504355,6237.536825539544,3.8256489640809024,1.6223060338744981,0.7772547154251589,0.7874924969738679,77.45787118530274,2719.2843496140335
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,5.857138971648507,0.8828719766934713,0.3993741562962532,nan,24.860765411740257,148.95753749847412,1000.0,0.0,nan,0,31786,0,0,0.7783835497646366,0.7857272370984896,0.7783835497646366,0.7857272370984896,2.743532848119022,5.589256067368703,175.79757399786087,177.2122511291504,0.0,0.0,8.776481796675599,8.781239738010552,5.963127590361095,5.9663603448867795,0.7792515939190274,0.7677343995869159,175.79757399786087,177.2122511291504,6278.45397386823,6325.609219208094,3.8818221358188953,1.6492373227544206,0.7688287936184741,0.7850294206550011,78.26839855957031,2793.9387545857035
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,5.948901751574549,0.8831759782632193,0.3977761203050613,nan,24.075554327531293,150.79063316345216,1000.0,0.0,nan,0,30978,0,0,0.75634299018919,0.7744920680749448,0.75634299018919,0.7744920680749448,2.779277396935034,5.65968444865867,170.3226748379794,174.75525329589843,0.0,0.0,8.745102337670914,8.7405857337702,5.981551387093284,5.978462080955506,0.8018967455083673,0.7731472633779048,170.3226748379794,174.75525329589843,6309.559637073616,6318.072995704218,3.931440217624489,1.661533305870175,0.7746460515458437,0.7735459076164456,73.64920016479492,2666.0395102973066
