algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.869141978174448,0.49299385577440263,nan,0.04723273896612227,0.049016584269702436,,nan,nan,0,0,0,10734,30.666666666666668,102.74,9.68406783499239,9.652479514831718,5.606919892628988,5.58863076210022
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.8704859767854214,0.48407798163592813,nan,0.04552847621031106,0.047407892718911174,,nan,nan,0,0,0,11346,36.04347826086956,105.17,9.65233917840935,9.619081297250583,5.625930972721266,5.606546392440796
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.8715824803709984,0.47610435768961906,nan,0.04391032013110816,0.04600477509200573,,nan,nan,0,0,0,10944,32.22222222222222,103.64,9.620437963787387,9.584668255608774,5.644844267103407,5.623856196403503
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.8724984784424304,0.46899491623044015,nan,0.04261693145148456,0.04454627744853497,,nan,nan,0,0,0,11032,33.36842105263158,103.98,9.588659009927825,9.549216648654744,5.663831083398116,5.640533261299133
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.8735612289607525,0.4623743075877428,nan,0.04131834052503109,0.04337414979934692,,nan,nan,0,0,0,10794,34.642857142857146,103.09,9.549634608310177,9.512910915435423,5.678510972431728,5.6566739177703855
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.874425977319479,0.4562631396204233,nan,0.040110026700422165,0.042192038297653195,,nan,nan,0,0,0,10426,19.647058823529413,100.92,9.515674263580719,9.47583569095641,5.69616522508509,5.672317509651184
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.875219976902008,0.4508890350162983,nan,0.03908809750340879,0.04115477416664362,,nan,nan,0,0,0,10700,23.782608695652176,101.53,9.48608583315776,9.43803143458865,5.716436158055845,5.687477965354919
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.8759844793379307,0.4457233577221632,nan,0.03814162438735366,0.04025067623704672,,nan,nan,0,0,0,11646,38.88461538461539,106.35,9.445715143678443,9.399680736187603,5.7301824276263895,5.70225594997406
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.8767184774577618,0.44097051814198496,nan,0.03712094454094768,0.03941408347338438,,nan,nan,0,0,0,10784,28.27777777777778,102.75,9.412693625083369,9.360725240945445,5.748344977696736,5.716607813835144
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.8773884785175323,0.43663657903671266,nan,0.03646378850564361,0.038722803667187694,,nan,nan,0,0,0,11106,29.115384615384617,103.49,9.367275822754163,9.321261476232952,5.758873059199407,5.73058406829834
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.8778727276623249,0.43266551330685615,nan,0.03569714024662971,0.03799591545015574,,nan,nan,0,0,0,10838,31.0,103.11,9.339884566808363,9.281366209133763,5.780441396376666,5.744224467277527
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.8785032278299332,0.42891882061958314,nan,0.03482794251292944,0.03722001045942307,,nan,nan,0,0,0,11440,42.45,105.91,9.298493554602162,9.241062369406261,5.793318223953247,5.7575363922119145
