algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,1.5500921740440259,0.8813806438446045,0.40427996903657915,nan,1.968528105152978,10.686276919841767,1000.0,0.0,nan,0,533,0,30779,1.3922823593101326,1.6408517042396802,14.222222222222221,152.615,313.8084445529514,370.206431427002,0.8557621455204529,1.424850930707947,1.3922823593101326,1.6408517042396802,0.7989961836073134,0.5845765079557895,10919.114135005031,770.045126512442,9.649495808198887,327.84073714134297,313.8084445529514,370.206431427002,6.512728452682495,221.2693532562256,1.0833976595954504,0.38773201968218207,0.6022808848444475,1.6203276298876987,159.37967657470702,701.106159465158
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,1.5718135683804673,0.8814986429611842,0.4030987624327342,nan,2.3177432048888433,10.417247128486633,1000.0,0.0,nan,0,625,0,31161,1.4137636743399102,1.6450161488127986,20.61904761904762,153.64,319.2950352260045,371.0135673522949,0.8653182036079458,1.4368575889237538,1.4137636743399102,1.6450161488127986,0.7682095567385355,0.5667228491604328,11000.713099884884,766.5374643383587,9.552128123322777,333.5244682702342,319.2950352260045,371.0135673522949,6.49013580594744,226.61118713378906,1.0939339577342688,0.3908505294418105,0.5858686449031485,1.6230419317814382,161.81581842041015,768.6449359305086
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,1.5892347524185286,0.8817613116900126,0.40161612222592036,nan,2.294126245108518,10.181896405220032,1000.0,0.0,nan,0,423,0,30555,1.359735033615329,1.6464562700558418,12.272727272727273,152.1,306.2044206099077,371.5035131835937,0.8769581156037926,1.4488192475759734,1.359735033615329,1.6464562700558418,0.8033772815357555,0.551050808429718,11049.034792595921,770.9862248798631,9.497863612560666,338.9213257002838,306.2044206099077,371.5035131835937,6.496431610801003,231.81836502075194,1.105702568392665,0.3912839346849857,0.5642052691129712,1.6315087174451988,155.33790252685546,551.4732553890555
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,1.6030809882091783,0.8818213099241257,0.4007705157995224,nan,2.631225855911479,9.979809992313385,1000.0,0.0,nan,0,493,0,31263,1.3477970926603964,1.6453553224252453,29.294117647058822,153.825,303.97607332117417,371.0433027648926,0.8947732332565306,1.4608740877081845,1.3477970926603964,1.6453553224252453,0.8019624878378475,0.5374672435224056,10191.625407542813,768.4319456737608,10.504955379872099,344.0614098061105,303.97607332117417,371.0433027648926,7.233332858366125,236.9082600402832,1.121213575037192,0.3900930181754788,0.5581880691139379,1.622044309033529,158.75250759887695,653.8880421259598
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,1.6220664140504577,0.8821126457055409,0.3993857823808988,nan,2.301079186526212,9.693545620441437,1000.0,0.0,nan,0,181,0,30415,1.4575715831856277,1.6488495098730125,18.09090909090909,151.08,328.73891657049006,371.89136199951173,0.8992101839687414,1.472692105995824,1.4575715831856277,1.6488495098730125,0.6913643750277433,0.5196313966810703,11616.483002024996,771.3274483670148,9.66456305846657,348.97184331535107,328.73891657049006,371.89136199951173,6.69918173009699,241.89668823242187,1.1286029527795745,0.3933487760371513,0.528584300765494,1.6388776748324378,155.98880096435548,564.0936053913558
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,1.6391672122341032,0.8821823100248972,0.3983391671379407,nan,2.764472636309537,9.575812921524047,1000.0,0.0,nan,0,116,0,30572,1.3508764316040136,1.6418730781327695,28.272727272727273,151.305,305.0099626020952,370.42316345214846,0.9020871041652485,1.484886821783212,1.3508764316040136,1.6418730781327695,0.7749680497429587,0.511079968586564,10613.673078544527,774.5590848522552,10.568773218453577,353.5978027926384,305.0099626020952,370.42316345214846,7.374955610795454,246.74274353027343,1.1352069912124338,0.3980174309085733,0.5248371671302624,1.6267026368445403,154.87948455810547,543.3244416688817
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,1.7851488672589513,0.8815459787845612,0.399466327726841,nan,2.496726257460458,4.843217813968659,1000.0,nan,0.0,0,0,30411,605,1.3093157294351536,0.0,43.214285714285715,152.055,295.33153642926897,0.0,0.9217880952872132,0.0,1.3093157294351536,0.0,0.800724059343338,0.0,10723.672360864077,0.0,10.019546278840723,358.2651939005447,295.33153642926897,0.0,7.038468701498849,251.67191047668456,0.9217880952872132,0.35944650973236886,0.800724059343338,1.3093157294351536,13.782138366699218,500.43804350699014
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,1.8041287660107996,0.8815013108650843,0.39976707180341087,0.8602150537634409,2.434301869435744,13.78088357925415,1000.0,1.0,0.8586956521739131,393,0,29991,530,1.2931893218958617,0.0,12.454545454545455,151.92,291.7487723610618,0.0,0.9353340994562171,0.0,1.2931893218958617,0.0,0.8035906715826555,0.0,10737.35685870972,0.0,10.109422566329874,356.6427632673633,291.7487723610618,0.0,7.149106632579457,252.20798988342284,0.9353340994562171,0.36233713817883645,0.8035906715826555,1.2931893218958617,10.697454986572266,393.7030848193564
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,1.8100158922121303,0.8823363117376963,0.3966209794084231,1.0,2.5809621765063357,55.705965995788574,1000.0,1.0,1.0,500,0,29900,580,1.2461771141235367,0.0,6.153846153846154,152.0,281.25477482722357,0.0,0.9533303223470053,0.0,1.2461771141235367,0.0,0.8354975764568036,0.0,10246.111859664628,0.0,9.85947157644355,365.60045312407937,281.25477482722357,0.0,7.018985748291016,260.27199836730955,0.9533303223470053,0.3648903330698733,0.8354975764568036,1.2461771141235367,12.187706909179688,443.9981805854673
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,1.8172355242838145,0.882477978070577,0.3955465093255043,1.0,1.878018041451772,227.48697784423828,1000.0,1.0,1.0,455,0,29900,551,1.3033408478723958,0.0,8.0,151.775,293.5390688578288,0.0,0.9655361776342659,0.0,1.3033408478723958,0.0,0.7698400691151619,0.0,11503.890200053793,0.0,9.048795156270955,512.4519948022554,293.5390688578288,0.0,6.4849521319071455,367.25625885009765,0.9655361776342659,0.3664026945054461,0.7698400691151619,1.3033408478723958,11.74156275431315,460.1556080021516
