algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.415802474772083,0.782406646211942,0.6158377496401469,nan,1.117870367091635,5.034353289604187,1000.0,0.0,nan,0,5584,0,25842,0.8987968207447908,0.9921602831446447,202.72728629734206,223.80961753845216,2.363370641098541,3.9685497266476144,202.72728629734206,223.80961753845216,0.8987968207447908,0.9921602831446447,0.64567696529886,0.504995239675045,5750.477748873181,532.1881183790705,3.005442275318171,1.1392217483231608,0.5195050140667389,0.9825308677401753,98.84930218505859,477.39722379979446
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.455430926073226,0.7828426482280095,0.6140346650282542,nan,0.8214017578533718,4.851582044959068,1000.0,0.0,nan,0,6544,0,24772,0.8440194387454152,0.9964251398391001,190.07239641462053,224.83517822265625,2.399327480108914,3.988832615077164,190.07239641462053,224.83517822265625,0.8440194387454152,0.9964251398391001,0.7154348620346614,0.48347924411296844,5590.635408549236,535.1552934080352,3.035129534096214,1.130913279010313,0.4986539107059764,0.9864546734124103,95.25609838867187,370.59990880259267
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.478770949694522,0.7836593145132065,0.6118998628854752,nan,0.9329911139276292,4.871079910993576,1000.0,0.0,nan,0,4776,0,26448,0.8673706569321836,0.9875642202030639,195.39719899495444,222.81091522216798,2.451547033242887,4.009633325370719,195.39719899495444,222.81091522216798,0.8673706569321836,0.9875642202030639,0.6666279319259856,0.4818594725057483,5554.212342726003,534.1169510514552,3.0747815500940194,1.1155928996564635,0.49711558383402477,0.9776399810339087,96.15866525268555,413.59842475871824
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.501756670275379,0.78428164879481,0.6098691391944885,nan,0.8314696351687113,4.866483587622643,1000.0,0.0,nan,0,6799,0,24513,0.8708410922936637,0.9794624987449214,196.26845126681857,220.98289169311522,2.505702466669626,4.032264535352863,196.26845126681857,220.98289169311522,0.8708410922936637,0.9794624987449214,0.6478387498193316,0.47918150793761016,5732.135230344241,526.4175751718599,3.1163272941429203,1.1014368666791785,0.49310733524894496,0.9704937587627075,95.45882092285156,416.92389836113665
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,4.539204327432048,0.7846816456317902,0.6083235257863998,nan,0.9801223086459296,4.615646044909954,1000.0,0.0,nan,0,8130,0,23656,0.9104312370702146,0.9870533675202711,205.60131617954798,222.62522087097167,2.5234344568879052,4.054624227592812,205.60131617954798,222.62522087097167,0.9104312370702146,0.9870533675202711,0.5721595968518939,0.451992175988853,5972.3866838974445,522.1529932150424,3.1359103651698677,1.1056243957275875,0.46341079969077087,0.9797725315951524,97.68534362792968,459.7014380097097
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,4.6418344701202585,0.7853503125905991,0.6067002413670222,nan,1.076672605492852,4.27006999284029,1000.0,0.0,nan,0,7799,0,23179,0.8506932970000343,0.9999741508212441,191.54382046786222,225.63058601379396,2.557392759529734,4.074265494539266,191.54382046786222,225.63058601379396,0.8506932970000343,0.9999741508212441,0.6524388790130615,0.4159669620171189,5833.102555161415,524.4483095037725,3.164141853533547,1.1012215726341146,0.4282948818605093,0.9921917366409914,94.46619845581054,338.10758001506014
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,4.7464023579153265,0.785630979736646,0.605437324444453,nan,1.187605826293721,4.217556943893433,1000.0,0.0,nan,0,9233,0,22523,0.8320999542082729,0.9947745550335444,187.63754182703354,224.32920532226564,2.6027648655154496,4.09468146345158,187.63754182703354,224.32920532226564,0.8320999542082729,0.9947745550335444,0.668644905090332,0.4083664883859456,5716.481617244433,531.7261479395768,3.1995315046899018,1.092634800484578,0.428756963427303,0.9820304618813342,96.11135855102539,407.0508341621415
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,4.751612747395209,0.7862873125076294,0.6038424893220266,nan,1.1012399521741,4.274476210176945,1000.0,0.0,nan,0,6143,0,24453,0.8740441795065237,0.9823855783115826,197.12040849165484,221.57461906433105,2.611244035391863,4.117169617095609,197.12040849165484,221.57461906433105,0.8740441795065237,0.9823855783115826,0.5874795751138167,0.4123918138071895,6094.892163398422,522.9594798385217,3.213614268073362,1.0988036765222104,0.4215196117899994,0.976737448516058,92.96649661254882,343.2714195301739
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,4.829822425707394,0.7867203140258789,0.6025579037268957,nan,1.1997999088330702,4.001987376660108,1000.0,0.0,nan,0,8048,0,22640,0.8789526425139411,0.9897400423491192,198.4362196488814,223.30147773742675,2.61810300136605,4.138484572273337,198.4362196488814,223.30147773742675,0.8789526425139411,0.9897400423491192,0.5652713450518522,0.3844312753342092,5943.0759437673805,521.8578626647954,3.226255629728964,1.1070025242226451,0.39385895669389676,0.9839643959122143,93.6861879272461,339.4908158288006
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,5.074807043784342,0.7862116463979085,0.6032770735025406,0.040839004956101065,1.117053508758545,2.155007494688034,1000.0,0.2569444444444444,0.021038343316886258,164,145,30247,460,0.8283205461388959,0.0,186.84300885881697,0.0,2.6629033880903497,0.0,186.84300885881697,0.0,0.8283205461388959,0.0,0.6343302966228553,0.0,5549.308887737155,0.0,2.6629033880903497,1.0501356678174003,0.6343302966228553,0.8283205461388959,8.719340413411459,258.9677480944005
