algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,3.5661907838461557,0.756494479328394,0.7109897255897522,nan,0.8416834622621536,6.224639310836792,1000.0,nan,nan,0,0,0,11270,41.72222222222222,105.19,5.498359441757202,37.16235092163086,0.8469851248794131,0.8601121962070465,1.4352682913613517,3.2725220467189287,214.97125498453775,212.56959930419922,4409.308052539183,1464.8477135212236,9.624034963867558,65.04699599904482,214.97125498453775,212.56959930419922,0.9534961825535344,0.9426406310172222,0.9534961825535344,0.9426406310172222,1.802719042432867,1.2487434518476281,0.8581097615977465,0.9442965626075069,50.2528850402832,451.70463259565526
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,3.6069335460317946,0.7584419803321362,0.7025844258069992,nan,0.731716042215174,6.36362735748291,1000.0,nan,nan,0,0,0,11266,35.40909090909091,104.87,5.47849889235063,40.2525768661499,0.8545477200638164,0.8554074382781982,1.4949531631221078,3.3580977789694697,211.60109294544566,211.46151107788086,4562.2168394097525,1387.8841415036889,9.525556259376513,69.98781838922174,211.60109294544566,211.46151107788086,0.9378170077670432,0.9371131300259472,0.9378170077670432,0.9371131300259472,1.86758208629158,1.2548816879954792,0.8552524071247851,0.9372400587989318,51.60275030517578,478.3143692347668
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,3.6579202173625394,0.7603542317450046,0.6949754382669926,nan,0.8138619164625803,6.435231008529663,1000.0,nan,nan,0,0,0,10734,30.666666666666668,102.74,5.503904215494791,43.41584987640381,0.8325566371281942,0.8432645010948181,1.5266955734918628,3.432154552311476,213.10191650390624,211.4215850830078,4744.32273712904,1336.6230416432036,9.506142909268606,74.98627470488124,213.10191650390624,211.4215850830078,0.9463111980063422,0.9376315721670051,0.9463111980063422,0.9376315721670051,1.9077873692557854,1.265052118192356,0.8418678231861281,0.9387636972764839,48.67737451171875,409.6542904425119
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,3.701178847467384,0.762100979834795,0.6875005353987217,nan,0.8895760884751445,6.6056139945983885,1000.0,nan,nan,0,0,0,11346,36.04347826086956,105.17,5.55687549839849,46.61852733612061,0.7921713784984921,0.8453848540782929,1.5743760609037032,3.502611547345174,218.55678392493206,209.03160659790038,4862.603211525444,1264.3977337267968,9.5338615675888,79.98282240361897,218.55678392493206,209.03160659790038,0.9693051734720676,0.9266003590143602,0.9693051734720676,0.9266003590143602,1.9600231581919971,1.2698095551412125,0.8354343667747529,0.9345858121243379,51.859933380126954,476.5592944755297
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.7352084076494156,0.7640067313611507,0.6810668934881687,nan,0.7911182112163968,6.660890974998474,1000.0,nan,nan,0,0,0,10944,32.22222222222222,103.64,5.57740412818061,49.90801616668701,0.7949920975499682,0.8339346903562546,1.6288702527797438,3.5559905899911657,216.03883022732205,209.053992767334,4831.184962059728,1208.8651217393674,9.505500572767227,85.05761199213521,216.03883022732205,209.053992767334,0.9574192697786097,0.9264780712254107,0.9574192697786097,0.9264780712254107,2.014294320222028,1.2669591163294638,0.8279942948434312,0.9311979150725089,49.58819644165039,415.6956829820237
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.7638014898723346,0.7657019813358784,0.6748108179867267,nan,0.8151250120840574,6.772960705757141,1000.0,nan,nan,0,0,0,11032,33.36842105263158,103.98,5.5846798043502,53.22774108886719,0.7844443305542594,0.8308454656600952,1.6776921726927443,3.605427092496397,215.54380557411596,207.54700759887695,5073.438044227948,1166.5196823539277,9.45465878749627,90.11262017787062,215.54380557411596,207.54700759887695,0.9561899562634252,0.9196895306040618,0.9561899562634252,0.9196895306040618,2.063239156653475,1.2649965522950257,0.8234368810633651,0.9255173296589179,49.7000661315918,426.0945821514476
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.8163616035483985,0.7670197312533855,0.6694803254306316,nan,0.6765296352761132,6.870991654396057,1000.0,nan,nan,0,0,0,10794,34.642857142857146,103.09,5.564268861498151,56.605161361694336,0.8657616462026324,0.8269868153333664,1.7349856450234717,3.650464983912699,199.1885768345424,206.01231170654296,4785.100493832203,1129.641553436436,9.35751198644783,95.1937243007797,199.1885768345424,206.01231170654296,0.8833457181270113,0.9135435867714566,0.8833457181270113,0.9135435867714566,2.118081512801317,1.2587311553469207,0.8317486366681885,0.9098350765870511,46.77974249267578,359.9111245145889
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,3.8690281984685244,0.7684292304515838,0.6639987356960774,nan,0.7456401761840371,6.824383432865143,1000.0,nan,nan,0,0,0,10426,19.647058823529413,100.92,5.618307001450482,60.033359870910644,0.7307722954189076,0.806947971880436,1.7787993756444027,3.69067792863693,221.09154555376838,207.48878814697267,5338.539934524594,1086.6908947748268,9.385608953749948,100.288154382209,221.09154555376838,207.48878814697267,0.9786400343630717,0.9199046582277507,0.9786400343630717,0.9199046582277507,2.161175086242908,1.255685524162015,0.7958797111979916,0.9284388581790367,49.01487017822266,398.8485367288016
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,3.9130455370640655,0.7698892313241958,0.6591877236962318,nan,0.7934758702050084,6.767347464561462,1000.0,nan,nan,0,0,0,10700,23.782608695652176,101.53,5.597169938294784,63.44021961212158,0.761891879465269,0.7870516908168793,1.830977594014994,3.72539057410068,213.10061645507812,208.92075286865236,5328.23620928218,1072.4216281438185,9.2881706345326,105.27527149356553,213.10061645507812,208.92075286865236,0.9451463509881544,0.9259398669209515,0.9451463509881544,0.9259398669209515,2.209860190032131,1.2476021844449534,0.78234701064544,0.9295313232912416,51.58677893066406,459.58319125574394
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,3.9821697477322138,0.7712042310833931,0.6545230570435524,nan,0.745907893547645,6.794813334941864,1000.0,nan,nan,0,0,0,11646,38.88461538461539,106.35,5.625114826055674,66.81950492858887,0.7845973899731269,0.7781080901622772,1.8949162098956192,3.762539447210176,207.16648982121393,208.2240185546875,5153.3896040587415,1045.907765844137,9.2725201978279,110.14623313808046,207.16648982121393,208.2240185546875,0.9185815319811641,0.9234860392716361,0.9185815319811641,0.9234860392716361,2.26844085735853,1.2368782562161684,0.7794471520280081,0.9224739980847133,52.417461181640626,477.157812579882
