algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,2.879916199282143,0.8635713118314743,0.5277371152242025,nan,0.8317407593131065,6.396403841972351,1000.0,0.0,nan,0,102,0,30756,0.9318763665827265,0.9096528665756096,0.9318763665827265,0.9096528665756096,3897.015501654965,609.3614306675132,210.08305549621582,205.18410232543945,1.1862442231153438,2.793367846124029,0.8843414336442947,0.9109477937221527,210.08305549621582,205.18410232543945,1.8290936723188178,1.1040946807765388,0.9089769522349039,0.9112990517613221,88.79629870605469,368.4490683199642
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,2.9664488094083237,0.8652099788188934,0.5156069462498029,nan,0.9354832389137961,6.523182060718536,1000.0,0.0,nan,0,18,0,31002,0.8956835329228414,0.9082691606367471,0.8956835329228414,0.9082691606367471,3960.470577429441,582.7528533132345,202.09172335537997,204.8581859588623,1.2288276594976628,2.841470243027664,0.9168950481848284,0.901675882935524,202.09172335537997,204.8581859588623,1.8738846929096635,1.1073417353124455,0.902469299133355,0.9076130378649321,86.38929229736328,320.2314940287415
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.0587646490739324,0.8667253148555756,0.5047000375390053,nan,0.7782041172186533,6.655238676071167,1000.0,0.0,nan,0,52,0,30680,0.8938420202512609,0.904763887939047,0.8938420202512609,0.904763887939047,4108.726433091072,558.0600426093283,201.38834737141926,204.06365180969237,1.2741102028946956,2.891875563029943,0.9082588911056518,0.894918891787529,201.38834737141926,204.06365180969237,1.9212163469487944,1.1110052177562368,0.8958495894143748,0.9040018971701318,87.66711114501953,346.4858100364634
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.1362305253369422,0.8681109780073166,0.49497010598580043,nan,0.9294338723023733,6.759781546592713,1000.0,0.0,nan,0,25,0,30785,0.9111273585112841,0.9029055605619368,0.9111273585112841,0.9029055605619368,4330.833673944411,538.6420869910366,205.48382695515951,203.6855660247803,1.30342257401791,2.9433571097580695,0.8759621679782867,0.8861052197217941,205.48382695515951,203.6855660247803,1.9593963883139736,1.1203454598523543,0.8855310847174447,0.9033709453515225,86.40583825683593,319.39684297108056
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.22602475190611,0.8693256449699401,0.4863455388943354,nan,0.9263259721429724,6.824999907016754,1000.0,0.0,nan,0,123,0,31255,0.9182500839972743,0.903830383599595,0.9182500839972743,0.903830383599595,4525.168938400651,520.5324309615885,207.11217458624589,203.87798530578613,1.3510004753857199,2.9946265968861927,0.8557899374710886,0.8737579905986785,207.11217458624589,203.87798530578613,2.0084509239859085,1.1228916491200953,0.8721991184095269,0.90508140783501,89.4214567565918,380.16939204386017
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.301210329364557,0.8703763127326966,0.4784861008326213,nan,0.9746937660070566,6.865840058326722,1000.0,0.0,nan,0,45,0,30629,0.8751234618447227,0.9058469140895177,0.8751234618447227,0.9058469140895177,4541.259140027516,507.5242634556821,197.0976280799279,204.33279731750488,1.4073397045358096,3.0460598894193107,0.898569602232713,0.8599010649323463,197.0976280799279,204.33279731750488,2.0628277784892104,1.1208992636855208,0.8622611165046692,0.9039717738116663,86.85765725708008,321.08244302298823
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.369272628879405,0.8713009796539942,0.4713474976023038,nan,0.8188725252946217,6.92460422039032,1000.0,0.0,nan,0,71,0,30859,0.9077030479861573,0.9048221942812873,0.9077030479861573,0.9048221942812873,4786.369199254835,491.8844743163764,204.60452880859376,204.20181884765626,1.455024772754035,3.0979754743013994,0.8460832715034485,0.8497455543279648,204.60452880859376,204.20181884765626,2.1122050533729806,1.1214620852720285,0.8494900462239288,0.9050231840746501,87.81886340332031,340.34486570419557
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.4524381972505775,0.8723829770088196,0.464719947775205,nan,0.7353252569834391,6.951395227909088,1000.0,0.0,nan,0,32,0,30826,0.8350954278710239,0.905767611042074,0.8350954278710239,0.905767611042074,4561.360443468009,482.51679962637223,188.36138407389322,204.36903450012207,1.5209940472172028,3.149618327941725,0.9277162452538809,0.8369713658094406,188.36138407389322,204.36903450012207,2.172443759507012,1.1133606855288392,0.8421078684195032,0.901767298787109,86.26828701782226,302.4793704937811
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.5193931219645638,0.8732159785429636,0.45866812666257223,nan,0.9166112954799945,6.989638192653656,1000.0,0.0,nan,0,39,0,30855,0.8794031551975272,0.9046150248418874,0.8794031551975272,0.9046150248418874,4822.631088286564,471.2628982904051,198.45782588078424,204.06391761779784,1.5701554383375624,3.2029609705010365,0.8594755897155175,0.8267775574326515,198.45782588078424,204.06391761779784,2.223277651202952,1.1122783570431676,0.8287732119851269,0.9030762722344851,86.78547052001953,313.8935676116127
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,3.6106658255409037,0.8739749775330226,0.45341349810361864,nan,0.9652416250284981,7.016148815155029,1000.0,0.0,nan,0,49,0,31319,0.8886740631526199,0.9036196499734283,0.8886740631526199,0.9036196499734283,5118.695402346757,459.85775184011186,200.6354388068704,203.80398513793946,1.6162189287406652,3.2570774744525566,0.835868568981395,0.8162903815507889,200.6354388068704,203.80398513793946,2.2725623470254215,1.1148034189995326,0.8178241566029562,0.9024487975496783,88.34319897460938,357.97874441583457
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,3.6417804696545995,0.8747429772218068,0.4484164096911748,nan,0.9207326839951908,6.972940702438354,1000.0,0.0,nan,0,103,0,31135,0.837341256856873,0.9078459891800523,0.837341256856873,0.9078459891800523,4935.882421010295,452.5430865549386,188.84687984690947,204.7781826019287,1.6648903054428652,3.3091442503124755,0.892088819952572,0.7988019067049027,188.84687984690947,204.7781826019287,2.3225918833907095,1.1164305084172417,0.8061100980653192,0.9023225769704023,88.3320669555664,348.83723693632544
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,3.669481186174552,0.8755223097403845,0.4436030542850494,nan,0.8351887669414282,6.932426035404205,1000.0,0.0,nan,0,52,0,31366,0.8739518560815713,0.9108369005147608,0.8739518560815713,0.9108369005147608,5304.132802607182,446.4582555602353,196.96410274505615,205.49956977844238,1.7039982845407387,3.3597428009581347,0.8320267163217068,0.7827325290441514,196.96410274505615,205.49956977844238,2.366296091107697,1.1208678083824735,0.7863839503239702,0.9081046750011913,88.50267919921875,348.31555190752397
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,3.696678369590907,0.8760336444775263,0.439544785618782,nan,0.8983578871596943,6.9358524489402775,1000.0,0.0,nan,0,160,0,31344,0.8565616664053699,0.9093087001999893,0.8565616664053699,0.9093087001999893,5230.432427355815,440.8439730527936,193.25312874533913,205.06336654663085,1.777221473617326,3.408276580284235,0.843762690370733,0.772561642229557,193.25312874533913,205.06336654663085,2.4296435162840897,1.1094182717612269,0.7796176019552592,0.9040815166707928,90.52848428344727,406.4766160247733
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,3.7175416470084963,0.8765923108657201,0.435690767566363,nan,1.1196123510599136,6.879160785675049,1000.0,0.0,nan,0,32,0,30856,0.855887890648756,0.9119918534824464,0.855887890648756,0.9119918534824464,5356.239433609917,433.1711387793885,192.80127461751303,205.75169631958008,1.8072255164634279,3.4541963415609644,0.833060955007871,0.7565674030780792,192.80127461751303,205.75169631958008,2.4660138465024426,1.1150533704591172,0.7608972267722184,0.9088161574729922,86.92790911865234,301.8182019183934
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,3.7545808652294577,0.8771766457955043,0.43202197015285493,nan,1.0183052993737733,6.860894503593445,1000.0,0.0,nan,0,34,0,30822,0.7921553681195095,0.9108690219529564,0.7921553681195095,0.9108690219529564,5095.58768109374,428.19013832683515,178.63804274338943,205.44694969177246,1.8605957614898943,3.499130096105927,0.9091008488948529,0.7456169801950455,178.63804274338943,205.44694969177246,2.516009495336308,1.110970061219715,0.7555948688950337,0.9036235876814315,86.8233689880371,303.7613350391713
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,3.779226975810168,0.8776709777116776,0.4286984964211782,nan,1.0035775651534398,6.857070112228394,1000.0,0.0,nan,0,53,0,30757,0.8438481792407848,0.9080894495855528,0.8438481792407848,0.9080894495855528,5286.92578564749,422.25908641130417,190.25268681844076,204.85946212768556,1.8990425662617716,3.541855269244719,0.8262340774138769,0.7368765178322793,190.25268681844076,204.85946212768556,2.5561676474549504,1.11020694137733,0.7419344929029357,0.9044531512641509,86.50984933471679,295.7898534200615
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,3.801292849464293,0.8780466441313426,0.425936088959376,nan,1.1117462256680364,6.806097693443299,1000.0,0.0,nan,0,199,0,32157,0.852388074013317,0.9084223887108746,0.852388074013317,0.9084223887108746,5497.439438086212,415.80253080571094,192.3989317520805,204.91088455200196,1.940084165702092,3.5822485240061597,0.8024394291898479,0.7237141537666321,192.3989317520805,204.91088455200196,2.596949909023719,1.1125393412295388,0.7318338010075915,0.9026430647734582,90.81470468139648,419.2032264742501
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,3.8304295396792494,0.8785443107287089,0.4229232894380887,nan,1.0303500791390736,6.7258432102203365,1000.0,0.0,nan,0,40,0,30734,0.8375044699519352,0.9103617472267661,0.8375044699519352,0.9103617472267661,5628.646242175593,412.5254767410492,188.78151067097983,205.32373733520507,1.9739090899298224,3.619667689993147,0.8115245848894119,0.7081351870298386,188.78151067097983,205.32373733520507,2.632212529955152,1.113578639458581,0.7139874170973616,0.9062377503998889,86.66025119018555,300.09770050863386
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,3.861994737941056,0.8789853096008301,0.42011836767196653,nan,0.7760707065463066,6.649595520496368,1000.0,0.0,nan,0,19,0,30911,0.821366871581629,0.9114281772672698,0.821366871581629,0.9114281772672698,5892.952842071448,409.5273167496291,185.08400344848633,205.66605079650878,2.0143652249747888,3.6540266243951054,0.8227107028166453,0.6936231842637062,185.08400344848633,205.66605079650878,2.6702297847429155,1.1084323602853507,0.7009300249365141,0.9063303675114789,86.7084364013672,305.2417949095664
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,3.894223634356483,0.8793329781293869,0.4176288468639056,nan,1.0760892494158312,6.564414522647858,1000.0,0.0,nan,0,26,0,30242,0.8124679154721979,0.9126280620665738,0.8124679154721979,0.9126280620665738,5623.250896756378,405.5403193926693,183.20443586869672,205.96896911621093,2.0562346898145023,3.68615027423274,0.8237620754675432,0.6787567642331124,183.20443586869672,205.96896911621093,2.7082009235817974,1.1005829276384014,0.6863162828282723,0.9074064430498053,86.4180852355957,285.927647485708
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,3.922350813475438,0.8796186443169912,0.41562036037445066,nan,1.0770776358743508,6.513847517967224,1000.0,0.0,nan,0,193,0,31209,0.8581126280362938,0.9109161811647957,0.8581126280362938,0.9109161811647957,6056.908373863437,401.9007413628358,193.73028437296549,205.416298828125,2.089890457864922,3.716887170560071,0.7451951280236244,0.6679813060164451,193.73028437296549,205.416298828125,2.7406891429429816,1.1036427656497572,0.6762542155172143,0.9052586576153132,91.46557318115234,451.4918984905792
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,3.949314188729174,0.8799486432472865,0.41331259747346244,nan,0.9968007986362164,6.3659051060676575,1000.0,0.0,nan,0,75,0,30583,0.7724100744941974,0.9155569653015252,0.7724100744941974,0.9155569653015252,5576.607033362024,400.7704389966956,174.07231844388522,206.47451065063476,2.1292978517145325,3.745260542982727,0.8591651549706092,0.6477399465441703,174.07231844388522,206.47451065063476,2.77568292822181,1.1001370839312907,0.6606438325044695,0.9068203006043644,87.11568453979493,305.29995846609086
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,3.9799235813684115,0.8802349785963695,0.41136515031258264,nan,1.1534668902556102,6.269982411861419,1000.0,0.0,nan,0,128,0,30938,0.7937990747270411,0.916121148658067,0.7937990747270411,0.916121148658067,5833.419357388495,399.7777953918335,178.86316528320313,206.65064071655274,2.1664929798718426,3.770631728060426,0.8157909353574117,0.6333078444004059,178.86316528320313,206.65064071655274,2.808148479147276,1.0951208759708877,0.6460392228392667,0.9075870504768327,88.02615124511719,334.91369887838823
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.007532412773793,0.8804033106565475,0.4098890015482903,nan,1.3874795203623564,6.195224685668945,1000.0,0.0,nan,0,605,0,30821,0.7936396467459237,0.9148994128138065,0.7936396467459237,0.9148994128138065,5864.281431456058,397.3888343211878,179.01398832901666,206.3757125854492,2.197427969712565,3.795686262568475,0.8041296653125597,0.6214132931828499,179.01398832901666,206.3757125854492,2.836731286854929,1.1009961944712612,0.6402584795460038,0.9023928001700338,90.78492849731445,428.7124795754539
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.032839160874692,0.8807259774208069,0.40801457901795707,nan,0.9611100533178875,6.089145362377167,1000.0,0.0,nan,0,413,0,30903,0.7779554341724289,0.9153998479056874,0.7779554341724289,0.9153998479056874,5899.409132815299,396.40308643060695,175.18888963971818,206.5530069732666,2.2411518569534037,3.819900546118969,0.8159817372049604,0.606796623468399,175.18888963971818,206.5530069732666,2.87265133261963,1.093086436860835,0.6204816309091087,0.9064081572876238,87.52649169921875,323.7446902910712
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.063671079216417,0.8807759793599447,0.406632605890433,nan,1.2059744795163472,6.027355079650879,1000.0,0.0,nan,0,430,0,30794,0.7644935295454751,0.9127017518782098,0.7644935295454751,0.9127017518782098,5602.509456597762,392.026136772272,172.21271430121527,205.92434783935548,2.298418405744338,3.843435763760019,0.8247765700022379,0.5969423651695251,172.21271430121527,205.92434783935548,2.916425348950611,1.0788862586352579,0.6157543637336941,0.900464375722296,88.56939685058593,358.5007951464283
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.08448816571019,0.8810696431001027,0.40513768831888836,nan,1.0873459991481569,5.868167035579681,1000.0,0.0,nan,0,842,0,30470,0.7758636620612452,0.9159353385129719,0.7758636620612452,0.9159353385129719,6044.725749638128,395.02413639255974,174.87256368001303,206.65246284484863,2.358259453928773,3.8662313385766764,0.795310891336865,0.5778205882012845,174.87256368001303,206.65246284484863,2.9614482077879347,1.0634802708188715,0.5957785031390846,0.9043697872463157,88.95639743041993,375.61978154399645
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,4.288503295288071,0.8811659783124923,0.4040556680162748,nan,1.2925930732772464,5.6962191426754,1000.0,0.0,nan,0,1223,0,30563,0.7841967025667859,0.9195921464973839,0.7841967025667859,0.9195921464973839,6076.693360764977,391.821969452497,177.10843985421317,207.40305618286132,2.389019709142801,3.8876748654076905,0.7701347555433001,0.5577924309670925,177.10843985421317,207.40305618286132,2.988481771648757,1.0678533911696726,0.5779697559268226,0.9067265160786394,90.39977694702148,411.9499089331278
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,4.529776363404401,0.8814646448691686,0.4024784868955612,nan,1.2779453288425098,5.524218657016754,1000.0,0.0,nan,0,1225,0,29753,0.7541229919041126,0.9228406614253214,0.7541229919041126,0.9228406614253214,6095.472230993529,395.520164172925,169.82330599698153,208.22964126586913,2.424078204973666,3.9082761444356304,0.805413387038491,0.5381521159410476,169.82330599698153,208.22964126586913,3.017757380758452,1.064061207734527,0.5520851679887817,0.9140449535355902,87.02796923828124,292.3084547510276
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,4.529776363404401,0.881462976137797,0.401711262067159,nan,1.4622298549203312,5.451146525144577,1000.0,0.0,nan,0,1191,0,30565,0.7485668969341387,0.9197346992630082,0.7485668969341387,0.9197346992630082,5616.173644050908,393.9305427514487,168.82800023696,207.40991386413575,2.4723012482695683,3.928644777736871,0.8022973116706399,0.5284298218786716,168.82800023696,207.40991386413575,3.0548386600564896,1.05555493590902,0.5498848786826507,0.9063252400943871,88.70411755371094,348.5221209983103
