algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,5.41530988257904,0.8772036429246267,0.40847127745548883,0.9880807645134256,6.171758264303207,1379288316.48,1000.0,0.6980244122965642,1.0,1021,35,29471,685,5628.0706573047955,0.0,11.614954601839946,2107525849.8603885,0.6609744855626736,0.0,3.5416718158569664,0.0,149.09590911865234,0.0,0.7857688255608082,0.0,8.838757187128067,1603786660.48,5.8125,150.315,0.6609744855626736,0.0,149.09590911865234,0.0,3.5416718158569664,1.1311455525015424,0.7857688255608082,0.6609744855626736,7.951781819661458,300.1637683895891
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,5.41530988257904,0.8770716442664465,0.40885422805945076,0.9660718469584635,6.0903181151339885,10034746766.72,1000.0,0.761427961969388,1.0,1070,62,29471,767,6019.660428980184,0.0,11.230080248717584,14827062738.874893,0.6971623105778655,0.0,3.6009410502359516,0.0,157.27326081928453,0.0,0.6910006701946259,0.0,8.60303803494102,11358581761.12,6.631578947368421,150.56,0.6971623105778655,0.0,157.27326081928453,0.0,3.6009410502359516,1.15136877327657,0.6910006701946259,0.6971623105778655,9.96063985188802,381.24516050207836
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,5.450597516671794,0.8767366439104081,0.4094653430581093,0.9757497180679243,6.789798047807482,61622842444.16,1000.0,0.7957067827380865,1.0,1437,67,29471,1095,5795.765660904366,0.0,12.025208212365524,92082814447.33755,0.6654546635306926,0.0,3.676189966255562,0.0,150.21651543511285,0.0,0.7456625633769565,0.0,9.273782041337755,71013818293.76,4.833333333333333,152.395,0.6654546635306926,0.0,150.21651543511285,0.0,3.676189966255562,1.1424265472167394,0.7456625633769565,0.6654546635306926,9.01299092610677,347.7459396542619
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,65,5.523798400210374,0.8764999781052272,0.4102746543288231,0.9949512569038966,5.68555181904843,423927958517.76,1000.0,0.9900639099006624,1.0,1163,9,29471,905,5491.703228283544,0.0,13.026905639707905,619798475950.947,0.6633496135782472,0.0,3.7223726565614523,0.0,149.45692122609992,0.0,0.7293267312802767,0.0,10.113485210820249,481182783815.68,9.0,151.025,0.6633496135782472,0.0,149.45692122609992,0.0,3.7223726565614523,1.1676214152990327,0.7293267312802767,0.6633496135782472,9.465605010986328,347.8078711246244
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,66,5.640475869290229,0.8761439778407415,0.4110518753528595,0.9983333333333334,5.999975919723511,2585023957504.0,1000.0,0.7667087011349307,1.0,983,12,29471,680,5291.4767996426635,0.0,12.479776196084671,3798277563293.1724,0.6549288737963994,0.0,3.7670974541912194,0.0,147.75569820404053,0.0,0.7380232252180576,0.0,9.753526538610458,2968530880081.92,7.875,150.125,0.6549288737963994,0.0,147.75569820404053,0.0,3.7670974541912194,1.1962600047070224,0.7380232252180576,0.6549288737963994,7.880303904215495,282.2120959809421
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,67,5.640475869290229,0.8758623119195302,0.4121442210674286,0.9907434727653356,5.900074160099029,17314080272220.16,1000.0,0.7860571872790116,1.0,983,45,29471,731,5618.332642036215,0.0,12.126616973018198,24999235974743.81,0.6626559250104462,0.0,3.8720894176985183,0.0,149.44741287231446,0.0,0.7333057165145874,0.0,9.540910673141479,19668756575928.32,8.85,150.125,0.6626559250104462,0.0,149.44741287231446,0.0,3.8720894176985183,1.1596042724023248,0.7333057165145874,0.6626559250104462,9.963160858154296,374.55550946908096
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,68,5.831467338138683,0.8754593118031819,0.413169227540493,0.9257298822217748,6.1296645346142,103197809988075.52,1000.0,0.8380368297820169,1.0,1227,49,29471,969,5606.360660198949,0.0,14.259650329817475,149934217545729.38,0.6481032618074692,0.0,3.959408616018168,0.0,146.18927292596726,0.0,0.7324304325239999,0.0,11.294170561290922,118753446737346.56,8.142857142857142,151.345,0.6481032618074692,0.0,146.18927292596726,0.0,3.959408616018168,1.1519299601166064,0.7324304325239999,0.6481032618074692,10.233249104817709,392.4452462139264
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,69,5.831467338138683,0.8759819773832956,0.41190644254287084,0.9949467015285599,5.072508308622572,692907321904332.8,1000.0,0.9899960575596294,1.0,746,3,29471,342,5555.889213548521,0.0,10.54332071535505,986955714126181.8,0.6579325396656618,0.0,3.9928740371126854,0.0,148.5497317843967,0.0,0.7126786245240105,0.0,8.406557348039415,786934215013826.5,2.7777777777777777,148.94,0.6579325396656618,0.0,148.5497317843967,0.0,3.9928740371126854,1.14095619475823,0.7126786245240105,0.6579325396656618,4.456491953531901,166.6766764064556
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,70,5.831467338138683,0.8760819784800211,0.4114454936981201,1.0,6.403286010026932,4155433162438082.5,1000.0,0.5,1.0,576,15,29471,170,5900.200836063108,0.0,11.887245568913198,5955144666214708.0,0.6537188815120739,0.0,4.023447513842081,0.0,147.79961776733398,0.0,0.6872376427054405,0.0,9.541514039039612,4780005267645399.0,2.875,148.09,0.6537188815120739,0.0,147.79961776733398,0.0,4.023447513842081,1.1397533029805809,0.6872376427054405,0.6537188815120739,3.9413231404622397,157.3386889616829
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,71,6.02750574750049,0.8760483096043269,0.41179461032152176,0.9,5.930735301971436,2.8057923871404196e+16,1000.0,0.8888888888888888,1.0,710,8,29471,331,5250.673461257769,0.0,14.156817526342234,3.943960660241252e+16,0.6216774460143621,0.0,4.063664362046451,0.0,140.0556625366211,0.0,0.7380430996417999,0.0,11.439235210418701,3.186866933135835e+16,5.0,148.76,0.6216774460143621,0.0,140.0556625366211,0.0,4.063664362046451,1.15040344798394,0.7380430996417999,0.6216774460143621,4.668522084554036,175.02244870859226
