algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,5.880284675550428,0.8669496464729309,0.5042607222000758,nan,0.6233960270881653,5.379098944664001,1000.0,0.0,nan,0,54,0,30678,160.9714833577474,161.8872428894043,0.7144565245680891,0.7177641676943993,2.26237543515157,5.725989535802175,3289.5551719015184,544.2900265408659,160.9714833577474,161.8872428894043,0.9092010378837585,0.9041510823369027,0.7144565245680891,0.7177641676943993,3.6478210754118123,2.188183829362113,0.9045034048169158,0.7175334018948893,69.58404165649414,316.4026657733919
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,5.970606495184495,0.8683353112141291,0.4945149508118629,nan,0.7454200014472008,5.478324837684632,1000.0,0.0,nan,0,28,0,30782,164.16350936889648,161.25823104858398,0.7279108966718115,0.7148328534794872,2.317883024743841,5.796183954477658,3467.4504322140733,522.4542285020401,164.16350936889648,161.25823104858398,0.877490371465683,0.8976579901576042,0.7279108966718115,0.7148328534794872,3.7092033966373674,2.1975173282991287,0.89651642683542,0.7155731200752793,68.4432166442871,292.20050177395376
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,6.06804435247287,0.8696073122819264,0.48579692671696345,nan,0.7443947619513461,5.542477538585663,1000.0,0.0,nan,0,120,0,31258,165.34621148360404,161.19125312805176,0.7330779780458835,0.7145903893817711,2.4077414249778477,5.866730809723532,3628.5251776896835,504.1489328477026,165.34621148360404,161.19125312805176,0.8581607373137223,0.8869569298624992,0.7330779780458835,0.7145903893817711,3.7913371788761214,2.1948138527392276,0.8844586300523314,0.7161943354302557,70.75965728759766,339.54352989128904
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,6.161934085775482,0.8706406468153,0.47791356950998304,nan,0.783136227956185,5.590048034191131,1000.0,0.0,nan,0,47,0,30627,157.38144273024338,161.28013763427734,0.6987786295896221,0.7149870290379554,2.508587752776946,5.93774876363604,3642.082845953632,490.08103294898496,157.38144273024338,161.28013763427734,0.9006465123249934,0.8751466476917267,0.6987786295896221,0.7149870290379554,3.880252157120583,2.1828248948100373,0.8767029774580763,0.7139977840012027,68.60397256469727,290.7265671743884
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,6.259114234805476,0.8715499784549078,0.4707658412059148,nan,0.6556308130423228,5.638386685848236,1000.0,0.0,nan,0,72,0,30858,163.6042907714844,161.2112289428711,0.7258113284666933,0.7143292129302478,2.596947042527396,6.009532262688517,3831.740747338254,474.66564287318874,163.6042907714844,161.2112289428711,0.846641206741333,0.864886993765831,0.7258113284666933,0.7143292129302478,3.9619811305918438,2.176145561386109,0.8636140318804009,0.7151302907583719,69.39262030029298,304.8184795694231
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,6.360512225072796,0.8726373120148977,0.46416087170441944,nan,0.5880362937847773,5.675216629505157,1000.0,0.0,nan,0,32,0,30826,150.71875,161.08134132385254,0.668208113612327,0.7139136540574046,2.71622823075218,6.082240942833489,3652.045552207899,464.40094924009725,150.71875,161.08134132385254,0.9275047481060028,0.8541459035873413,0.668208113612327,0.7139136540574046,4.062633315584704,2.1540513840871913,0.8582982910129259,0.7113265479944757,68.04978652954101,273.4094729490285
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,6.4471816029242035,0.8734936453898747,0.4580721546212832,nan,0.7365129704658802,5.718586914539337,1000.0,0.0,nan,0,40,0,30854,158.49268869253305,160.6407689666748,0.7023105498006826,0.7121181089015042,2.8085450315733826,6.15705314117507,3869.6251649425394,453.086204086906,158.49268869253305,160.6407689666748,0.8614403972258935,0.8455407491326332,0.7023105498006826,0.7121181089015042,4.147948275414057,2.1446337819633907,0.8465111501899684,0.7115195254822054,68.37711749267578,281.84473592326844
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,6.529201191205815,0.8742626470327377,0.4527803485592206,nan,0.7748828512780807,5.7532155585289,1000.0,0.0,nan,0,50,0,31318,160.2570432775161,160.2328887939453,0.7098274082468373,0.7104367649773837,2.8939641356142065,6.233725695274137,4100.183792654696,441.6304710388018,160.2570432775161,160.2328887939453,0.8376891613006592,0.8366913667321205,0.7098274082468373,0.7104367649773837,4.229868759478178,2.1415090538450676,0.8367695349702088,0.7103890273533318,69.54189498901367,316.0584373657804
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,6.629038819413024,0.8750609781344731,0.44774146368106205,nan,0.7387468709665186,5.726618118286133,1000.0,0.0,nan,0,100,0,31138,150.82768788057214,160.9270890045166,0.6687651732641835,0.7134387863047038,2.989232606269815,6.308738251022468,3956.139373783931,434.5059506322697,150.82768788057214,160.9270890045166,0.8939210772514343,0.8200348407030106,0.6687651732641835,0.7134387863047038,4.317034864170876,2.138069857514557,0.8258231633819193,0.7099390101678891,69.4989769897461,308.3111189615616
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,6.747771450772205,0.8758199775218963,0.44294668912887575,nan,0.6692822277545929,5.700307447910308,1000.0,0.0,nan,0,52,0,31366,157.50579357147217,161.45779243469238,0.6988732641264036,0.7156251082941367,3.068238134395954,6.382647573939273,4245.569932664497,427.6699756074171,157.50579357147217,161.45779243469238,0.8330150656402111,0.8045236676931381,0.6988732641264036,0.7156251082941367,4.394001910213282,2.139182804463999,0.8066341416151436,0.7143842309483787,69.62330236816406,306.9262280882307
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,6.850081085888472,0.8763433108727138,0.4388127119342486,nan,0.7247082848440517,5.717498788833618,1000.0,0.0,nan,0,155,0,31349,154.65213012695312,160.9099964904785,0.6854707930198475,0.7135142598261924,3.201674891519814,6.457204803617672,4200.04910919756,422.314962236857,154.65213012695312,160.9099964904785,0.8468746407465502,0.7960706150531769,0.6854707930198475,0.7135142598261924,4.503886856358957,2.1116972195345145,0.8011052482299976,0.7107351775300683,71.16869232177734,353.72814569943546
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,6.947680752588745,0.8769356457392374,0.4349095514416695,nan,0.9000645726919174,5.690235209465027,1000.0,0.0,nan,0,29,0,30859,154.44656626383463,161.20031661987304,0.6856270087853451,0.7145167524040289,3.25559835199433,6.531811311103861,4310.129065481177,414.2706542264072,154.44656626383463,161.20031661987304,0.8353251864512762,0.7822623941302299,0.6856270087853451,0.7145167524040289,4.5660835356381435,2.1187560041027944,0.7852659484125534,0.712881483897311,68.18684423828125,269.15135926211116
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,7.1127939700962335,0.8775106451908747,0.43123359392086663,nan,0.8200263518553513,5.687378957271576,1000.0,0.0,nan,0,33,0,30823,144.05716764009915,160.82065910339355,0.638813355674327,0.7130176945397544,3.3467432795966054,6.607973262065425,4125.660348993725,408.8994488204416,144.05716764009915,160.82065910339355,0.9105682281347421,0.7726044204831123,0.638813355674327,0.7130176945397544,4.651235272584133,2.107138233455911,0.7810247467717094,0.7084887912287191,68.07375,270.82694860201354
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,7.196617548366392,0.878014978369077,0.4278792945543925,nan,0.8132431507110596,5.667706961631775,1000.0,0.0,nan,0,50,0,30760,153.12866592407227,160.71505180358886,0.679178137842805,0.7124061321674955,3.411158132838974,6.684893798283711,4313.256314975467,403.6259884899932,153.12866592407227,160.71505180358886,0.8300121674935023,0.7613322195410729,0.679178137842805,0.7124061321674955,4.720652399016869,2.1046470649207367,0.7652197637647953,0.7105253023000603,67.96110870361328,264.96854695540844
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,7.284174366398557,0.8784846433003743,0.42496659338474274,nan,0.8998866638411647,5.618351777791977,1000.0,0.0,nan,0,188,0,32168,153.8495576278023,160.96643295288087,0.6816216915634276,0.7136073986354816,3.4812029405685068,6.76065407280058,4449.207767208039,398.1927008093597,153.8495576278023,160.96643295288087,0.8076520354851432,0.7467737558484078,0.6816216915634276,0.7136073986354816,4.792983393461336,2.1079694917324825,0.7530526815508514,0.710308424363476,71.46365283203124,363.9406376153136
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,7.412917359729517,0.8789336436986923,0.42195978164672854,nan,0.8282527675231298,5.5655627131462095,1000.0,0.0,nan,0,37,0,30737,152.35821151733398,161.16490997314452,0.6758956278653488,0.7145674595323105,3.53866941358515,6.837124867857767,4573.872190943405,395.047315442423,152.35821151733398,161.16490997314452,0.8122758269309998,0.7324756336212158,0.6758956278653488,0.7145674595323105,4.858051595294197,2.112133168065047,0.7369926256953545,0.7123784879285202,68.12256106567382,267.79185875961093
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,7.563204347046735,0.8793446433544159,0.41917704035838443,nan,0.6303790832559267,5.517005612850189,1000.0,0.0,nan,0,20,0,30910,150.35411961873373,161.29265670776368,0.6672502043998042,0.714782504071857,3.6026557716610803,6.912653025823345,4794.6954510622045,391.66565664238357,150.35411961873373,161.29265670776368,0.8233651891350746,0.7193515148758888,0.6672502043998042,0.714782504071857,4.926654673325985,2.1064989312219993,0.7252390813433899,0.7120919965432504,68.12556155395508,271.73895348244633
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,7.688227996257031,0.8797413098812104,0.41667043169339496,nan,0.8717900677160784,5.45111957192421,1000.0,0.0,nan,0,26,0,30242,149.24198774857953,161.55913551330568,0.6618664455113692,0.7158508367333022,3.673656210222721,6.987011779862578,4602.059035382983,387.5739417401099,149.24198774857953,161.55913551330568,0.8257546153935519,0.704547455906868,0.6618664455113692,0.7158508367333022,4.9989984380786625,2.09777890987798,0.7108663125625719,0.7130364845842916,67.90697793579102,256.2748754744696
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,7.81045851962494,0.8800376443068186,0.4145351284742355,nan,0.8714467647174994,5.403616228103638,1000.0,0.0,nan,0,196,0,31206,155.00153605143228,161.28834800720216,0.6865697571336491,0.715231187448191,3.7323701079291633,7.063147640266904,4887.352378458473,384.37053714903,155.00153605143228,161.28834800720216,0.7493498921394348,0.6926605708897113,0.6865697571336491,0.715231187448191,5.06468112086426,2.1089837028095695,0.698734426737896,0.7121603199144901,71.9554129333496,388.3411290256188
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,7.947882661316913,0.8803749771912893,0.41223381747802096,nan,0.8131046020067655,5.297602223157883,1000.0,0.0,nan,0,76,0,30582,140.88262587327225,161.99633056640624,0.6251384683849495,0.718333994095284,3.792165011864229,7.136479100911187,4552.178946957414,383.60723148733746,140.88262587327225,161.99633056640624,0.8624928822884192,0.6737931089103222,0.6251384683849495,0.718333994095284,5.129890647483013,2.110020174651375,0.6853099964873891,0.7126460042631978,68.46148049926758,271.7995452158278
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,8.065008035214934,0.8806583082675934,0.41020647376775743,nan,0.9348063031832378,5.235549091100693,1000.0,0.0,nan,0,91,0,30975,145.3671895345052,161.96754386901856,0.6451341531942513,0.7180374426727555,3.8497671767392223,7.209579658899397,4766.720492194946,382.31783880526973,145.3671895345052,161.96754386901856,0.8182589570681255,0.6610175114870072,0.6451341531942513,0.7180374426727555,5.193692169603294,2.110284907924555,0.6719878448996432,0.7129511666626274,69.14803323364258,295.9287502879563
