algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,4.002252123678528,0.7744447292387485,0.6427557672560215,nan,0.9980727013419656,6.052781755924225,1000.0,0.0,nan,0,827,0,10011,2.0067029085308774,3.759472563493921,210.0635196461397,220.7689665222168,210.0635196461397,220.7689665222168,0.7308502004427069,0.6653721982240677,0.9308540574779635,0.9788786989048716,5396.124500178871,569.9507407935655,0.9308540574779635,0.9788786989048716,2.3572568395234863,1.200888883523118,0.6748860959823315,0.971900759552244,51.29595297241211,297.45838116479473
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,4.031510443719452,0.7753749811649322,0.6393805493414402,nan,0.8533678188920021,5.915564730167389,1000.0,0.0,nan,0,1254,0,10186,2.057625345447092,3.7814205954115847,205.6672264099121,222.31676025390624,205.6672264099121,222.31676025390624,0.744649887830019,0.6426228049397469,0.9115712751425814,0.9856581431387904,5386.365589541218,569.7024179698325,0.9115712751425814,0.9856581431387904,2.402384395439991,1.1885624224176508,0.6596273187547922,0.9733103318060888,52.690041107177734,329.3951071756153
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,4.080655347086389,0.7763999797403812,0.6360358126461506,nan,0.9244515345328383,5.778679749965668,1000.0,0.0,nan,0,1125,0,9677,2.089494191442556,3.802213034155236,209.24460771348743,223.68304321289062,209.24460771348743,223.68304321289062,0.7083521435658137,0.6207717928290367,0.9285962992270096,0.9915598919539711,5597.900044219097,567.6536969997563,0.9285962992270096,0.9915598919539711,2.432037959985092,1.182159635288029,0.6341315073482061,0.981955276114265,52.26941452026367,315.05514099183875
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,4.118755583455976,0.7773257303237915,0.6328952488303184,nan,0.9288369900193708,5.877536087036133,1000.0,0.0,nan,0,1532,0,10394,2.125911169417518,3.8253562420423295,210.5376897351495,220.72527099609374,210.5376897351495,220.72527099609374,0.6904261446204679,0.6247454024851322,0.9321158057249646,0.9788654087539203,5604.221377257461,557.4474638858524,0.9321158057249646,0.9788654087539203,2.4658001839424806,1.1775392719450475,0.6395108406395875,0.9683558080729923,56.356240203857425,436.5343326581033
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,4.140392334305314,0.7781737285852433,0.6299829015135765,nan,0.9245744682848454,5.6962964987754825,1000.0,0.0,nan,0,1349,0,9757,2.1602017895161656,3.8475593385271996,207.69686603546143,222.5364128112793,207.69686603546143,222.5364128112793,0.693114373832941,0.5995406788587571,0.9209467353845093,0.9868870037437886,5596.891892775062,553.7199632646622,0.9209467353845093,0.9868870037437886,2.4976732993183726,1.1712142724500667,0.6124473954069203,0.9777917943149226,51.153582275390626,289.8445332217345
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,4.213591775233788,0.7787897306680679,0.6273637469112873,nan,0.7538593343713067,5.662615976333618,1000.0,0.0,nan,0,790,0,10240,2.222187591436205,3.869126888578859,195.08151591907847,221.7585157775879,195.08151591907847,221.7585157775879,0.7606009515849027,0.5904984977841378,0.8646993746341771,0.983375829657562,5472.194183917606,545.1145474830696,0.8646993746341771,0.983375829657562,2.5515754508647355,1.151323494510211,0.6211727107646036,0.9619751574402303,52.93528985595703,349.7994535889886
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,4.299444737431433,0.7797544802725315,0.624798287153244,nan,0.8610884525946209,5.488307588100433,1000.0,0.0,nan,0,562,0,10060,2.266068778128697,3.890871469827514,195.23028673444475,223.2101235961914,195.23028673444475,223.2101235961914,0.7457080504723957,0.567284215092659,0.8663825101807723,0.9896259786815444,5536.482839097609,542.7312397363651,0.8663825101807723,0.9896259786815444,2.59102931646846,1.1398065675078306,0.5891959141743811,0.9744908158832042,50.108472747802736,263.5677674420061
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,4.340248033457595,0.7803552296757698,0.622374976426363,nan,0.9310983577743173,5.38411465883255,1000.0,0.0,nan,0,2736,0,9304,2.2894540084133794,3.9119050672053333,215.00236749649048,223.5010484313965,215.00236749649048,223.5010484313965,0.6055079055950046,0.5519445192813873,0.9536393288152898,0.9902692616619061,6065.530552897354,541.6682955066628,0.9536393288152898,0.9902692616619061,2.61394422017177,1.1409928151109865,0.564929582630143,0.981389277941514,58.460361206054685,496.52761448676324
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,39,4.372016584665459,0.7810752303898334,0.619800909012556,nan,0.7081031136214733,5.2678672885894775,1000.0,0.0,nan,0,2049,0,9145,2.3263320862555488,3.9324438987749666,207.04119644165038,223.58623001098633,207.04119644165038,223.58623001098633,0.6451076976954937,0.53581696331501,0.9173391474799114,0.9913351905111708,5760.086744744021,544.8553414957262,0.9173391474799114,0.9913351905111708,2.6475544487594322,1.132660423834622,0.5540320857117573,0.9790025166726276,52.99889385986328,339.3745380889061
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,40,4.4006389173046125,0.7816757315397262,0.6179633136093616,nan,0.8612553576628367,5.246254335641861,1000.0,0.0,nan,0,2071,0,9435,2.366206867788043,3.9540183065014536,205.95741653442383,222.26988540649415,205.95741653442383,222.26988540649415,0.6383870132267475,0.5297268126904965,0.912716479976571,0.9855535906022727,5761.167639217191,536.9040392177618,0.912716479976571,0.9855535906022727,2.6837691555307255,1.1246158318439003,0.5507578192458998,0.9714560853198788,54.33993307495117,383.91685452597756
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,41,4.42977035522372,0.782616480588913,0.6156133691966533,nan,1.0503309478362401,5.131765220165253,1000.0,0.0,nan,0,3289,0,8535,2.40205744930283,3.9760707153146857,203.80606587727866,222.3480433654785,203.80606587727866,222.3480433654785,0.6380105346441269,0.5145917478203773,0.9038846493664572,0.9857915581135598,5855.098673506168,527.078339782852,0.9038846493664572,0.9857915581135598,2.7168601025052013,1.1198952614356514,0.5430730063181657,0.9668899637873053,56.69797262573242,456.72158836694047
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,42,4.463661844564154,0.7828754796087742,0.613898069113493,nan,0.7765249101554647,4.824155883789063,1000.0,0.0,nan,0,2852,0,8052,2.4406414341143394,3.9965647089519347,193.6327667236328,225.19973190307618,193.6327667236328,225.19973190307618,0.694398259415346,0.48056153029203413,0.8578414715961497,0.9983422144262754,5694.205371059305,531.5620372439291,0.8578414715961497,0.9983422144262754,2.751826089081858,1.1101639813987956,0.5116318242672162,0.977927576579163,51.62346044921875,299.9153900648021
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,43,4.601774247410503,0.7837254808843136,0.6118281044065952,nan,0.9137327361106873,4.833079835176468,1000.0,0.0,nan,0,2150,0,9170,2.484621579874493,4.016841738030859,190.85522644042967,223.60774993896484,190.85522644042967,223.60774993896484,0.6988098061084748,0.4768286686390638,0.8464360550912328,0.9908368038721114,5590.23274920653,533.1541472078351,0.8464360550912328,0.9908368038721114,2.791065611505766,1.102792750018046,0.521224896132946,0.9619566541159357,54.26431130981445,386.14246690189344
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,44,4.601774247410503,0.7842197297513485,0.6100708699226379,nan,0.9447944473337244,4.756329716444015,1000.0,0.0,nan,0,2637,0,8455,2.542545770886652,4.038046671725497,193.7783395272714,222.6166390991211,193.7783395272714,222.6166390991211,0.6661153512972372,0.46821302600204945,0.8590702952882706,0.9865266005954152,5712.680248612707,525.7785253673447,0.8590702952882706,0.9865266005954152,2.8416459510544207,1.0882880814664415,0.5102867487026012,0.9594295908057072,54.98735815429688,413.64043849855517
