algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.7751529803872108,0.6413413351774215,nan,0.03831758044660091,0.03844167542954286,,nan,nan,0,0,0,50610,52.857142857142854,167.46666666666667,9.077755320290347,9.024785351630616,5.618209975106375,5.585426936149597
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.7760409790277482,0.6377270829677582,nan,0.038073350694030526,0.03819036616633336,,nan,nan,0,0,0,50790,48.2,167.69333333333333,9.039748791305882,8.982894071582082,5.63211030960083,5.596687637964885
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.7773079797625542,0.6341491994261742,nan,0.037356183044612405,0.037486197613179686,,nan,nan,0,0,0,50220,33.8,166.83666666666667,8.98630515671264,8.940898991036025,5.636262989044189,5.607783977190653
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.7780684807896614,0.6310245668888093,nan,0.036471756426617506,0.037094868794083594,,nan,nan,0,0,0,51432,63.38461538461539,168.69333333333333,8.953993281504662,8.898798756510056,5.65356184886052,5.618711961110433
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.7791404816508293,0.6277561056613922,nan,0.03647405601106584,0.03666007784505685,,nan,nan,0,0,0,51080,57.36363636363637,168.16333333333333,8.89855220280587,8.85660502777184,5.656138463453813,5.629475808143615
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.7795794811844826,0.6255616173148155,nan,0.03593888969160616,0.03619546766082446,,nan,nan,0,0,0,50464,49.0,167.23333333333332,8.870776167763557,8.814344125814292,5.676198800404866,5.64008927822113
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.7805084800720214,0.6230164995789528,nan,0.03590281812474132,0.035965401741365595,,nan,nan,0,0,0,50688,43.5,167.51,8.832439031422094,8.772027624567942,5.689471435546875,5.650557045936584
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.7814909800887108,0.6198631075024604,nan,0.03535302675329149,0.03578819539397955,,nan,nan,0,0,0,51840,60.611111111111114,169.16333333333333,8.793321493779555,8.72967074247278,5.7021616035037574,5.660886316299439
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.7819224801659584,0.6177387976646423,nan,0.03513049579225481,0.03507455525298913,,nan,nan,0,0,0,50638,41.1,167.42333333333335,8.754206509628135,8.687245309962721,5.714768648147583,5.671056203842163
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.7826814797520637,0.6154673373699189,nan,0.03491965407505632,0.035136180234452086,,nan,nan,0,0,0,51206,74.55555555555556,168.45,8.721961080158625,8.644852125289397,5.731803682115343,5.6811300563812255
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.7835924813151359,0.6133354130387306,nan,0.034625986274331805,0.034694082010537385,,nan,nan,0,0,0,51512,56.3125,168.70333333333335,8.66937840294514,8.602442172098959,5.735356509685516,5.691073848406474
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.7840609812736511,0.6113689485192298,nan,0.03423051630146801,0.03441470910484592,,nan,nan,0,0,0,50496,51.666666666666664,167.28666666666666,8.634959445341368,8.56003611108179,5.750797271728516,5.700899074872335
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.7847474813461304,0.6090584275126457,nan,0.033952977228909734,0.03430449194585283,,nan,nan,0,0,0,51088,53.75,168.14333333333335,8.5985789854837,8.517652320111804,5.764872908592224,5.710616043408712
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.7853899785876274,0.6071897634863853,nan,0.03398919221945107,0.03401153400540352,,nan,nan,0,0,0,50228,26.428571428571427,166.81,8.549237938715974,8.475321924970913,5.770132064819336,5.720243973731995
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.7858824783563614,0.6053115823864936,nan,0.03330259189940989,0.03379717187955975,,nan,nan,0,0,0,51828,62.64705882352941,169.21,8.51173696516065,8.433008734197225,5.7832483123330505,5.729756890932719
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.7864649799466134,0.6038110595941544,nan,0.032753582848235964,0.03339764387036363,,nan,nan,0,0,0,50710,59.57142857142857,167.64333333333335,8.472462096495244,8.390742083167767,5.795068536485944,5.739172968864441
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.7869034802913666,0.6022297757863998,nan,0.03265764207579196,0.033304042977591354,,nan,nan,0,0,0,51032,72.875,168.16333333333333,8.437662153168436,8.348530332504232,5.809869408607483,5.74849645614624
