algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,4.032504830573144,0.8738989789783954,0.457410878688097,nan,0.859325680662604,7.403616662025452,1000.0,nan,nan,0,0,0,10426,206.52943330652573,195.58252563476563,206.52943330652573,195.58252563476563,0.9142618284836987,0.8670959885891514,0.8142663275494295,0.8754371243715287,5129.21480377073,836.6475357878037,0.9142618284836987,0.8670959885891514,1.8167011408165183,3.8827733426825186,9.643001883138208,105.70968027551636,5.7723846435546875,63.27873233795166,19.647058823529413,100.92,2.2299155811897187,1.3105310649587067,0.8665490598760099,0.8739491448131456,46.138505859375,341.7228104857656
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,4.102115693568239,0.8746529777348041,0.45209768049418925,nan,0.9076265848201254,7.475363669395446,1000.0,nan,nan,0,0,0,10700,198.35825712784478,194.73351150512696,198.35825712784478,194.73351150512696,0.8797791315656361,0.8630795367772116,0.8475206131520479,0.8693964886665344,5080.526706322308,809.8242774978448,0.8797791315656361,0.8630795367772116,1.8749640329552415,3.935682260510009,9.554192516118546,111.14012802190369,5.757478112759798,66.97445686340332,23.782608695652176,101.53,2.287107678466195,1.3073648239917302,0.8653058777979719,0.8662022252335837,48.07118212890625,395.66908399039517
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,4.166913376870167,0.875457979440689,0.44694710947573185,nan,0.8400916147690553,7.473273358345032,1000.0,nan,nan,0,0,0,11646,195.39472198486328,194.9796987915039,195.39472198486328,194.9796987915039,0.8663856201372828,0.8647582514745707,0.8536593570159032,0.8558125770092011,5136.667762470048,797.69026454456,0.8663856201372828,0.8647582514745707,1.9462387153613372,3.9894060202768924,9.530400988126072,116.55451021253668,5.781556551273052,70.7070450592041,38.88461538461539,106.35,2.3548721763444482,1.3016476108595096,0.8553682617724888,0.865094057706559,49.15646530151367,426.6447765573545
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,4.253885797979215,0.8761757276952267,0.44221016883850095,nan,0.815103809038798,7.52136775970459,1000.0,nan,nan,0,0,0,10784,198.252444797092,194.27386764526366,198.252444797092,194.27386764526366,0.8777565367081042,0.861303635412746,0.8269420365492502,0.8489301460981369,5388.489212352505,773.134510675687,0.8777565367081042,0.861303635412746,1.9814854695390458,4.045189623293074,9.447890639784495,121.88942198447985,5.769839843114217,74.43803810119628,28.27777777777778,102.75,2.3942263002898514,1.3070377719815613,0.8455760276923745,0.8638134000171226,45.991861541748044,348.6125137798276
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,4.333717374498202,0.8767899782955646,0.437960107550025,nan,0.9197426197620538,7.5861728525161745,1000.0,nan,nan,0,0,0,11106,194.90948310265173,193.2143359375,194.90948310265173,193.2143359375,0.864345842919476,0.8558734879068376,0.8332551511434408,0.8446916341781616,5310.781265422886,763.0476040474907,0.864345842919476,0.8558734879068376,2.0488263759417715,4.104483255622519,9.478607879456247,127.19079170956088,5.827318484966572,78.19515914916992,29.115384615384617,103.49,2.4599577518779205,1.3028310811132675,0.8423317249805208,0.8576217516396042,48.77816030883789,428.77014661148826
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,4.428099530201111,0.8772879782319069,0.4340087898075581,nan,1.1717648646410774,7.583936109542846,1000.0,nan,nan,0,0,0,10838,190.28728260713464,192.91177841186524,190.28728260713464,192.91177841186524,0.8431640666114695,0.8553556819199508,0.8504089362481061,0.8337865817546845,5346.597385052459,743.6909111954036,0.8431640666114695,0.8553556819199508,2.079847599548898,4.163608748804633,9.521034651118766,132.46955000635057,5.892554928274715,81.98521781921387,31.0,103.11,2.4965998294000458,1.3114402821782691,0.8362017956554381,0.8535842506358126,45.052123291015626,330.52249333086434
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,4.519590576853202,0.8778914776444435,0.43030639812350274,nan,0.9907426789402962,7.59332317352295,1000.0,nan,nan,0,0,0,11440,189.6368278503418,192.45022994995117,189.6368278503418,192.45022994995117,0.8404218523185213,0.8532776731216984,0.842631733417511,0.824927625656128,5407.64510712809,735.9863415189368,0.8404218523185213,0.8532776731216984,2.1380895070183357,4.225157270588285,9.439272395615319,137.67205215560412,5.881028842926026,85.77497032165527,42.45,105.91,2.5555030597323256,1.3086997419751867,0.827878310283025,0.8511350363211689,46.07551910400391,363.5030725889109
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,4.5886387977197955,0.8783482286334038,0.42697727963328364,nan,1.150579830010732,7.6013536596298215,1000.0,nan,nan,0,0,0,10802,185.5680686102973,191.929619140625,185.5680686102973,191.929619140625,0.8236790376909201,0.8507813988327757,0.8542887104882134,0.8165901899337769,5455.474997586821,721.4925688300839,0.8236790376909201,0.8507813988327757,2.1778539838357984,4.2915883079217965,9.48252979775733,142.8065574270413,5.947497977150811,89.5691054534912,28.88888888888889,102.82,2.6006008486529977,1.3144975767649518,0.8223408117132672,0.8466471403535096,45.0663742980957,340.6956136791423
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,4.699642697373776,0.8788762265443801,0.42384733133018015,nan,1.1581041545703494,7.535897450447083,1000.0,nan,nan,0,0,0,11926,190.02063724912446,192.4246696472168,190.02063724912446,192.4246696472168,0.8412467615055221,0.8533775832570809,0.8180923893533903,0.8010492205619812,5619.838408981553,710.1759685090417,0.8412467615055221,0.8533775832570809,2.2253583661782086,4.35536372935649,9.515235048792606,147.87554749348368,6.007930558303307,93.3687939453125,40.827586206896555,107.42,2.6513594388138646,1.319066595675841,0.80488063060036,0.8506504992974283,49.50613088989258,467.98582142273835
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,4.855178674966804,0.8793937276303768,0.4208586812764406,nan,1.1517266612499952,7.500853333473206,1000.0,nan,nan,0,0,0,11106,187.13176822662354,192.36006484985353,187.13176822662354,192.36006484985353,0.8296659055744868,0.853052177729008,0.822648037225008,0.7894613373279572,5710.088046078696,705.3121513989411,0.8296659055744868,0.853052177729008,2.2638521274863943,4.420913590781172,9.480185360675488,152.81769188423667,6.025838792324066,97.13468048095703,40.875,104.52,2.69526442014535,1.3231594564956175,0.7940388131758263,0.8498264850180395,44.46022955322265,323.7852477543064
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,4.981384844584453,0.8797682279348373,0.41808319531381133,nan,0.8755488178946755,7.458735527992249,1000.0,nan,nan,0,0,0,11030,181.9993133544922,192.29391387939452,181.9993133544922,192.29391387939452,0.806691446484484,0.8527431688144511,0.8437454212795604,0.7777381330728531,5688.866459760391,695.443019479216,0.806691446484484,0.8527431688144511,2.3350519318687626,4.485071649684746,9.249565527669832,157.6623915211976,5.918577107516202,100.88441650390625,31.272727272727273,103.42,2.765055875431959,1.312061145065775,0.7896410866838987,0.8444387598697031,46.46675256347656,389.39872812530035
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,5.09474496874217,0.8801834754645824,0.4155583500117064,nan,1.0335237724440438,7.440445437431335,1000.0,nan,nan,0,0,0,10622,182.81019810267858,191.76950286865235,182.81019810267858,191.76950286865235,0.8111397951778788,0.8502499531130089,0.8256848411900657,0.7690637117624283,5824.751820567457,687.7076813672938,0.8111397951778788,0.8502499531130089,2.3817242263128033,4.5504648853992595,9.3694921935783,162.4043746421722,6.03541762488229,104.6138045501709,29.142857142857142,102.14,2.815472358130094,1.3100841505472893,0.7760171837974013,0.8454469512613263,43.47258612060547,300.6345872493476
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,5.210187290893459,0.88046322748065,0.41328474558889866,nan,1.1605043653398752,7.396266860961914,1000.0,nan,nan,0,0,0,12040,193.33320808410645,191.66176544189454,193.33320808410645,191.66176544189454,0.8575078358260022,0.8492217849947926,0.7460795063525438,0.7581960707902908,6188.848495733153,679.628167689253,0.8575078358260022,0.8492217849947926,2.4171309572666018,4.61772210206758,9.299248207116516,167.06342154983403,6.030237391591072,108.33478889465331,40.03125,107.59,2.8572491862267975,1.3234163860084747,0.7552587218356855,0.8512305245902372,50.70567840576172,532.0119372647723
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,39,5.259778394924753,0.8808209788799286,0.4109912496805191,nan,0.922609232366085,7.23248055934906,1000.0,nan,nan,0,0,0,11194,184.57927474975585,193.07956756591796,184.57927474975585,193.07956756591796,0.8176898698132433,0.8560312135206408,0.7922877669334412,0.7356583386659622,5928.2489755496945,682.181383601541,0.8176898698132433,0.8560312135206408,2.4626427075274933,4.680642890692547,9.134557580630009,171.61732817631034,5.963062810897827,112.03223564147949,36.4,104.66,2.906242744160504,1.3250879828440438,0.7450965767105421,0.8496409895694078,45.999084503173826,373.56623574229604
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,40,5.329349565660912,0.8811647276580333,0.40884465619921684,nan,1.1435783430933952,7.15007622718811,1000.0,nan,nan,0,0,0,11506,180.77342160542807,193.21474319458008,180.77342160542807,193.21474319458008,0.8011721533667475,0.8566970475755824,0.8047915945450465,0.7219581860303879,6048.055407759625,678.9443448890228,0.8011721533667475,0.8566970475755824,2.5110880153717123,4.746765169990412,9.247586104080586,175.98032805519793,6.07722822825114,115.6488412475586,38.5,105.82,2.958223446295452,1.3273423709259975,0.7379904586461282,0.8459502938577433,47.320072875976564,426.09552855026664
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,41,5.479767587023992,0.8814179773628712,0.40705207757651807,nan,1.3762994190057118,7.128685894012452,1000.0,nan,nan,0,0,0,11824,173.695415242513,192.37542755126952,173.695415242513,192.37542755126952,0.7702604578106903,0.8529239714380543,0.8393578430016836,0.7147989904880524,5868.611923813379,676.3148928201872,0.7702604578106903,0.8529239714380543,2.567435618084939,4.813848310940941,9.263035655656287,180.21527314070872,6.128099314371744,119.22410026550293,38.03333333333333,106.83,3.0167181566561387,1.3370459889531396,0.7435433410681211,0.8338477759855856,48.896810424804684,487.37969399284026
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,42,5.557632884055413,0.8817779798805714,0.4050877712666988,nan,0.9635118684347939,7.036677141189575,1000.0,nan,nan,0,0,0,10904,172.74499960506662,192.5302893066406,172.74499960506662,192.5302893066406,0.7653014280332792,0.8534948343895734,0.8352406480733086,0.7010136741399765,5940.090883403456,665.762603239747,0.7653014280332792,0.8534948343895734,2.6195112122786908,4.879796979969169,9.01592116162472,184.37002110213777,6.004513992982752,122.78860382080079,32.705882352941174,103.48,3.0715683658167863,1.336304200994808,0.7205167387285804,0.8406804078249835,44.37938784790039,335.1156106836669
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,43,5.601279346598447,0.8819862265884876,0.40343436434865,nan,1.1590799272060395,6.927299861907959,1000.0,nan,nan,0,0,0,11320,169.8899053955078,192.91129196166992,169.8899053955078,192.91129196166992,0.7534543445402359,0.8548458305242539,0.8417466402053833,0.6858818155527114,5811.439297410506,663.9356482694915,0.7534543445402359,0.8548458305242539,2.676701196075756,4.946550077249704,9.169893606985326,188.39465046015633,6.147907848358154,126.30822120666504,33.64,104.79,3.1306709723105457,1.3384205429450893,0.7170547804832459,0.8345675333274503,47.076753662109375,423.3590945244236
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,44,5.661157317789831,0.8822647285461426,0.40191906787455084,nan,1.1868594973175615,6.80794620513916,1000.0,nan,nan,0,0,0,11092,172.45135498046875,193.27077270507812,172.45135498046875,193.27077270507812,0.7644602464655729,0.8564893965953315,0.8130170570479499,0.6701227313280106,5948.765827562131,665.986369823472,0.7644602464655729,0.8564893965953315,2.745795044313996,5.014385010216561,9.1871388610505,192.27624712922815,6.200670154006393,129.7728928375244,28.85185185185185,103.13,3.199513037494509,1.333018583825553,0.7005018399456354,0.8369241442055403,47.966527709960936,454.4306286530493
