algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,2.9666065400532715,0.7399739819765091,0.7852976185083389,nan,0.6497004002332687,5.138664933045705,1000.0,nan,nan,0,0,0,50896,0.9766730059534791,0.9752926389007452,0.8877370595932007,0.88930906077226,3564.5020353535147,2099.7037832637343,1.1334468009810224,2.8150602709587336,0.9766730059534791,0.9752926389007452,53.8,167.86,219.95856323242188,219.95208170572917,219.95856323242188,219.95208170572917,9.733092826845956,37.16079172375373,5.342629051208496,20.3980717086792,2.1424148829676493,1.0823277253892436,0.8892583510568065,0.9753371668701883,136.37042028808594,1331.1123106653108
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.0725239600256726,0.7430834805965424,0.7693008384108544,nan,0.775786212512425,5.395898888905843,1000.0,nan,nan,0,0,0,50650,0.936505295469136,0.963773441683652,0.9227624961308071,0.8913966619968414,3593.3018535082897,1985.352140453872,1.1851532316958926,2.875922284407183,0.936505295469136,0.963773441683652,55.714285714285715,167.53333333333333,211.26605660574776,217.42680760701498,211.26605660574776,217.42680760701498,9.759348314715123,41.43405969825863,5.392873968396868,22.895858898162842,2.1996146633226665,1.088512715808724,0.8921118438826322,0.9631516924214316,133.41380935668946,1241.5175102214391
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.194073186748348,0.7461719807982444,0.7549684736132621,nan,0.7931269109249115,5.566616141001384,1000.0,nan,nan,0,0,0,50698,0.9782087640327464,0.9626609720181515,0.8634835614098443,0.8815475185712178,3968.1610758785982,1877.1770792216194,1.2374574253853408,2.942327678423775,0.9782087640327464,0.9626609720181515,47.77777777777778,167.56,220.70215861002603,217.12550064086915,220.70215861002603,217.12550064086915,9.728145351983118,45.90155457736536,5.411588933732775,25.534193394978843,2.2603795772084014,1.0961242505477735,0.8810213838966148,0.9631138203292564,134.24793923950196,1197.7331468987866
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.3059482581780153,0.748837979733944,0.7421593257784843,nan,0.9775516510009765,5.731766427357991,1000.0,nan,nan,0,0,0,51270,0.9422872917243394,0.9600537523841581,0.8942156195640564,0.873366484840711,4000.360397271578,1773.69454461598,1.2816810738387268,3.0123696064163745,0.9422872917243394,0.9600537523841581,71.6,168.51333333333332,212.58497009277343,216.58180638631185,212.58497009277343,216.58180638631185,9.703466919398922,50.478353933115216,5.433966732025146,28.268009592692056,2.320094193385315,1.1089391555985388,0.8740390375737221,0.9594806407499704,134.20078323364257,1144.2239347150196
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.456326533995791,0.751729978621006,0.7309352600574494,nan,0.7994281514124437,5.933407371838888,1000.0,nan,nan,0,0,0,50992,0.9717425471791971,0.9510256621521997,0.8481888445940885,0.8727446689208349,4193.113529187643,1668.1067704008904,1.3361385449962377,3.0894680882127865,0.9717425471791971,0.9510256621521997,53.63636363636363,168.00666666666666,219.15612931685015,214.58831766764322,219.15612931685015,214.58831766764322,9.65790164981589,55.152500824882424,5.444626851515337,31.092135518391927,2.3881362709261666,1.1194190713925398,0.8718761349414322,0.95175841371264,133.57442544555664,1093.1125598826625
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5287562518194795,0.7543169820308685,0.7206373769044876,nan,0.7499779718262809,6.1356192938486735,1000.0,nan,nan,0,0,0,51174,0.9501135291469845,0.9407636080312498,0.86250758596829,0.8737014738718668,4234.18225320947,1558.4063099908249,1.4320515633365425,3.1792169138153406,0.9501135291469845,0.9407636080312498,50.857142857142854,168.20666666666668,214.3925792149135,212.21567850748698,214.3925792149135,212.21567850748698,9.618376457611737,59.95059540402155,5.458614315305438,34.02312019348145,2.4803507736238215,1.1176524707321935,0.8732023833283953,0.9411804834950089,133.33239932250976,1053.60088908436
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.5677626385780106,0.756194980442524,0.7112196379899979,nan,0.9472310675515069,6.251988898913066,1000.0,nan,nan,0,0,0,50870,0.9647203078779337,0.9393488941404561,0.8334123558468289,0.8640927277008692,4417.763774758759,1468.7881063190746,1.4751450281734022,3.267785293002839,0.9647203078779337,0.9393488941404561,57.333333333333336,167.84666666666666,217.69912719726562,211.89010828653971,217.69912719726562,211.89010828653971,9.653277210751149,64.86786741789044,5.515065987904866,37.06001200358073,2.550729187071064,1.1351221066496378,0.8631991246371593,0.9400878673561109,131.0526492614746,960.7926117371024
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.6073901788953084,0.7583509820699692,0.7026801112294198,nan,0.7334981148059552,6.39045934677124,1000.0,nan,nan,0,0,0,51138,0.9553796690144233,0.933987888185081,0.8330966371756333,0.8592246172825495,4643.061216324347,1393.9296828840572,1.5344925621871388,3.3574294787736636,0.9553796690144233,0.933987888185081,52.23076923076923,168.19666666666666,215.5475628192608,210.7033312479655,215.5475628192608,210.7033312479655,9.53594342575663,69.82592827512198,5.484472935016338,40.15946788787842,2.6282547121390536,1.1459332172029901,0.8581394296103773,0.9348763647051495,132.02623538208007,957.0774013548673
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.654942099291225,0.7601669812202454,0.6950979205965996,nan,0.7551096379756927,6.450443037350973,1000.0,nan,nan,0,0,0,50626,0.9583158247303659,0.9358531410825174,0.8177467925207955,0.8454585125048956,4822.136401783705,1332.1584025417499,1.5654624164696305,3.4335673807237512,0.9583158247303659,0.9358531410825174,54.142857142857146,167.49,215.89666530064173,211.06181376139324,215.89666530064173,211.06181376139324,9.493166163082938,74.8406657175328,5.496390887669155,43.33154460906982,2.686325395022102,1.162336398047181,0.8448266491827825,0.9363653195370287,129.65964157104492,866.8049511500219
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.70001655381107,0.7620019793510437,0.6876768806576729,nan,0.9250894097181467,6.575140342712403,1000.0,nan,nan,0,0,0,51354,0.9995599341140361,0.9295726087471633,0.7544716252730443,0.8416812028487524,4847.862821207598,1271.6398374706075,1.5985742686385054,3.501689320169378,0.9995599341140361,0.9295726087471633,60.23076923076923,168.57,225.55410883976862,209.6692729695638,225.55410883976862,209.6692729695638,9.576711039593693,79.84254672921382,5.581850602076604,46.53676671346029,2.7404432995570285,1.1746502280577564,0.8380590798184514,0.9324794305675126,131.66597061157228,889.0283358337621
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.734202612838719,0.7637639814615249,0.6812599450349808,nan,1.084644839167595,6.681601113478343,1000.0,nan,nan,0,0,0,50496,0.9606892560010523,0.9242496024680573,0.790876492857933,0.8367394411563873,5006.719740478602,1218.1790184421568,1.6327665909189641,3.5582217976348876,0.9606892560010523,0.9242496024680573,40.5,167.24,216.601411819458,208.50468505859374,216.601411819458,208.50468505859374,9.702343936580933,84.88452745814786,5.6929030418396,49.80645787556966,2.7880397149485177,1.1821133953847875,0.8355481957460379,0.9251960869754077,128.56843362426758,811.0149269129518
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.781822051119046,0.7652029809355736,0.675366228222847,nan,0.7880004495382309,6.7728781986236575,1000.0,nan,nan,0,0,0,50612,0.9670117276484069,0.9195433756194429,0.7706871628761292,0.8310312650601069,4885.43903463924,1170.7308062498173,1.6649809533064543,3.6075054921551644,0.9670117276484069,0.9195433756194429,47.5,167.44,217.88251495361328,207.39751739501952,217.88251495361328,207.39751739501952,9.480232996768487,89.94979717409846,5.5997859835624695,53.13156476338705,2.8304956766156804,1.1871670127239773,0.829463885782601,0.9207763198279876,127.92463067626953,780.6055083041182
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.829948412309985,0.7667809799313545,0.6698266515135765,nan,0.7591648234261407,6.831041836738587,1000.0,nan,nan,0,0,0,50990,0.8944139788505632,0.9171405851665744,0.8515497181150649,0.8223681779702504,4785.780655240019,1130.2443802442622,1.7315261755822866,3.6511890787509507,0.8944139788505632,0.9171405851665744,63.333333333333336,168.06666666666666,202.06161159939236,206.96747685750324,202.06161159939236,206.96747685750324,9.361491555939859,95.02361514487995,5.56663523779975,56.50400914510091,2.8833239174834855,1.1760737795715555,0.8232181257414586,0.9164786451767875,127.81759512329101,764.2906799408777
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,3.8687594938792946,0.7682059821486473,0.6641687405109405,nan,0.7754484663407007,6.810438523292541,1000.0,nan,nan,0,0,0,50498,0.9905516206048993,0.9210418090976559,0.7153238008419672,0.8054731667041779,5532.387644559963,1098.2763401634072,1.7647334988515542,3.6899538271829866,0.9905516206048993,0.9210418090976559,51.666666666666664,167.29333333333332,223.21933237711588,207.74062199910483,223.21933237711588,207.74062199910483,9.46224663178228,100.07697781807337,5.664182980855306,59.906947746276856,2.9198656958504134,1.1768813496743091,0.8037055320794286,0.92240474657819,127.32300518798829,725.354455832764
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,3.915827137372104,0.7697009804844857,0.6594821539521217,nan,0.8406001230080923,6.798349982897441,1000.0,nan,nan,0,0,0,51068,0.9368163160428445,0.923031390348027,0.7728039291169908,0.7908616917332013,5231.319916358326,1071.9548631735895,1.799901835881505,3.725523372611084,0.9368163160428445,0.923031390348027,67.88888888888889,168.19,211.54067145453558,208.18704513549804,211.54067145453558,208.18704513549804,9.321783086175072,105.04429884102373,5.617425229814318,63.3010325495402,2.955274757919253,1.1759159576351073,0.7903357374822437,0.9234328930381672,128.71995916748048,737.3366763986035
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,3.98253005617367,0.7710619807243347,0.6546282702684403,nan,0.9627699524164199,6.768382929960887,1000.0,nan,nan,0,0,0,50792,0.9311521789172776,0.9256256977610402,0.7679647922515869,0.7752770442267259,5192.110692058692,1049.918061215314,1.8220205950257753,3.761557295540991,0.9311521789172776,0.9256256977610402,48.5,167.69,209.36508026123047,208.79679484049478,209.36508026123047,208.79679484049478,9.378915388010936,109.93283999003356,5.689658784866333,66.6900513458252,2.985742615334905,1.1821502865902567,0.7750411651307537,0.9258039713467251,129.46537850952149,733.793050570362
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,4.034078480434665,0.7720764806866646,0.6506684240698815,nan,0.6987482309341431,6.759261335134506,1000.0,nan,nan,0,0,0,50692,0.940374581804573,0.925541294294079,0.7432575598359108,0.7630811730027198,5329.9750555648625,1034.3217956876608,1.861743627035712,3.795331347037624,0.940374581804573,0.925541294294079,52.375,167.57666666666665,211.7557430267334,208.7960890197754,211.7557430267334,208.7960890197754,9.191457403464115,114.7288909258951,5.613235712051392,70.06509190877279,3.021896259036859,1.1792315531576107,0.7625662739594261,0.9259265744891567,128.66574530029297,705.8726783016341
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,4.093274074145911,0.7732669812440872,0.6464190086722374,nan,0.743664033137835,6.776389677524566,1000.0,nan,nan,0,0,0,51220,0.9718112525912198,0.9225344034948345,0.688192021388274,0.7547088101506233,5749.2333027875175,1010.6976448302534,1.9186727695510393,3.830322877381697,0.9718112525912198,0.9225344034948345,55.46153846153846,168.33,219.37295414851263,208.14099970499674,219.37295414851263,208.14099970499674,9.243750092570256,119.450374976112,5.682931129749004,73.43645680745443,3.0656628342494336,1.1690557517518274,0.7519461320231136,0.9245810457895726,130.58829663085936,755.8986527706276
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,4.141901215194115,0.7745034795999527,0.6426475811004638,nan,0.8372127200875964,6.673629724184672,1000.0,nan,nan,0,0,0,50610,0.9162191174142892,0.9286577824713425,0.7508038452693394,0.7338446569442749,5471.673159211342,996.4955082178318,1.9573604944382592,3.8639693843699447,0.9162191174142892,0.9286577824713425,52.857142857142854,167.46666666666667,206.82578822544642,209.45803833007812,206.82578822544642,209.45803833007812,9.174843408246144,124.11883163292528,5.678297655923026,76.81696998596192,3.1013258283972704,1.1654501449624108,0.7342313485347487,0.9283741647013118,128.5703840332031,674.5007291596578
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.2110155269908685,0.775406981408596,0.639065167605877,nan,0.9320569813251496,6.696531336307526,1000.0,nan,nan,0,0,0,50790,0.851885454244789,0.9239333814441805,0.8268448889255524,0.7276256880164147,5054.084846804752,981.1115578911193,2.0179293693044213,3.8993193945576134,0.851885454244789,0.9239333814441805,48.2,167.69333333333333,192.25821380615236,208.40785563151042,192.25821380615236,208.40785563151042,9.177739186857293,128.63870471177034,5.718083620071411,80.14684829711913,3.146763384456336,1.1528735222792739,0.7308263074005804,0.9216092547603292,128.8898776550293,689.7486316707666
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.272772065594403,0.7765644803643227,0.6354761603474617,nan,0.9082499921321869,6.57566300312678,1000.0,nan,nan,0,0,0,50220,0.8259249125588948,0.9299084926243597,0.8511647701263427,0.7065269243717194,4966.545069150033,970.7001851481701,2.058344238978086,3.933795117357793,0.8259249125588948,0.9299084926243597,33.8,166.83666666666667,186.32266845703126,209.7250301106771,186.32266845703126,209.7250301106771,9.236484052257765,133.11209987012145,5.793176651000977,83.48868515014648,3.183614766005911,1.1492401263056908,0.708898036597205,0.9282038437708277,127.69824475097656,632.0855617804026
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.340690902820204,0.7773459786176682,0.6324441379308701,nan,0.7641170850166907,6.573996903896332,1000.0,nan,nan,0,0,0,51432,0.9714014844005157,0.9260474705382289,0.635231825021597,0.6989518375198046,6002.561032384393,958.7598459055806,2.079911805420585,3.9681192848744544,0.9714014844005157,0.9260474705382289,63.38461538461539,168.69333333333333,218.8777055006761,208.9196737162272,218.8777055006761,208.9196737162272,9.19480059552625,137.42575895283593,5.805607869074895,86.77078521728515,3.212836293092906,1.1540000738553946,0.6963053194288248,0.9279311835740428,131.0426245727539,731.3224943853427
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.388940182446901,0.778400482237339,0.6291598510742188,nan,0.8649239919402383,6.478684961001078,1000.0,nan,nan,0,0,0,51080,0.9080653150124559,0.9287465670575894,0.7113939794627103,0.6820458858211835,5888.527255522151,946.5962794632812,2.124990262530751,4.002192656454515,0.9080653150124559,0.9287465670575894,57.36363636363637,168.16333333333333,205.08262079412287,209.4889050801595,205.08262079412287,209.4889050801595,9.06504402094275,141.67495203333723,5.7619647546248,90.05208119710286,3.251311698885009,1.1477970407960585,0.6830839212876041,0.9280150758276973,130.2051607055664,697.5053672994559
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,4.472296474852958,0.7789589795470238,0.6269816935062409,nan,0.6430736233790716,6.435728538036346,1000.0,nan,nan,0,0,0,50464,0.8567495572543237,0.9270337678882561,0.7719956586758295,0.6712552321950594,5539.892265372514,941.39018831069,2.1653525771308204,4.035494437452691,0.8567495572543237,0.9270337678882561,49.0,167.23333333333332,193.2392807006836,209.12941853841147,193.2392807006836,209.12941853841147,8.93475972341788,145.78783211501823,5.717140356699626,93.28616821289063,3.287437693323943,1.1427551263811595,0.6732305346750745,0.9256556461111201,127.79652249145508,631.3128201708842
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,37,4.577785682173565,0.7798329815268517,0.6244961601495743,nan,0.9886884212493896,6.396338187058767,1000.0,nan,nan,0,0,0,50688,0.8900428469053672,0.9246769350561226,0.7114541620016098,0.6613131937384605,5653.997694830202,925.5291640561117,2.2158120195208344,4.070833209237596,0.8900428469053672,0.9246769350561226,43.5,167.51,200.50066223144532,208.64141387939452,200.50066223144532,208.64141387939452,9.247909762112023,149.8071169578663,5.957099533081054,96.49920138041179,3.3288247333508907,1.1364469822566692,0.6629306443275944,0.9235597064060981,129.19486157226564,668.397452330271
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,38,4.659758363581551,0.7806359794735909,0.6215852159261703,nan,0.7822055133680502,6.238867551485697,1000.0,nan,nan,0,0,0,51840,0.9750438894016492,0.930257960911316,0.5742083465059599,0.6396981195608775,6290.219010597468,918.2399554898032,2.2439698265520427,4.105634230440672,0.9750438894016492,0.930257960911316,60.611111111111114,169.16333333333333,219.98358069525824,209.89252217610678,219.98358069525824,209.89252217610678,9.023530441785567,153.73655924242004,5.851444058948093,99.6927845509847,3.36096846888522,1.1395814540309037,0.63599115127475,0.9327930134673724,133.85492221069336,777.3918576753906
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,39,4.73186555678627,0.7811034789681435,0.6194800826907157,nan,0.8959310442209244,6.097336037158966,1000.0,nan,nan,0,0,0,50638,0.8534899584391104,0.9341442926589822,0.739411723613739,0.6202868210275968,5708.18276031194,923.6040710553772,2.292908409391668,4.139561494477641,0.8534899584391104,0.9341442926589822,41.1,167.42333333333335,192.67560882568358,210.76053924560546,192.67560882568358,210.76053924560546,8.918046100125178,157.48647765719207,5.821723556518554,102.80757987976074,3.4009002604432506,1.131691811615329,0.6241295598206982,0.9315425399422121,130.30983572387694,668.326097839465
