algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,96,6.434539277447951,0.8808523120482763,0.3993757501244545,1.0,2.715157097578049,nan,1000.0,1.0,1.0,30539,639,0,276,3.574785335123828,0.0,7215.5512896270275,0.0,8.407063102722168,nan,138.72394561767578,0.0,8.807051540201412,nan,13.8,0.0,0.6146341947971214,0.0,0.6146341947971214,0.0,0.7469996333122253,0.0,138.7239974975586,0.0,3.574785335123828,1.3836018588134757,0.7469996333122253,0.6146341947971214,9.248263041178385,481.0367526418019
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,97,6.434539277447951,0.8808686445156734,0.39965095748504004,1.0,3.0962954064210257,nan,1000.0,1.0,1.0,30567,667,0,154,3.6890641671773703,0.0,7876.415724254341,0.0,8.646659983528984,nan,138.8212890625,0.0,8.997861738807432,nan,8.555555555555555,0.0,0.6153372946959104,0.0,0.6153372946959104,0.0,0.7309482726785872,0.0,138.82131025526257,0.0,3.6890641671773703,1.3980779118584692,0.7309482726785872,0.6153372946959104,8.32927734375,472.5849434552605
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,98,6.434539277447951,0.8807613120476405,0.40018379161755246,1.0,3.986858457326889,nan,1000.0,1.0,1.0,30139,239,0,30,3.7304995537114247,0.0,7124.736493205142,0.0,10.667107224464417,nan,136.64978790283203,0.0,11.026617208260959,nan,3.75,0.0,0.6065076287227289,0.0,0.6065076287227289,0.0,0.7818641662597656,0.0,136.64984893798828,0.0,3.7304995537114247,1.4094260495862156,0.7818641662597656,0.6065076287227289,3.6439943440755207,189.99297315213713
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,99,6.434539277447951,0.8806856441497802,0.4005350270867348,1.0,3.197124093770981,nan,1000.0,1.0,1.0,30280,380,0,70,3.7910272789055837,0.0,7429.7364577672515,0.0,9.220907847086588,nan,137.10548655192056,0.0,9.468343883432434,nan,5.833333333333333,0.0,0.6072062501549254,0.0,0.6072062501549254,0.0,0.7207293560107549,0.0,137.10546112060547,0.0,3.7910272789055837,1.429927009611904,0.7207293560107549,0.6072062501549254,5.4842194620768225,297.18945831068993
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,100,6.434539277447951,0.8805963136752446,0.40115773131450017,1.0,3.7766644784382413,nan,1000.0,0.8,1.0,30253,355,0,110,3.8623049962923504,0.0,7840.435580063095,0.0,8.879809141159058,nan,135.49214935302734,0.0,9.057506948009976,nan,7.857142857142857,0.0,0.6003652150152204,0.0,0.6003652150152204,0.0,0.7725516642842974,0.0,135.49212101527624,0.0,3.8623049962923504,1.4506554123736024,0.7725516642842974,0.6003652150152204,6.3229669698079425,365.8869937362777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,101,6.434539277447951,0.8807586435476938,0.4011717309554418,1.0,2.876132213152372,nan,1000.0,1.0,1.0,30275,375,0,86,3.923912444122546,0.0,7628.919115523897,0.0,8.391687870025635,nan,137.96031658466046,0.0,8.502743339166376,nan,6.615384615384615,0.0,0.6114045042234065,0.0,0.6114045042234065,0.0,0.6903472726161664,0.0,137.96025907076321,0.0,3.923912444122546,1.453923236220421,0.6903472726161664,0.6114045042234065,5.978280385335286,330.5864950060356
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,102,6.434539277447951,0.8803826453288396,0.4023018854856491,1.0,3.37442050260656,nan,1000.0,1.0,1.0,30753,853,0,120,4.014250533930937,0.0,7627.3923602991235,0.0,9.855317732867073,nan,135.36745946547563,0.0,9.919392651310824,nan,7.0588235294117645,0.0,0.6005666484183675,0.0,0.6005666484183675,0.0,0.7348884905085844,0.0,135.36747562184053,0.0,4.014250533930937,1.4610431094347476,0.7348884905085844,0.6005666484183675,7.67082270304362,432.21890041695036
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,103,6.434539277447951,0.8803689775864283,0.4027237475911776,1.0,3.1195326464043722,nan,1000.0,1.0,1.0,30512,612,0,160,4.1169258380966065,0.0,8157.570774697501,0.0,8.658565865622627,nan,135.9669664171007,0.0,8.656954199585883,nan,8.88888888888889,0.0,0.6027427504174935,0.0,0.6027427504174935,0.0,0.7476262632343504,0.0,135.9669664171007,0.0,4.1169258380966065,1.4424793885796066,0.7476262632343504,0.6027427504174935,8.158017985026042,489.4542464818501
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,104,6.434539277447951,0.8803233108917872,0.40306923488775886,1.0,3.025845209757487,nan,1000.0,1.0,1.0,30560,660,0,104,4.192136768950107,0.0,7986.427170866247,0.0,8.790072059631347,nan,137.47300618489584,0.0,8.730041208160825,nan,6.933333333333334,0.0,0.6096018515442784,0.0,0.6096018515442784,0.0,0.6974320709705353,0.0,137.47303975423176,0.0,4.192136768950107,1.4347520151458963,0.6974320709705353,0.6096018515442784,6.873650309244792,399.3213585433123
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,105,6.434539277447951,0.880291978319486,0.403471776843071,0.9819976771196284,3.7132938504219055,nan,1000.0,0.7722943722943724,1.0,30067,170,0,23,4.214957240435433,0.0,7555.316875829979,0.0,9.78995418548584,nan,135.49627031598772,0.0,9.658489704381395,nan,3.2857142857142856,0.0,0.6002290721471661,0.0,0.6002290721471661,0.0,0.7888194663184029,0.0,135.4963117327009,0.0,4.214957240435433,1.4314332411847834,0.7888194663184029,0.6002290721471661,3.16157964070638,176.29072710269952
