algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,66,0.0,0.7938201804161071,0.5832369253635407,nan,0.029615275170654057,0.0,,nan,nan,0,0,0,226,7.685901880887408,0.0,6.006890411376953,0.0,9.04,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,67,0.0,0.7938605792522431,0.5830428923368454,nan,0.0293086041174829,0.0,,nan,nan,0,0,0,336,7.649192246622155,0.0,6.0181879339546995,0.0,11.586206896551724,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,68,0.0,0.7941849803924561,0.5823642164468765,nan,0.02946793519333005,0.0,,nan,nan,0,0,0,444,7.604966623234881,0.0,6.023414892308852,0.0,13.058823529411764,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,69,0.0,0.7942975797653198,0.5819625209569931,nan,0.02937001808360219,0.0,,nan,nan,0,0,0,112,7.5675711339632965,0.0,6.033888415286415,0.0,5.894736842105263,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,70,0.0,0.7946367801427842,0.5812159420251847,nan,0.029332541193813087,0.0,,nan,nan,0,0,0,88,7.530266742702312,0.0,6.044305674235026,0.0,5.866666666666666,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,71,0.0,0.7947651792764664,0.5810861295461655,nan,0.02917564471438527,0.0,,nan,nan,0,0,0,178,7.494132717593206,0.0,6.05553802576932,0.0,8.090909090909092,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,72,0.0,0.7950167796611786,0.5806862961053848,nan,0.02912069784849882,0.0,,nan,nan,0,0,0,222,7.459220902067663,0.0,6.06764440536499,0.0,8.88,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,73,0.0,0.7951877794265747,0.5803582674264908,nan,0.02911751490086317,0.0,,nan,nan,0,0,0,396,7.42547940124393,0.0,6.080600157380104,0.0,12.375,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,74,0.0,0.7952689785957336,0.5800733560323715,nan,0.028913119442760944,0.0,,nan,nan,0,0,0,242,7.389326663335312,0.0,6.091470022996266,0.0,10.083333333333334,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,75,0.0,0.795307579755783,0.5799270170927048,nan,0.028943069983273745,0.0,,nan,nan,0,0,0,258,7.34353813797807,0.0,6.094216750218318,0.0,9.923076923076923,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,76,0.0,0.7957785788774491,0.5792395949363709,nan,0.02881748900935054,0.0,,nan,nan,0,0,0,164,7.308342545272731,0.0,6.10557728721982,0.0,7.809523809523809,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,77,0.0,0.7958601802587509,0.5791198170185089,nan,0.02864475155249238,0.0,,nan,nan,0,0,0,236,7.275210259146761,0.0,6.118552406628926,0.0,9.833333333333334,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,78,0.0,0.7961097791194915,0.5788403265476226,nan,0.02833997642621398,0.0,,nan,nan,0,0,0,132,7.217621347343302,0.0,6.1107219896818465,0.0,6.947368421052632,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,79,0.0,0.7962141799926757,0.5787409245967865,nan,0.028168527610599993,0.0,,nan,nan,0,0,0,198,7.194433233381085,0.0,6.131832946430553,0.0,9.0,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,80,0.0,0.7962545803785324,0.5786400995254517,nan,0.028266544576734304,0.0,,nan,nan,0,0,0,314,7.171333077474544,0.0,6.1530283859797885,0.0,11.214285714285714,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,81,0.0,0.7964483798742295,0.5783614164590836,nan,0.02819365293905139,0.0,,nan,nan,0,0,0,230,7.126633832317649,0.0,6.155576972961426,0.0,9.2,0.0
