algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.66776837671818,0.8673233131567637,0.5034889274835587,nan,166.31047770182292,191.21813720703125,1000.0,0.0,nan,0,30732,0,0,4116.6111771367705,4170.7435715250385,0.0,0.0,5.5882214864095054,5.587508280277252,0.8920510089901156,0.9067957729460678,1.4644979771603608,3.5965479478396913,200.98407694498698,204.52151077270508,200.98407694498698,204.52151077270508,9.716332740885319,9.715092677636097,0.8920510089901156,0.9067957729460678,0.9104464371999105,0.8924371418356896,2.317317965432093,1.3757924478016792,0.8936936043029607,0.9057670684840248,87.83812661743164,1791.7957639241185
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.7312657532940445,0.8686983112494151,0.49372931857903796,nan,166.47286224365234,188.16031509399414,1000.0,0.0,nan,0,30810,0,0,4339.069755063382,4343.78201645961,0.0,0.0,5.6083219448725385,5.607462413311005,0.9078707098129359,0.90934522137595,1.498624808905465,3.6313902051044535,204.74910100301108,205.1352687072754,204.74910100301108,205.1352687072754,9.686489408564825,9.685004856955812,0.9078707098129359,0.90934522137595,0.8799798240264257,0.8781607514619827,2.3517309673850604,1.377636152193035,0.878263717833555,0.9092617584572891,86.96808590698242,1841.6504807053645
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.7762748677346147,0.8700126457214356,0.48484002679586413,nan,161.10844100149055,187.70032325744629,1000.0,0.0,nan,0,31378,0,0,4554.076851806222,4473.406799074904,0.0,0.0,5.6276834136561344,5.626756105422974,0.9112459247067367,0.9020260016475057,1.555090735204196,3.6677615538728285,205.53150779322573,203.4683960723877,205.53150779322573,203.4683960723877,9.655345819332517,9.653754848232301,0.9112459247067367,0.9020260016475057,0.864517657380355,0.8760063889622688,2.4001590626716487,1.3723086257699997,0.8750096496926051,0.9028259036480781,89.19755572509766,1962.4176399985975
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.821630863605521,0.8710979793469111,0.47689859827359515,nan,164.81865926889273,186.47298568725586,1000.0,0.0,nan,0,30674,0,0,4575.412586779566,4606.9058145397985,0.0,0.0,5.647855758666992,5.645444152355194,0.8700833871386258,0.897600388967802,1.6203923847111559,3.7061540816118286,195.96514423076923,202.47560668945312,195.96514423076923,202.47560668945312,9.625570411450253,9.621460340770193,0.8700833871386258,0.897600388967802,0.9049130403078519,0.8702801415324211,2.4546970634714254,1.3623698380103177,0.8723938865281047,0.8959209475416082,86.08533642578125,1961.723053072188
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.8861435124161012,0.8720853120088577,0.4697555919488271,nan,153.6673848470052,184.5912264251709,1000.0,0.0,nan,0,30930,0,0,4799.371540245042,4748.183456275669,0.0,0.0,5.661910820007324,5.663553650379181,0.906916824100676,0.8955843714378972,1.6752422445818347,3.745519398633781,204.4268056233724,202.11805534362793,204.4268056233724,202.11805534362793,9.58540807419326,9.588189325967006,0.906916824100676,0.8955843714378972,0.8470827579498291,0.8614891287684441,2.5033531062026135,1.3557745823060348,0.860484033129936,0.8963750076701841,86.98002630615234,2043.254528717619
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.9282095597962936,0.8731163116296132,0.46320748805999756,nan,159.97743606567383,182.9936067199707,1000.0,0.0,nan,0,30858,0,0,4573.850798810458,4872.5907778824485,0.0,0.0,5.679835200309753,5.681152834892273,0.8348938290538653,0.8924830306291828,1.7533871859821886,3.786575026931297,188.31508000691733,201.3721822357178,188.31508000691733,201.3721822357178,9.551861581619674,9.554077466888087,0.8348938290538653,0.8924830306291828,0.9279751032590866,0.8540291047096252,2.5666623223618323,1.3398387566838366,0.8582147272690287,0.8892232645022781,85.06843481445313,2058.8087303244306
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.981390229897759,0.8740046447515488,0.4570613996187846,nan,156.35881746732272,183.2741791534424,1000.0,0.0,nan,0,30894,0,0,4869.017494778056,4974.389357070541,0.0,0.0,5.69903197655311,5.698277142047882,0.874516661317836,0.8825918357499623,1.8143132665001405,3.8318404929197873,197.35533376840445,199.09951171875,197.35533376840445,199.09951171875,9.52046328779023,9.519202306236707,0.874516661317836,0.8825918357499623,0.8658130306463975,0.8553400939702988,2.6213241570679995,1.3327630707102094,0.8559792872885583,0.882098984728283,84.77104336547852,2116.350197692446
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,4.056739414795946,0.874779646396637,0.4517194444934527,nan,157.02353802849265,182.80346656799315,1000.0,0.0,nan,0,31368,0,0,5141.764059881342,5071.862665732433,0.0,0.0,5.71774435043335,5.714958500862122,0.8842727362089877,0.8754685871466772,1.8671808529177083,3.880163484793206,199.64064025878906,197.45251625061036,199.64064025878906,197.45251625061036,9.488256700606671,9.483633748924845,0.8842727362089877,0.8754685871466772,0.8416341508136076,0.8531672731041908,2.6723739056679072,1.330392504368493,0.8522637566113802,0.8761583131100841,85.76878826904297,2203.5650443289387
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,4.164507281857925,0.87555231153965,0.44658408751090367,nan,158.9541150261374,181.22660739898683,1000.0,0.0,nan,0,31238,0,0,4966.314812839659,5170.56331589131,0.0,0.0,5.731593103969798,5.731267952919007,0.8339953532075858,0.8723379048418053,1.9253130738381317,3.931180022189193,188.09228695140166,196.76970138549805,188.09228695140166,196.76970138549805,9.44804052285582,9.44750453918632,0.8339953532075858,0.8723379048418053,0.8965158848201528,0.8457837116718292,2.7276598531785563,1.329045517176768,0.8497581215498085,0.8693341104741477,85.10301831054687,2237.080029993072
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,4.291854231495458,0.8762669761975607,0.4418550463517507,nan,151.2897071838379,180.70416027069092,1000.0,0.0,nan,0,31418,0,0,5306.674577448561,5264.656884657948,0.0,0.0,5.7455699145793915,5.747198309898376,0.8721492585224279,0.8654703926108874,1.9715836962735853,3.988894365617831,196.5574016571045,195.26170082092284,196.5574016571045,195.26170082092284,9.408149566051563,9.410816000703203,0.8721492585224279,0.8654703926108874,0.8344357572495937,0.8433615772426128,2.7785079640112835,1.333196790586849,0.8427004053912781,0.8659651234191496,84.39451718139648,2275.6763403415325
