algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.7251298342578485,0.7274553159872691,0.8503467375040055,nan,0.7393069141789487,4.47267396569252,1000.0,0.0,nan,0,53,0,31981,213.1472336618524,220.42567726135255,0.9314396333587606,2.6495543534302657,0.9564013951703122,0.9197922244668006,213.1472336618524,220.42567726135255,0.9442870670600243,0.9774124145558274,2904.830844323397,1453.2178757218364,0.9442870670600243,0.9774124145558274,1.6186855213873628,1.1816646776505482,0.9229683625643657,0.9745385259603011,96.2698657836914,691.6707223730236
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.7973207830446816,0.7320576465129852,0.8255344363053639,nan,0.8384680251280466,4.762078375816345,1000.0,0.0,nan,0,7,0,31673,217.8259980943468,218.51807373046876,0.9982792212501402,2.703800355407369,0.9220800167984433,0.918715872168541,217.8259980943468,218.51807373046876,0.9656375160702146,0.9686512316657558,3168.0696444311397,1316.7516578269774,0.9656375160702146,0.9686512316657558,1.680487674913032,1.1869199092843858,0.9189936455783494,0.9684023927633716,95.24896542358398,640.751170330312
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.879619509848201,0.7360836468140284,0.8042147143681844,nan,0.8797931833700701,5.0242295479774475,1000.0,0.0,nan,0,12,0,30688,214.65756225585938,216.91356910705565,1.0412624895859501,2.7631083947151827,0.9260312047871676,0.91546905875206,214.65756225585938,216.91356910705565,0.9525248728707648,0.9618926560448929,3318.7852578118127,1189.2638390494146,0.9525248728707648,0.9618926560448929,1.7300008516376433,1.1981709765962547,0.9160196919576816,0.9614042882016919,91.48789401245118,548.7188112916257
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.977787711972791,0.7396219807863236,0.7857305274407069,nan,0.8228391040773952,5.258061208724976,1000.0,0.0,nan,0,119,0,30857,220.34266662597656,215.98558837890624,1.0926534369781757,2.8275606192877474,0.8871773902107688,0.9100663027167321,220.34266662597656,215.98558837890624,0.9771644490810186,0.957065799590792,3597.461260088614,1088.0728637140744,0.9771644490810186,0.957065799590792,1.7866163099020038,1.2082386351152492,0.9082731621056658,0.9586403481683672,93.8858860168457,557.5428283286426
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,3.082510982440379,0.7428953123092651,0.7695268962780635,nan,0.9014841781722175,5.4897248601913455,1000.0,0.0,nan,0,3,0,30629,215.2341512044271,214.2963865661621,1.1284792003325022,2.8972938345601618,0.904911908838484,0.906996777355671,215.2341512044271,214.2963865661621,0.952023850538422,0.9502113529232821,3698.212626736034,993.2037768482583,0.952023850538422,0.9502113529232821,1.8360050540235662,1.2238204757154991,0.906906998328615,0.9502894030598192,89.59276934814453,463.8493380205519
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,3.203709822323387,0.7459213151534398,0.7552887280782064,nan,0.8904301188886166,5.666369919776916,1000.0,0.0,nan,0,62,0,31188,217.05641174316406,214.07716110229492,1.182894880316165,2.9714999591326534,0.8800814654678106,0.8974467810988426,217.05641174316406,214.07716110229492,0.963922815618117,0.948976349941349,3875.488933396594,923.7923017359997,0.963922815618117,0.948976349941349,1.89833691184276,1.2357551730863097,0.8961604614224699,0.9500834955470354,92.57666961669922,493.5325665630909
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,3.347511613644947,0.7487229818105697,0.7425822061300278,nan,0.9789907254955985,5.8224441432952885,1000.0,0.0,nan,0,5,0,30997,211.30115578391334,213.90796485900879,1.2126459491240602,3.047669519107731,0.901995983990756,0.8872817751765251,211.30115578391334,213.90796485900879,0.9356573025022339,0.9481959241528324,3911.475760643039,864.4153630703175,0.9356573025022339,0.9481959241528324,1.9466553771175288,1.2553969143728045,0.8880488666312955,0.9475422519340809,90.2118113708496,431.8186119622739
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,3.4929696035286764,0.7515103135506312,0.7311469131708145,nan,0.7020654510706663,5.966038706302643,1000.0,0.0,nan,0,72,0,30982,216.98721885681152,213.59769409179688,1.2842950040687962,3.1262053380664,0.8607053980231285,0.8776469942927361,216.98721885681152,213.59769409179688,0.9611827714260672,0.9468897427164188,4093.1590103573053,817.6088705023354,0.9611827714260672,0.9468897427164188,2.0210591376678377,1.2614020389515415,0.8763920612357281,0.9479484855838003,92.38266864013671,458.02463653236794
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.5257129190306884,0.7541023157040279,0.720826023419698,nan,0.7712319791316986,6.086036684513092,1000.0,0.0,nan,0,114,0,30744,218.1471004486084,213.51150711059572,1.3486214086261885,3.2062934631894904,0.8414912447333336,0.866739846765995,218.1471004486084,213.51150711059572,0.9676678529333981,0.9465784477757379,4439.944589761561,778.591484865771,0.9676678529333981,0.9465784477757379,2.0916902304515093,1.2691058014878593,0.8648695799487608,0.9481406259355646,92.38531005859375,453.5148208186783
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.5631000530518175,0.7560416464010874,0.7115831883748372,nan,0.8233848674730821,6.171548295021057,1000.0,0.0,nan,0,16,0,31004,215.80465836958453,213.92667083740236,1.3951528385853802,3.2803638530031933,0.8432955091649835,0.8530752325057983,215.80465836958453,213.92667083740236,0.956547343969323,0.9484599124251971,4363.203483733815,744.662226480552,0.956547343969323,0.9484599124251971,2.1492372443525056,1.2794499205938668,0.8525653891088838,0.9488815320791564,90.3183708190918,393.85536723436473
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.5997117323413788,0.758221312959989,0.7029914971192678,nan,0.6967195133368175,6.2353656244277955,1000.0,0.0,nan,0,52,0,30680,215.49329325358073,214.48151237487792,1.4440242529455687,3.3509094260397374,0.8317639986673991,0.8384753766655922,215.49329325358073,214.48151237487792,0.9564707411438508,0.9509759295811989,4502.987293390239,718.8104882634065,0.9564707411438508,0.9509759295811989,2.206778322183236,1.2878861914095086,0.8380071409912997,0.9513592885274305,92.2574037475586,422.61381410706974
